time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
63.711748,-8.2307,-0.6228,-0.4457,8.266
63.716742,-6.471,-1.1495,-0.7249,6.612
63.721019,-4.7976,-1.4756,-0.9541,5.109
63.726366,-3.3262,-1.6961,-1.179,3.915
63.730565,-2.2212,-1.7023,-1.4702,3.161
63.739588,-1.1983,-1.7768,-1.6402,2.699
63.741209,-0.3185,-1.8223,-1.6444,2.475
63.745263,0.4449,-1.8719,-1.5295,2.458
63.749977,1.0256,-1.9101,-1.3137,2.535
63.77391,1.4578,-1.9759,-0.9945,2.649
63.775255,1.6905,-1.9251,-0.6773,2.65
63.775782,1.5681,-1.7594,-0.3773,2.387
63.776274,0.9446,-1.5089,-0.1249,1.785
63.776698,-0.0525,-1.2176,0.0469,1.22
63.781056,-1.1343,-0.9808,0.1537,1.507
63.7832,-2.0614,-0.8098,0.2546,2.229
63.787643,-2.8011,-0.7231,0.3871,2.919
63.792646,-3.3602,-0.6616,0.5299,3.466
63.797694,-3.7454,-0.6116,0.6768,3.855
63.802767,-3.9935,-0.5364,0.8122,4.11
63.807213,-4.1093,-0.4308,0.9866,4.248
63.81176,-4.114,-0.2895,1.1567,4.283
63.816819,-3.9944,-0.1111,1.3718,4.225
63.8209,-3.7836,0.0753,1.5661,4.096
63.830525,-3.149,0.4457,1.8086,3.659
63.83972,-2.7688,0.5593,1.8052,3.352
63.841318,-2.4405,0.643,1.7415,3.066
63.846231,-2.2446,0.6506,1.642,2.856
63.849929,-2.1907,0.6129,1.4614,2.704
63.868655,-2.2616,0.5631,1.1941,2.619
63.869715,-2.4169,0.4873,0.8711,2.615
63.870143,-2.5512,0.4051,0.6022,2.652
63.870564,-2.6363,0.2858,0.4404,2.688
63.873512,-2.6238,0.1888,0.4533,2.669
63.878466,-2.5183,0.002,0.6457,2.6
63.883253,-2.3747,-0.1611,1.0311,2.594
63.888507,-2.2067,-0.3675,1.4993,2.693
63.893627,-2.083,-0.4562,1.9454,2.886
63.898208,-1.9536,-0.5436,2.3791,3.126
63.902911,-1.9078,-0.5223,2.764,3.399
63.907295,-1.931,-0.4286,3.0372,3.624
63.912506,-2.0475,-0.2065,3.1824,3.79
63.917326,-2.163,0.0581,3.2705,3.921
63.921894,-2.1395,0.41,3.3504,3.996
63.926555,-1.9462,0.7685,3.4916,4.071
63.931341,-1.5753,1.1157,3.7107,4.183
63.939561,-0.988,1.405,4.0169,4.369
63.940851,-0.2069,1.5879,4.3994,4.682
63.945233,0.6273,1.7154,4.7484,5.088
63.949926,1.3698,1.6951,5.1607,5.602
63.969283,2.1514,1.6779,5.4662,6.109
63.97051,2.8976,1.5184,5.5879,6.475
63.971124,3.5562,1.344,5.4966,6.683
63.971551,4.3059,1.1891,5.0674,6.755
63.974161,5.1785,1.069,4.4007,6.879
63.978867,6.0248,1.0188,3.5762,7.08
63.983522,6.8287,1.0111,2.5716,7.367
63.988582,7.6895,1.0422,1.406,7.886
63.994091,8.6132,1.0976,0.2394,8.686
63.998818,9.597,1.1901,-0.6147,9.69
64.003429,10.4901,1.198,-1.6219,10.682
64.007337,11.4288,1.129,-2.5287,11.759
