time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
16.144271,-0.0129,-0.0232,0.0027,0.027
16.148704,-0.0147,-0.0114,0.0144,0.023
16.153771,-0.0119,-0.002,0.0212,0.024
16.158588,-0.0232,-0.002,0.009,0.025
16.163204,-0.0393,0.0241,0.0086,0.047
16.171121,-0.0576,0.031,0.0224,0.069
16.173441,-0.0475,0.0261,0.003,0.054
16.177444,-0.0352,0.0307,0.0075,0.047
16.182961,-0.0539,0.052,0.0048,0.075
16.191212,-0.032,0.035,0.0139,0.049
16.192413,-0.0224,0.0229,0.021,0.038
16.19716,-0.0011,0.0181,0.0066,0.019
16.202393,0.006,0.0131,0.0089,0.017
16.207045,0.0153,-0.0035,0.0234,0.028
16.211863,0.0386,-0.0201,0.0071,0.044
16.216602,0.0473,-0.0124,-0.0065,0.049
16.221218,0.0489,-0.0192,-0.0442,0.069
16.226883,0.0361,-0.0114,-0.0456,0.059
16.231316,0.0425,-0.0038,-0.0713,0.083
16.236186,0.0725,-0.0201,-0.0586,0.095
16.241729,0.0738,-0.0105,-0.0152,0.076
16.255881,0.0789,0.0058,-0.0103,0.08
16.257001,0.0765,-0.0038,0.016,0.078
16.257699,0.0663,0.0126,0.0421,0.08
16.260659,0.0659,0.0121,0.0416,0.079
16.264043,0.0161,0.0046,0.0483,0.051
16.270731,0.0305,0.0044,0.0624,0.07
16.273069,0.0092,-0.0006,0.0645,0.065
16.27816,-0.007,-0.0102,0.05,0.052
16.282801,-0.0114,-0.0126,0.0762,0.078
16.28862,-0.0086,-0.0127,0.0665,0.068
16.294319,0.0178,-0.0341,0.0714,0.081
16.296802,0.0177,-0.0292,0.0763,0.084
16.315164,0.0153,-0.0389,0.0594,0.073
16.316312,-0.0016,-0.0357,0.0459,0.058
16.316815,-0.0183,-0.0448,0.0346,0.059
16.317242,-0.0299,-0.0228,-0.0297,0.048
16.323079,-0.0275,-0.0289,-0.0333,0.052
16.327308,-0.0379,-0.0297,-0.0624,0.079
16.331132,-0.0049,-0.0429,-0.0418,0.06
16.335605,0.004,-0.0585,-0.0735,0.094
16.340027,0.0181,-0.0529,-0.0583,0.081
16.344747,0.0476,-0.0488,-0.0822,0.107
16.349459,0.0748,-0.0426,-0.1021,0.134
16.354662,0.1138,-0.0248,-0.1508,0.191
16.359178,0.1336,-0.0167,-0.19,0.233
16.364034,0.1393,-0.016,-0.1864,0.233
16.371265,0.1565,-0.0224,-0.1875,0.245
16.373829,0.1686,-0.0555,-0.1526,0.234
16.378369,0.1671,-0.0772,-0.0854,0.203
16.383432,0.1561,-0.0841,-0.0154,0.178
16.398262,0.1355,-0.1257,0.048,0.191
16.399379,0.1086,-0.1471,0.0818,0.2
16.399811,0.0631,-0.1573,0.1092,0.202
16.403861,0.012,-0.1479,0.1254,0.194
16.408892,-0.0686,-0.1382,0.1301,0.202
16.411641,-0.1308,-0.1358,0.1223,0.225
16.416396,-0.1593,-0.1214,0.1098,0.228
16.424502,-0.199,-0.0948,0.0852,0.236
16.426319,-0.2106,-0.0563,0.0656,0.228
16.431449,-0.1914,-0.0343,0.0437,0.199
16.43576,-0.1463,-0.0055,0.0335,0.15
16.440567,-0.126,0.0018,0.0119,0.127
16.450406,-0.0257,-0.0054,0.0215,0.034
16.455657,-0.0048,-0.0029,0.0002,0.006
16.459686,0.0136,-0.0242,0.0103,0.03
16.464156,0.0128,-0.019,-0.0034,0.023
16.471825,0.0268,-0.0093,-0.008,0.029
16.478063,0.0368,-0.0061,-0.0234,0.044
16.478827,0.0386,0.0036,-0.0326,0.051
16.483341,0.0564,0.0017,-0.0365,0.067
16.499942,0.0497,-0.0071,-0.0399,0.064
16.501288,0.0396,-0.007,-0.0181,0.044
16.50208,0.0355,-0.0182,-0.0384,0.055
16.503288,0.0443,-0.0038,-0.0213,0.049
16.507446,0.0646,-0.0084,-0.0065,0.065
16.512128,0.0772,-0.0157,-0.0061,0.079
16.516929,0.0716,-0.0157,0.0036,0.073
16.522144,0.0823,-0.0325,0.0086,0.089
16.527138,0.0905,-0.0256,0.0039,0.094
