time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
37.757201,-0.3484,0.5436,1.0419,1.226
37.761776,-0.4414,0.4034,0.9386,1.113
37.766764,-0.5645,0.2449,0.9227,1.109
37.771663,-0.6607,0.1098,0.931,1.147
37.776362,-0.8409,-0.0558,0.8289,1.182
37.780713,-0.9289,-0.1599,0.901,1.304
37.785738,-1.0344,-0.3286,0.929,1.429
37.790388,-1.1451,-0.4677,0.9719,1.573
37.795859,-1.1873,-0.6352,0.949,1.647
37.80112,-1.2195,-0.7807,1.0073,1.764
37.804726,-1.1577,-0.9217,1.1355,1.865
37.809446,-1.219,-1.1131,1.0552,1.959
37.814165,-1.2559,-1.257,1.0972,2.088
37.819162,-1.2739,-1.4188,1.0725,2.188
37.824287,-1.2614,-1.5246,1.0547,2.242
37.828343,-1.2896,-1.6415,0.9487,2.293
37.836037,-1.3753,-1.6938,1.0351,2.415
37.840039,-1.3149,-1.8023,0.8654,2.393
37.843222,-1.3374,-1.924,0.8611,2.496
37.847714,-1.3133,-2.0003,0.786,2.519
37.854258,-1.3527,-2.0806,0.6019,2.554
37.857361,-1.3582,-2.1372,0.4827,2.578
37.863268,-1.3992,-2.1964,0.6492,2.684
37.866759,-1.3114,-2.228,0.5743,2.648
37.871474,-1.2966,-2.318,0.6336,2.73
37.876261,-1.3564,-2.3809,0.5342,2.792
37.88603,-1.3328,-2.4024,0.5488,2.802
37.891058,-1.3098,-2.3793,0.7356,2.814
37.895895,-1.2254,-2.3098,0.6341,2.69
37.901031,-1.2634,-2.3318,0.6258,2.725
37.904964,-1.373,-2.2192,0.5665,2.67
37.90971,-1.3432,-2.0428,0.5894,2.515
37.914423,-1.4324,-1.911,0.8251,2.527
37.920069,-1.4084,-1.7837,0.8128,2.414
37.924187,-1.5525,-1.6002,0.8305,2.379
37.928623,-1.6874,-1.3716,0.8676,2.341
37.936217,-1.8253,-1.169,0.9548,2.369
37.942466,-1.9706,-0.9207,1.1472,2.459
37.943638,-2.0143,-0.6903,1.4813,2.594
37.947848,-2.0959,-0.4789,1.5162,2.631
37.955279,-2.183,-0.2811,1.5576,2.696
37.957651,-2.1957,-0.1087,1.6684,2.76
37.962523,-2.1839,0.0434,1.6968,2.766
37.967675,-2.095,0.1969,1.8115,2.777
37.971985,-1.9902,0.3211,1.8865,2.761
37.976905,-1.7895,0.4099,1.9064,2.647
37.98259,-1.6236,0.4431,1.9339,2.564
37.985878,-1.3716,0.4909,1.9553,2.438
37.991298,-1.1389,0.4935,2.2021,2.528
37.995619,-0.9286,0.4818,2.1532,2.394
38.000209,-0.6816,0.3653,2.0924,2.231
38.005119,-0.4493,0.3313,1.9509,2.029
38.009882,-0.2398,0.252,1.7935,1.827
38.015938,-0.081,0.1959,1.6338,1.647
38.021673,0.0276,0.0945,1.4133,1.417
38.024503,0.0982,-0.0015,1.1987,1.203
38.028844,0.1712,-0.0936,0.9704,0.99
38.033839,0.2261,-0.192,0.7723,0.827
38.039623,0.2542,-0.2946,0.5787,0.697
38.043377,0.2855,-0.4182,0.4325,0.666
38.047851,0.289,-0.5127,0.3042,0.662
38.054063,0.2134,-0.5597,0.4871,0.772
38.058504,0.2487,-0.6504,0.3126,0.763
38.065085,0.273,-0.6979,0.1663,0.768
38.074044,0.2386,-0.7234,0.0252,0.762
38.075276,0.2319,-0.732,0.0338,0.769
38.076766,0.208,-0.7261,0.0101,0.755
38.082607,0.2144,-0.6774,0.0611,0.713
38.086553,0.2194,-0.6553,0.145,0.706
38.091205,0.208,-0.6618,0.2028,0.723
38.096,0.1374,-0.6105,0.2605,0.678
38.100238,0.1361,-0.5698,0.2928,0.655
38.105496,0.1272,-0.537,0.3745,0.667
38.110396,0.1368,-0.4913,0.4034,0.65
38.115956,0.134,-0.4706,0.3965,0.63
38.119921,0.1068,-0.4078,0.3964,0.579
