time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002828,0.5806,0.4712,-3.1311,3.219
0.003770,-0.2866,0.3979,-2.6949,2.739
0.004330,-0.7033,0.4082,-2.3452,2.482
0.011504,-1.0116,0.3368,-1.8359,2.123
0.012681,-1.2385,0.2315,-1.0770,1.658
0.017097,-1.0709,0.0766,-0.2172,1.095
0.028948,-0.9683,-0.1269,0.6942,1.198
0.029640,-0.8217,-0.2132,1.5453,1.763
0.031978,-0.7771,-0.3230,2.4595,2.600
0.048218,-0.7028,-0.4819,3.2551,3.365
0.049805,-0.6145,-0.6457,3.7967,3.900
0.050866,-0.5481,-0.7276,3.9315,4.036
0.051445,-0.5174,-0.6942,3.6997,3.800
0.056789,-0.4492,-0.5405,3.1157,3.194
0.060180,-0.3509,-0.3281,2.3390,2.388
0.064529,-0.1862,-0.0799,1.5406,1.554
0.072445,-0.0588,0.1644,0.7492,0.769
0.074837,-0.0595,0.3492,0.0197,0.355
0.079260,-0.1256,0.4836,-0.6002,0.781
0.085847,-0.0857,0.5604,-1.0993,1.237
0.089697,0.0131,0.5589,-1.4614,1.565
0.093956,0.1184,0.5318,-1.6418,1.730
0.098433,0.1827,0.4529,-1.6448,1.716
0.104102,0.1884,0.3449,-1.5307,1.580
0.108661,0.1616,0.1978,-1.3232,1.348
0.113376,0.1568,0.1055,-1.1283,1.144
0.121541,0.1147,0.0084,-0.9094,0.917
0.123058,0.0711,0.0115,-0.6053,0.610
0.127856,-0.0250,-0.0180,-0.2768,0.278
0.132283,-0.1391,-0.0369,-0.0158,0.145
0.137158,-0.1736,-0.0659,0.2403,0.304
0.142771,-0.1924,-0.1432,0.5077,0.562
0.146820,-0.1755,-0.1872,0.7621,0.804
0.152968,-0.0686,-0.2252,0.9529,0.982
0.155982,0.0916,-0.2341,1.1480,1.175
0.160882,0.1983,-0.1835,1.2153,1.245
0.165145,0.2422,-0.1451,1.1216,1.157
0.170985,0.2896,-0.1000,0.9221,0.972
0.175443,0.3633,-0.0807,0.6890,0.783
0.180259,0.3356,-0.0374,0.4582,0.569
0.184669,0.3101,0.0201,0.2138,0.377
0.189469,0.3380,0.1207,0.0233,0.360
0.194359,0.4368,0.2063,-0.1393,0.503
0.198759,0.4799,0.2465,-0.2763,0.606
0.205802,0.3710,0.1950,-0.4711,0.631
0.208883,0.1513,0.0523,-0.7049,0.723
0.213390,-0.1102,-0.0987,-0.9967,1.008
0.229565,-0.2933,-0.1604,-1.2512,1.295
0.230793,-0.1757,-0.0833,-1.1802,1.196
