time,gFx,gFy,gFz,TgF
20.34859629,-0.15,0.7488,-0.6644,1.012
20.35036848,-0.1515,0.7512,-0.6679,1.017
20.35232426,-0.1486,0.7493,-0.6688,1.015
20.35619135,-0.1461,0.7503,-0.6664,1.014
20.35956015,-0.1491,0.7468,-0.6659,1.012
20.36019411,-0.1471,0.7468,-0.6679,1.013
20.36280504,-0.1466,0.7503,-0.6669,1.014
20.36463958,-0.1456,0.7478,-0.6639,1.011
20.36782999,-0.1452,0.7488,-0.6674,1.013
20.36963452,-0.1422,0.7473,-0.6659,1.011
20.37331208,-0.1427,0.7478,-0.6654,1.011
20.37501281,-0.1437,0.7488,-0.6674,1.013
20.37762353,-0.1437,0.7478,-0.6688,1.014
20.38074171,-0.1466,0.7468,-0.6679,1.013
20.38169041,-0.1427,0.7464,-0.6669,1.011
20.38443781,-0.1422,0.7444,-0.6679,1.01
20.38700999,-0.1432,0.7483,-0.6703,1.015
20.38912046,-0.1417,0.7468,-0.6679,1.012
20.39193786,-0.1437,0.7459,-0.6683,1.012
20.39437859,-0.1437,0.7444,-0.6674,1.01
20.39689692,-0.1461,0.7439,-0.6698,1.012
20.39969572,-0.1442,0.7454,-0.6688,1.012
20.40169343,-0.1432,0.7449,-0.6683,1.011
20.40454989,-0.1427,0.7468,-0.6683,1.012
20.40647754,-0.1437,0.7464,-0.6669,1.011
20.40914676,-0.1447,0.7473,-0.6674,1.012
20.41155807,-0.1422,0.7493,-0.6674,1.013
20.413734,-0.1432,0.7439,-0.6674,1.01
20.42044937,-0.1447,0.7424,-0.6664,1.008
20.42142577,-0.1466,0.7488,-0.6654,1.012
20.42174958,-0.1447,0.7488,-0.6669,1.013
20.42359786,-0.1466,0.7507,-0.6664,1.014
20.43789791,-0.1486,0.7517,-0.6688,1.017
20.43851583,-0.1452,0.7488,-0.6654,1.012
20.43870557,-0.1476,0.7503,-0.6669,1.015
20.43885286,-0.1515,0.7503,-0.6683,1.016
20.43899989,-0.151,0.7522,-0.6683,1.018
20.43920484,-0.1496,0.7542,-0.6654,1.017
20.44144421,-0.1491,0.7493,-0.6674,1.014
20.44304031,-0.1486,0.7478,-0.6674,1.013
20.44619187,-0.151,0.7517,-0.6664,1.016
20.4476851,-0.151,0.7512,-0.6674,1.016
20.45018598,-0.152,0.7512,-0.6693,1.018
20.45331051,-0.1496,0.7512,-0.6664,1.015
20.45581223,-0.152,0.7527,-0.6635,1.015
20.45820781,-0.1525,0.7542,-0.6659,1.018
20.4602152,-0.1515,0.7547,-0.6683,1.019
20.46303749,-0.1466,0.7527,-0.6644,1.015
20.46638077,-0.1476,0.7542,-0.6649,1.016
20.46904739,-0.1491,0.7493,-0.6639,1.012
20.4700826,-0.1466,0.7507,-0.663,1.012
20.47257312,-0.1461,0.7507,-0.6644,1.013
20.47491786,-0.1466,0.7512,-0.6649,1.014
20.47751765,-0.1456,0.7493,-0.6664,1.013
20.47992692,-0.1452,0.7473,-0.6674,1.012
20.48292062,-0.1437,0.7488,-0.6674,1.013
20.48579879,-0.1432,0.7542,-0.6674,1.017
20.48801395,-0.1422,0.7503,-0.6679,1.014
20.49031041,-0.1427,0.7517,-0.6688,1.016
20.49269395,-0.1408,0.7478,-0.6669,1.012
20.49445129,-0.1442,0.7464,-0.6659,1.011
20.49697702,-0.1403,0.7478,-0.6698,1.014
20.50013744,-0.1456,0.7478,-0.6693,1.014
20.50217744,-0.1417,0.7488,-0.6703,1.015
20.50438051,-0.1408,0.7473,-0.6674,1.012
20.50663947,-0.1422,0.7498,-0.6659,1.013
20.50917978,-0.1432,0.7483,-0.6698,1.014
20.51181791,-0.1466,0.7459,-0.6698,1.013
20.51427676,-0.1432,0.7478,-0.6683,1.013
20.52133619,-0.1432,0.7464,-0.6664,1.011
20.52229036,-0.1412,0.7488,-0.6659,1.012
20.52265083,-0.1442,0.7478,-0.6659,1.012
20.52742374,-0.1442,0.7478,-0.6649,1.011
20.52782208,-0.1398,0.7488,-0.6654,1.011
20.54855499,-0.1422,0.7488,-0.6649,1.011
20.54929973,-0.1452,0.7468,-0.6644,1.01
20.54960046,-0.1427,0.7507,-0.6649,1.013
20.54985291,-0.1437,0.7478,-0.6649,1.011
20.5500965,-0.1456,0.7464,-0.6664,1.011
20.55032718,-0.1442,0.7493,-0.6674,1.014
20.55056317,-0.1437,0.7498,-0.6674,1.014
20.55075859,-0.1447,0.7527,-0.6713,1.019
20.55096192,-0.1452,0.7488,-0.6669,1.013
20.55123124,-0.1471,0.7478,-0.6669,1.013
20.55448437,-0.1481,0.7503,-0.6693,1.016
20.55712307,-0.1466,0.7498,-0.6683,1.015
20.55959499,-0.1471,0.7483,-0.6698,1.015
20.56147853,-0.1471,0.7488,-0.6688,1.015
20.56459234,-0.1466,0.7507,-0.6688,1.016
20.56678744,-0.1491,0.7488,-0.6669,1.014
20.56898947,-0.1476,0.7478,-0.6683,1.014
20.57068275,-0.1481,0.7503,-0.6654,1.014
20.5731302,-0.1452,0.7483,-0.6639,1.011
20.57645796,-0.1471,0.7478,-0.6654,1.012
20.57806176,-0.1491,0.7503,-0.6664,1.014
20.58058145,-0.1491,0.7454,-0.6674,1.012
20.58518374,-0.1505,0.7512,-0.6679,1.016
20.58601374,-0.151,0.7478,-0.6654,1.012
20.58856567,-0.1481,0.7473,-0.6659,1.012
20.590934,-0.1486,0.7483,-0.6635,1.011
