time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
26.114306,0.0485,-0.0512,0.0272,0.076
26.115384,-0.0172,-0.0488,0.0197,0.055
26.127976,-0.0468,-0.0653,0.0004,0.08
26.129531,-0.0912,-0.0722,0.0316,0.121
26.130164,-0.1247,-0.0555,0.0429,0.143
26.135921,-0.1153,-0.0437,0.0493,0.133
26.141474,-0.1129,-0.0418,0.0625,0.136
26.143855,-0.1021,-0.0395,0.067,0.128
26.148807,-0.0766,-0.0158,0.0636,0.101
26.153357,-0.0614,-0.0065,0.0774,0.099
26.158243,-0.0367,-0.0093,0.0505,0.063
26.163051,-0.0195,-0.0023,0.0286,0.035
26.167362,-0.0286,-0.0095,0.0118,0.032
26.17271,-0.021,-0.0165,0.007,0.028
26.177562,-0.0183,-0.0234,-0.0142,0.033
26.182578,0.0008,-0.0258,-0.0187,0.032
26.186905,0.0102,-0.0205,-0.0089,0.025
26.191919,0.0171,-0.018,-0.0063,0.026
26.196356,0.0476,-0.0253,-0.0108,0.055
26.200712,0.0589,-0.0253,-0.001,0.064
26.206302,0.0536,-0.0348,0.0159,0.066
26.214345,0.0552,-0.0348,-0.0101,0.066
26.216085,0.0451,-0.0347,-0.0004,0.057
26.227672,0.0446,-0.0418,-0.0025,0.061
26.228637,0.0489,-0.0608,0.0025,0.078
26.229639,0.0697,-0.0536,0.0146,0.089
26.23417,0.0763,-0.068,0.0219,0.105
26.241002,0.0947,-0.0728,0.0149,0.12
26.243793,0.0916,-0.075,0.0129,0.119
26.249183,0.0981,-0.0512,-0.0013,0.111
26.254858,0.0877,-0.0559,-0.0154,0.105
26.259276,0.0822,-0.0391,-0.0009,0.091
26.263474,0.0886,-0.0318,-0.034,0.1
26.269145,0.0807,-0.0219,-0.0314,0.089
26.272557,0.0565,-0.027,-0.0074,0.063
26.277508,0.0658,-0.0148,-0.0051,0.068
26.281791,0.042,-0.0248,0.002,0.049
26.287142,0.021,-0.0343,0.0115,0.042
26.29158,0.0119,-0.0391,0.0137,0.043
26.296208,-0.0159,-0.0413,-0.003,0.044
26.300833,-0.0081,-0.0293,0.0112,0.032
26.30577,-0.0287,-0.0435,0.0112,0.053
26.314299,0.0004,-0.0338,0.0064,0.034
26.315446,-0.0133,-0.0385,-0.0008,0.041
26.324806,-0.0057,-0.0166,-0.0033,0.018
26.325552,-0.0056,-0.0117,-0.0032,0.013
26.329572,0.002,-0.0167,-0.0106,0.02
26.334483,0.007,-0.0242,0.0108,0.027
26.339763,0.0119,-0.0122,0.0177,0.025
26.344018,0.0213,-0.0267,0.0011,0.034
26.349079,0.0236,-0.0217,-0.0037,0.032
26.353878,0.024,-0.0437,0.0079,0.051
26.358186,0.0099,-0.0461,0.0054,0.047
26.363275,0.0288,-0.0508,0.0105,0.059
26.367994,0.0194,-0.0437,0.027,0.055
26.373386,0.0151,-0.0537,0.0456,0.072
26.382539,-0.0132,-0.0347,0.0334,0.05
26.387084,-0.013,-0.0201,0.0452,0.051
26.391788,-0.0126,-0.0325,0.0282,0.045
26.396366,-0.0145,-0.035,0.0232,0.044
26.407739,0.0049,-0.0108,0.0278,0.03
26.408734,-0.007,-0.0228,0.0183,0.03
26.411345,0.0145,-0.0205,0.0158,0.03
26.415572,0.0286,-0.0204,0.0063,0.036
26.425799,0.0236,-0.0109,0.0016,0.026
26.426744,0.0211,-0.0014,0.0039,0.022
26.430039,0.0469,0.0008,0.0134,0.049
26.434961,0.0488,-0.0088,-0.0128,0.051
26.43952,0.0482,-0.023,-0.0077,0.054
