time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
15.134194,-0.9696,1.8097,-1.3864,2.477
15.137952,-0.9909,1.6455,-1.3182,2.33
15.142358,-1.036,1.478,-1.2886,2.218
15.146795,-1.1141,1.345,-1.1995,2.119
15.152017,-1.1961,1.2321,-1.0771,2.027
15.156457,-1.2557,1.1128,-0.9407,1.924
15.161227,-1.302,1.0404,-0.8618,1.876
15.167922,-1.342,0.9766,-0.8193,1.851
15.171241,-1.3387,0.9068,-0.7005,1.762
15.175647,-1.2876,0.8407,-0.5843,1.645
15.196247,-0.9955,0.9523,-0.0941,1.381
15.197596,-1.191,0.7893,-0.3205,1.464
15.198383,-1.0491,0.706,-0.6819,1.437
15.201195,-0.8956,0.7148,-0.5975,1.292
15.204841,-0.7292,0.6715,-0.4948,1.108
15.209356,-0.5652,0.6233,-0.3027,0.894
15.214524,-0.4616,0.62,-0.1269,0.783
15.218996,-0.2746,0.5992,-0.0617,0.662
15.229824,-0.19,0.5613,0.0576,0.595
15.230974,-0.1254,0.5972,0.0887,0.617
15.233639,0.2324,0.7007,0.538,0.913
15.238298,0.1359,0.6178,0.4775,0.793
15.242804,0.1991,0.4828,0.0474,0.524
15.247257,0.3288,0.4212,-0.0259,0.535
15.25267,0.3719,0.3474,-0.0419,0.511
15.25698,0.4115,0.2752,-0.015,0.495
15.261511,0.4732,0.2325,0.0258,0.528
15.268982,0.5011,0.1689,0.078,0.535
15.271582,0.5405,0.1006,0.1475,0.569
15.276194,0.5567,0.0204,0.0937,0.565
15.281196,0.518,-0.0666,0.0506,0.525
15.30401,0.5912,-0.1287,-0.083,0.611
15.304745,0.6621,-0.0791,0.3292,0.744
15.305062,0.946,-0.0831,0.3392,1.008
15.305348,0.6406,-0.2168,-0.1553,0.694
15.305639,0.7091,-0.3275,-0.4239,0.889
15.309727,0.709,-0.3683,-0.604,1.002
15.314397,0.712,-0.3786,-0.5949,1.002
15.321496,0.7912,-0.418,-0.4755,1.013
15.324286,0.7576,-0.3767,-0.4042,0.938
15.329622,0.7719,-0.3372,-0.1658,0.858
15.336472,0.8203,-0.3415,0.0884,0.893
15.339297,0.8184,-0.355,0.252,0.927
15.342707,0.742,-0.3401,0.3562,0.891
15.347246,0.706,-0.2899,0.4295,0.876
15.352156,0.6683,-0.2609,0.4478,0.846
15.356911,0.6619,-0.2267,0.4685,0.842
15.361661,0.6425,-0.1968,0.3741,0.769
15.368228,0.6379,-0.1734,0.2483,0.706
15.371468,0.7827,-0.1966,0.2175,0.836
15.376047,0.4653,0.118,0.377,0.61
15.381273,0.379,0.0249,0.0319,0.381
15.402292,0.4296,0.0817,-0.0985,0.448
15.403139,0.4149,0.0859,-0.069,0.429
15.403517,0.3971,0.1243,-0.1144,0.432
15.403855,0.3368,0.1486,-0.0425,0.371
15.405153,0.2678,0.1772,-0.0037,0.321
15.409666,0.2233,0.2236,0.1016,0.332
15.4145,0.1744,0.236,0.1695,0.339
