time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
29.029259,-0.0089,0.0406,-0.0205,0.046
29.041675,0.0173,0.0349,0.009,0.04
29.042843,-0.0047,0.0556,0.0339,0.065
29.043356,-0.0526,0.0691,0.0264,0.091
29.056064,-0.0599,0.0896,0.0356,0.113
29.057081,-0.0459,0.0949,0.0239,0.108
29.057531,-0.0148,0.1093,0.0071,0.111
29.060414,-0.0029,0.1212,-0.0078,0.121
29.065502,0.0306,0.131,-0.0268,0.137
29.069703,0.0836,0.1507,-0.0692,0.186
29.074306,0.1054,0.1522,-0.1034,0.212
29.079172,0.144,0.1489,-0.1446,0.253
29.084153,0.1754,0.1339,-0.214,0.307
29.088695,0.2117,0.1379,-0.2351,0.345
29.093388,0.2097,0.1226,-0.2725,0.365
29.101874,0.2101,0.1357,-0.2738,0.371
29.110792,0.1867,0.1332,-0.2903,0.37
29.111458,0.1629,0.132,-0.2689,0.341
29.113123,0.1155,0.1106,-0.2364,0.285
29.134812,0.0823,0.1033,-0.1923,0.233
29.135641,0.0679,0.0981,-0.1461,0.189
29.136058,0.0154,0.0901,-0.1123,0.145
29.136441,-0.0227,0.0799,-0.0746,0.112
29.136835,-0.0537,0.0937,-0.0424,0.116
29.141708,-0.0824,0.1053,-0.025,0.136
29.146961,-0.0729,0.1041,-0.0294,0.13
29.151324,-0.0704,0.121,-0.0147,0.141
29.155817,-0.0393,0.1182,-0.0241,0.127
29.165852,0.0635,0.1466,-0.029,0.162
29.170379,0.102,0.1545,-0.0288,0.187
29.1754,0.1428,0.1638,-0.017,0.218
29.180132,0.2003,0.1622,-0.0189,0.258
29.185474,0.2244,0.1678,-0.011,0.28
29.189255,0.2149,0.1756,-0.0028,0.278
29.19395,0.1984,0.1595,-0.0133,0.255
29.202236,0.2057,0.1458,0.0049,0.252
29.210121,0.1748,0.113,-0.0174,0.209
29.210817,0.12,0.0683,-0.0088,0.138
29.212897,0.0962,0.0214,-0.0238,0.101
29.225834,0.0434,-0.0261,-0.0283,0.058
29.226947,-0.0088,-0.0591,-0.0224,0.064
29.227395,-0.0541,-0.0913,-0.0386,0.113
29.237977,-0.0822,-0.1097,-0.0553,0.148
29.239439,-0.1203,-0.1441,-0.0664,0.199
29.242327,-0.1153,-0.1878,-0.1083,0.245
29.24925,-0.1243,-0.1798,-0.1215,0.25
29.25395,-0.1263,-0.1772,-0.1215,0.249
29.256648,-0.1188,-0.1646,-0.1141,0.233
29.260584,-0.0994,-0.1486,-0.0891,0.2
29.265463,-0.0631,-0.1361,-0.0701,0.166
29.270386,-0.0649,-0.1271,-0.0428,0.149
29.274956,-0.06,-0.0948,-0.0446,0.121
29.279678,-0.0284,-0.0853,-0.0138,0.091
29.284863,-0.0019,-0.0818,0.0128,0.083
29.289567,0.0246,-0.0667,0.0388,0.081
29.294163,0.0319,-0.0445,0.0691,0.088
29.301889,0.0318,-0.0368,0.0587,0.076
29.305535,0.0394,-0.0171,0.0661,0.079
29.309025,0.0395,0.007,0.0614,0.073
29.327112,0.0421,0.0144,0.0355,0.057
29.327935,0.0328,0.0263,-0.0161,0.045
29.328358,0.0258,0.0522,-0.0296,0.065
29.328735,0.0571,0.0542,-0.041,0.089
29.332539,0.0787,0.0845,-0.017,0.117
29.336917,0.0911,0.086,-0.0123,0.126
29.341771,0.0959,0.1039,0.0281,0.144
29.346714,0.1223,0.105,0.0587,0.172
29.351626,0.1319,0.1035,0.0466,0.174
29.35613,0.1103,0.0924,0.0653,0.158
29.361135,0.1128,0.0646,0.0483,0.139
29.365931,0.1152,0.0535,0.0174,0.128
29.371571,0.1082,0.0449,-0.0251,0.12
29.379618,0.1226,0.0112,-0.051,0.133
29.380546,0.1274,-0.0055,-0.0839,0.153
29.386707,0.1399,-0.0058,-0.0812,0.162
29.389849,0.1306,-0.0138,-0.0987,0.164
29.394975,0.1021,-0.0075,-0.0804,0.13
29.400997,0.0928,-0.0061,-0.0838,0.125
29.406371,0.0425,0.0213,-0.0822,0.095
29.408829,-0.0003,0.027,-0.0756,0.08
29.413565,-0.0192,0.0351,-0.0833,0.092
29.419199,-0.0551,0.0466,-0.0776,0.106
29.423026,-0.0523,0.0587,-0.0614,0.1
29.427519,-0.021,0.0881,-0.0362,0.098
29.437393,0.0581,0.1294,0.0054,0.142
29.442161,0.1016,0.1326,0.0396,0.172
29.446818,0.116,0.1405,0.0521,0.19
29.451907,0.135,0.1391,0.0562,0.202
29.456267,0.1305,0.1463,0.0244,0.198
29.460823,0.1282,0.1394,0.0201,0.19
29.465702,0.1139,0.1418,-0.0176,0.183
29.470558,0.1044,0.1252,-0.0407,0.168
29.475153,0.0974,0.1039,-0.0684,0.158
29.479824,0.1191,0.1089,-0.0982,0.189
29.485372,0.1001,0.0878,-0.1038,0.169
29.489647,0.1123,0.0811,-0.1213,0.184
29.494377,0.1054,0.0885,-0.124,0.185
29.502214,0.0936,0.0864,-0.1049,0.165
29.504812,0.0792,0.1056,-0.098,0.164
29.508678,0.0626,0.1197,-0.0745,0.154
29.51352,0.058,0.1124,-0.0701,0.145
29.520544,0.0319,0.1451,-0.0419,0.154
29.523289,0.0152,0.1581,-0.0378,0.163
29.527789,0.0105,0.1611,-0.0197,0.163
29.532677,0.0152,0.1761,0.0051,0.177
29.537354,-0.0039,0.175,0.0202,0.176
29.542547,0.0007,0.1772,0.0199,0.178
29.547188,0.0199,0.1815,0.0447,0.188
29.551998,0.0485,0.1592,0.071,0.181
29.556764,0.0556,0.1514,0.0779,0.179
29.561679,0.0918,0.1368,0.0611,0.176
29.568441,0.0819,0.113,0.0633,0.153
29.573616,0.1108,0.1094,0.0649,0.169
29.576457,0.1395,0.0811,0.0766,0.179
29.580628,0.125,0.0661,0.0663,0.156
29.586057,0.1301,0.0428,0.0722,0.155
29.590501,0.1158,0.0197,0.0721,0.138
29.59498,0.1207,0.0156,0.0413,0.129
29.602972,0.0945,0.0021,0.0203,0.097
29.604957,0.097,0.0005,0.009,0.097
29.610426,0.0923,0.0012,-0.0045,0.092
29.614019,0.0658,-0.0006,-0.0036,0.066
29.624748,0.0636,-0.0024,-0.0169,0.066
29.625508,0.054,-0.0095,-0.0215,0.059
29.628678,0.0614,-0.0301,-0.018,0.071
29.633654,0.064,-0.041,-0.0357,0.084
29.638954,0.0449,-0.0311,-0.033,0.064
29.643551,0.0263,-0.0389,-0.044,0.064
29.649367,0.0337,-0.0379,-0.0346,0.061
29.6554,0.0295,-0.0407,-0.0208,0.054
29.657159,0.032,-0.0568,-0.023,0.069
29.661571,0.0087,-0.0567,-0.0091,0.058
29.666824,0.0087,-0.0511,0.0052,0.052
29.671296,0.0043,-0.0448,0.0048,0.045
29.675765,-0.005,-0.0292,-0.0145,0.033
29.686254,0.0099,-0.0177,0.0036,0.021
29.690765,0.0484,0.0117,0.0029,0.05
29.6951,0.0388,0.028,0.0076,0.048
29.704867,0.0511,0.0507,0.0081,0.072
29.710838,0.0582,0.0596,0.0174,0.085
