time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002580,-0.0091,0.3011,-0.7047,0.766
0.003351,0.2341,0.1031,-0.6154,0.666
0.003929,0.3716,-0.0444,-0.4579,0.591
0.004364,0.4692,-0.2089,-0.2503,0.571
0.013231,0.4607,-0.2406,-0.0571,0.523
0.013776,0.4610,-0.2633,0.1198,0.544
0.022297,0.4418,-0.2826,0.2715,0.591
0.022877,0.4165,-0.2982,0.3978,0.649
0.026766,0.4004,-0.3316,0.4025,0.657
0.033465,0.3625,-0.3178,0.3744,0.610
0.035881,0.2638,-0.2781,0.2937,0.483
0.040851,0.2553,-0.3048,0.1417,0.422
0.045022,0.1572,-0.2876,-0.0733,0.336
0.050306,0.0485,-0.3238,-0.2642,0.421
0.054731,-0.0945,-0.2910,-0.4496,0.544
0.059388,-0.2272,-0.2505,-0.6208,0.707
0.064069,-0.3716,-0.1833,-0.7278,0.837
0.069074,-0.4567,-0.1559,-0.8014,0.936
0.073853,-0.4777,-0.1442,-0.8157,0.956
0.078607,-0.4068,-0.1529,-0.8329,0.939
0.084395,-0.3058,-0.1413,-0.8029,0.871
0.088214,-0.2472,-0.1096,-0.7278,0.776
0.096923,-0.1917,-0.0603,-0.6457,0.676
0.102912,-0.1464,0.0204,-0.5282,0.548
0.103845,-0.1394,0.0465,-0.4491,0.473
0.107083,-0.1135,0.0658,-0.3844,0.406
0.111879,-0.1140,0.0378,-0.3248,0.346
0.116893,-0.1072,-0.0063,-0.2487,0.271
0.121634,-0.1051,-0.0803,-0.1968,0.237
0.126388,-0.1285,-0.1203,-0.1257,0.216
0.132048,-0.1771,-0.1543,-0.0838,0.249
0.136085,-0.2240,-0.1633,-0.0157,0.278
0.140524,-0.2969,-0.1218,0.0167,0.321
0.145312,-0.3189,-0.0812,0.0924,0.342
0.150471,-0.3292,-0.0366,0.1396,0.359
0.155572,-0.3110,0.0055,0.1463,0.344
0.160490,-0.3002,0.0161,0.2009,0.362
0.166015,-0.2969,0.0026,0.3032,0.424
0.170361,-0.2986,0.0082,0.3869,0.489
0.175005,-0.2757,0.0234,0.4658,0.542
0.179232,-0.2769,0.0647,0.5068,0.581
0.184094,-0.2601,0.1222,0.5146,0.589
0.189900,-0.2138,0.1582,0.5099,0.575
0.193432,-0.2006,0.2045,0.4743,0.554
0.199852,-0.1949,0.2113,0.4219,0.511
0.203614,-0.1663,0.1792,0.4190,0.485
0.208178,-0.1185,0.1346,0.4115,0.449
0.212543,-0.0617,0.0699,0.4257,0.436
0.219616,-0.0383,0.0358,0.4283,0.431
0.222019,-0.0458,0.0605,0.4335,0.440
0.227597,-0.0865,0.0984,0.3938,0.415
0.244961,-0.1530,0.1351,0.3689,0.422
0.246343,-0.1830,0.1708,0.2902,0.383
0.247046,-0.2280,0.1794,0.2528,0.385
0.247552,-0.2466,0.2065,0.2646,0.416
0.251988,-0.2031,0.2305,0.2263,0.382
0.255519,-0.1954,0.2063,0.2097,0.353
0.259846,-0.1944,0.1582,0.1453,0.290
0.266494,-0.2020,0.0905,0.0547,0.228
0.269624,-0.1987,0.0587,-0.0237,0.208
0.274665,-0.2290,0.0345,-0.0759,0.244
0.279341,-0.2471,-0.0183,-0.1066,0.270
0.284272,-0.2806,-0.0355,-0.0639,0.290
0.289333,-0.2773,-0.0442,-0.0205,0.282
0.293687,-0.2667,-0.0271,0.0290,0.270
0.299506,-0.2485,-0.0230,0.0980,0.268
0.304480,-0.2389,-0.0271,0.1291,0.273
