time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003394,0.0533,0.3809,-0.0068,0.385
0.004406,0.0089,0.5692,0.3542,0.670
0.004918,-0.0935,0.6237,0.6456,0.903
0.005399,-0.2236,0.6101,0.7630,1.002
0.008760,-0.3588,0.5346,0.6936,0.946
0.025275,-0.4074,0.4764,0.5559,0.838
0.026092,-0.4275,0.3740,0.3508,0.668
0.026547,-0.3323,0.2564,0.1111,0.434
0.027295,-0.1915,0.1330,-0.0537,0.239
0.032797,-0.0540,-0.0361,-0.0893,0.110
0.036328,0.0419,-0.1516,-0.0724,0.173
0.040953,0.1556,-0.2083,-0.0100,0.260
0.051788,-0.0744,-0.3141,0.0634,0.329
0.056146,-0.2425,-0.3456,-0.0133,0.422
0.060633,-0.2743,-0.3360,-0.1052,0.446
0.065890,-0.1775,-0.2919,-0.1953,0.394
0.070114,-0.0902,-0.2055,-0.2877,0.365
0.075631,-0.0192,-0.1280,-0.3719,0.394
0.080713,-0.0229,-0.0739,-0.5258,0.532
0.085748,-0.0078,-0.0140,-0.6223,0.622
0.090133,0.0172,0.0209,-0.7119,0.712
0.094930,0.0404,0.0619,-0.7469,0.751
0.104140,0.0574,0.0806,-0.7369,0.744
0.105365,0.0780,0.0843,-0.7222,0.731
0.109327,0.1986,0.1023,-0.6130,0.652
0.113971,0.3300,0.1128,-0.4399,0.561
0.119455,0.4182,0.1873,-0.2495,0.522
0.123334,0.3960,0.2015,-0.1461,0.468
0.127993,0.3496,0.1590,-0.0792,0.392
0.133879,0.2758,0.1509,0.0946,0.328
0.137368,0.2359,0.1568,0.2327,0.367
0.142459,0.0780,0.0756,0.3978,0.412
0.147441,-0.0789,0.0003,0.5132,0.519
0.153306,-0.2490,-0.1036,0.4814,0.552
0.156928,-0.5014,-0.2458,0.3459,0.657
0.160842,-0.7829,-0.3204,0.0964,0.851
0.166928,-1.0219,-0.3376,-0.1616,1.088
0.170190,-1.0762,-0.4196,-0.2682,1.186
0.175329,-0.9801,-0.3894,-0.4152,1.133
0.181277,-0.7865,-0.3279,-0.5770,1.029
0.188455,-0.6249,-0.1696,-0.6147,0.893
0.190213,-0.4604,0.0018,-0.5310,0.703
0.194807,-0.3071,0.1730,-0.4021,0.535
0.199995,-0.1991,0.3378,-0.2042,0.442
0.203451,-0.0782,0.4483,-0.0379,0.457
0.208490,0.0155,0.5402,0.1058,0.551
0.225633,0.0158,0.5223,0.2217,0.568
0.227418,-0.0031,0.5063,0.3045,0.591
0.228248,-0.0590,0.4856,0.3581,0.606
0.228862,0.0369,0.4375,0.2797,0.521
0.233228,0.1141,0.4157,0.2799,0.514
0.236955,0.1058,0.3958,0.2112,0.461
0.241714,-0.0013,0.3469,0.1522,0.379
0.247248,-0.1416,0.3028,0.1434,0.364
0.252753,-0.2259,0.2751,0.0769,0.364
0.257139,-0.1949,0.3236,-0.0220,0.378
0.261328,-0.3534,0.3660,0.0189,0.509
0.267770,-0.2879,0.4290,0.0908,0.525
0.270873,-0.1084,0.5049,0.1367,0.534
0.275475,0.1328,0.6063,0.2237,0.660
0.280248,0.3107,0.6673,0.3115,0.799
0.290365,0.6646,0.6623,0.4059,1.022
0.295192,0.8101,0.6240,0.4631,1.123
0.300369,0.9946,0.5695,0.5407,1.267
0.304510,1.2076,0.4794,0.7348,1.493
0.308869,1.3764,0.3932,0.9477,1.717
0.315311,1.3830,0.2636,1.0393,1.750
0.319979,1.2649,0.1451,1.0656,1.660
0.322693,1.0590,0.0535,1.1138,1.538
0.328090,0.3815,0.1342,1.3719,1.430
0.333950,0.2486,0.2844,1.3096,1.363
0.337837,0.4633,0.4610,1.1349,1.310
0.342903,0.7339,0.6555,1.0523,1.441
0.347737,0.9993,0.7761,0.8763,1.539
0.352901,0.9744,0.7798,0.8013,1.483
0.356704,1.1212,0.7772,0.4984,1.452
0.361300,1.1811,0.6226,0.1496,1.344
0.368518,0.0634,0.0915,0.6311,0.641
0.372469,-0.3970,-0.1603,0.4386,0.613
0.376082,0.4935,0.1303,-0.0756,0.516
0.382238,1.4694,0.1547,-0.1455,1.485
0.386007,2.0437,0.0905,-0.1370,2.050
0.390541,2.2948,0.1914,-0.1884,2.310
0.394510,2.1862,0.1502,-0.1449,2.196
0.400114,1.9806,-0.0532,0.0042,1.981
0.404000,2.3696,0.0790,0.0757,2.372
0.409132,2.3187,0.0395,0.4961,2.372
0.427664,1.9775,0.0372,0.9070,2.176
0.429736,2.0830,0.2381,0.9644,2.308
0.430436,1.9174,0.3403,0.9510,2.167
0.431008,1.2569,0.0656,1.0288,1.626
0.433338,1.5513,0.1956,0.6837,1.707
