time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
24.863608,1.1104,-0.1993,1.9957,2.293
24.870962,1.5717,-0.2756,2.5811,3.035
24.873517,1.8732,-0.2847,3.0355,3.578
24.878257,2.0615,-0.2551,3.3447,3.937
24.882388,2.2015,-0.1901,3.5393,4.172
24.887659,2.3257,-0.0394,3.5077,4.209
24.893766,2.4546,0.0935,3.3978,4.193
24.897385,2.6364,0.219,3.1711,4.13
24.906408,2.8354,0.3454,2.7977,3.998
24.907759,3.009,0.413,2.2657,3.789
24.912208,3.243,0.449,1.6465,3.665
24.9167,3.3942,0.3412,0.9197,3.533
24.943367,3.54,0.1638,0.2008,3.549
24.944652,3.5817,-0.0675,-0.4568,3.611
24.945208,3.5583,-0.2739,-1.0275,3.714
24.94564,3.4146,-0.4836,-1.5218,3.77
24.94603,3.173,-0.704,-1.9215,3.776
24.94644,2.7946,-0.9049,-2.2423,3.695
24.948401,2.3565,-1.0681,-2.4784,3.583
24.95454,1.833,-1.2431,-2.7044,3.496
24.959083,1.3569,-1.4388,-2.6718,3.324
24.963996,0.8244,-1.6305,-2.4023,3.018
24.968861,0.2968,-1.7118,-2.2639,2.854
24.974495,-0.1437,-1.753,-1.9087,2.596
24.978452,-0.5155,-1.7202,-1.3359,2.238
24.982034,-0.8557,-1.6259,-0.8118,2.009
24.987115,-1.1113,-1.4242,-0.4119,1.853
24.992105,-1.2483,-1.2795,0.2075,1.8
24.997851,-1.3002,-1.0123,0.6927,1.787
25.00622,-1.3796,-0.7168,1.0794,1.893
25.007637,-1.3275,-0.4956,1.5265,2.083
25.012223,-1.2363,-0.2866,1.8169,2.216
25.016149,-1.0767,-0.0997,1.9572,2.236
25.043678,-0.8026,-0.0001,2.1858,2.329
25.045006,-0.4556,0.0413,2.2501,2.296
25.045649,-0.0989,0.0734,2.2295,2.233
25.045978,0.6092,0.0064,1.8936,1.989
25.046257,0.8752,-0.0508,1.6304,1.851
25.050134,1.0324,-0.1307,1.2883,1.656
25.05712,1.0824,-0.1943,0.9109,1.428
25.0606,0.982,-0.2352,0.5549,1.152
25.063998,0.8243,-0.2664,0.2342,0.897
25.067556,0.6354,-0.2672,-0.0421,0.691
25.07484,0.4035,-0.2981,-0.2756,0.572
25.078605,0.1775,-0.2966,-0.3876,0.519
25.083163,-0.0504,-0.2764,-0.3838,0.476
25.089316,-0.3076,-0.2676,-0.3835,0.56
25.09283,-0.5983,-0.2229,-0.3508,0.729
25.098145,-0.8347,-0.1985,-0.2207,0.886
25.106677,-1.0972,-0.1741,-0.114,1.117
25.108328,-1.3424,-0.1186,0.0632,1.349
25.11351,-1.5992,-0.118,0.207,1.617
25.116258,-1.812,-0.0749,0.4111,1.86
25.145541,-1.9347,-0.0669,0.5961,2.026
25.14657,-2.0564,-0.0797,0.74,2.187
25.147095,-2.133,-0.0966,0.935,2.331
25.147593,-2.1932,-0.1577,1.0553,2.439
25.148005,-2.2202,-0.2266,1.1797,2.524
25.14835,-2.2179,-0.2648,1.2607,2.565
25.15045,-2.1876,-0.3484,1.3204,2.579
25.154709,-2.1292,-0.4341,1.3121,2.538
25.159543,-2.0316,-0.5053,1.2581,2.442
25.16454,-1.96,-0.536,1.1812,2.35
25.16935,-1.8843,-0.564,1.0749,2.241
