time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002623,-0.2914,0.1053,-2.1086,2.131
0.003740,-0.5306,0.2067,-1.6894,1.783
0.004576,-0.6568,0.3431,-1.2305,1.436
0.009177,-0.6708,0.3373,-0.7605,1.069
0.012761,-0.7398,0.3025,-0.2917,0.851
0.017441,-0.7812,0.2826,0.1687,0.848
0.027689,-0.7330,0.2439,0.6131,0.986
0.028444,-0.5582,0.1936,0.9783,1.143
0.031836,-0.3645,0.0857,1.3504,1.401
0.036918,-0.1660,-0.0490,1.6813,1.690
0.042152,-0.0309,-0.2089,1.9399,1.951
0.047165,0.0199,-0.3842,2.1065,2.141
0.074269,0.0497,-0.4379,2.0501,2.097
0.076998,0.1236,-0.4442,1.8180,1.876
0.078026,0.2763,-0.3891,1.5279,1.601
0.078723,0.4225,-0.3103,1.1873,1.298
0.079619,0.5068,-0.1857,0.8252,0.986
0.080883,0.5124,-0.0627,0.4183,0.664
0.081664,0.4940,0.1118,-0.0570,0.510
0.090906,0.4865,0.2513,-0.4580,0.714
0.092189,0.4476,0.3487,-0.7648,0.952
0.097418,0.3919,0.4170,-0.9962,1.149
0.098857,0.3578,0.4108,-1.2178,1.334
0.103413,0.3823,0.3821,-1.3841,1.486
0.113952,0.5680,0.3302,-1.4191,1.564
0.120909,0.5577,0.3112,-1.2911,1.440
0.122843,0.4642,0.3039,-1.0764,1.211
0.128116,0.3629,0.2407,-0.8648,0.968
0.132516,0.1955,0.1534,-0.5158,0.573
0.137442,0.0878,0.2577,-0.1060,0.292
0.142275,-0.0517,0.4031,0.2392,0.472
0.146532,-0.1199,0.5144,0.6131,0.809
0.166242,-0.0112,0.5904,1.0614,1.215
0.167600,0.1053,0.5519,1.4694,1.573
0.168173,0.1885,0.4777,1.7997,1.872
0.168678,0.0685,0.3237,1.9326,1.961
0.171342,-0.1964,0.0759,1.8316,1.844
0.175047,-0.3972,-0.0711,1.4704,1.525
0.179490,-0.3366,-0.1353,1.0272,1.089
0.184056,-0.0796,-0.1860,0.5793,0.614
0.189902,0.2946,-0.1540,0.1924,0.384
0.195059,0.7068,-0.0549,-0.1148,0.718
0.199450,1.1817,0.1301,-0.3256,1.233
0.205525,1.5874,0.2173,-0.4847,1.674
0.209058,1.8922,0.2574,-0.5643,1.991
0.213524,2.0332,0.2628,-0.5431,2.121
0.219570,1.9636,0.2499,-0.4947,2.040
0.222824,1.7521,0.2813,-0.4462,1.830
0.227383,1.4968,0.3230,-0.4278,1.590
0.232821,1.2407,0.3430,-0.3688,1.339
0.237256,1.0034,0.3616,-0.2830,1.103
0.242678,0.7726,0.4548,-0.2303,0.926
0.247079,1.0687,0.6048,-1.7198,2.113
0.256224,0.4437,0.5446,-0.7890,1.056
0.257204,-0.2646,0.4206,1.0461,1.158
0.261285,-0.5233,0.3010,1.0244,1.189
0.266039,-0.7811,0.2080,1.1506,1.406
0.271831,-0.7479,0.1843,1.2510,1.469
0.276062,-0.6704,0.1736,0.9508,1.176
0.281377,-0.8527,0.0469,2.1344,2.299
0.287355,-0.8130,-0.1499,1.6078,1.808
0.291213,-0.9759,-0.3824,1.5567,1.877
0.295014,-0.9275,-0.5057,0.6245,1.227
0.299890,-0.9945,-0.4908,0.5017,1.217
0.304475,-0.7743,-0.3902,-0.1303,0.877
0.309486,-0.4905,-0.2618,-0.2285,0.601
0.313936,-0.1567,-0.0905,-0.3915,0.431
0.319868,0.0327,0.0813,-0.4923,0.500
0.323807,0.0222,0.2876,-0.5794,0.647
0.328371,-0.2844,0.4325,-0.7106,0.879
0.333679,-0.4720,0.5238,-0.7542,1.032
0.338240,-0.5062,0.3306,-0.6007,0.852
0.342096,0.0818,0.0637,-0.3704,0.385
0.346618,0.2257,0.0699,-0.4399,0.499
0.366328,0.3149,0.0738,-0.5320,0.623
0.367768,0.1033,-0.0016,-0.4407,0.453
0.368345,-0.3861,-0.1788,-0.3040,0.523
0.368828,-0.3695,-0.1797,-0.5654,0.699
0.371380,-0.3137,-0.2111,-0.8887,0.966
0.376131,-0.1881,-0.2533,-1.4637,1.497
0.379910,-0.3036,-0.2581,-1.9232,1.964
0.386834,-0.4679,-0.3148,-2.1447,2.218
0.390216,-0.6063,-0.3490,-2.0823,2.197
0.395073,-0.5608,-0.4274,-1.9612,2.084
0.399328,-0.4319,-0.4827,-1.8272,1.939
0.404724,-0.4721,-0.5211,-1.7674,1.902
0.409328,-0.4262,-0.5240,-1.7415,1.868
0.413606,-0.4426,-0.5386,-1.5502,1.700
0.420319,-0.4060,-0.5251,-1.3802,1.532
0.423772,-0.3929,-0.4628,-1.3069,1.441
0.428446,-0.7736,-0.4622,-0.9024,1.275
0.437779,-1.5614,-0.4014,-0.3605,1.652
0.442885,-1.4905,-0.3292,-0.5823,1.634
0.446975,-1.1472,-0.3942,-1.3700,1.830
0.465046,-1.2392,-0.6103,-0.7507,1.572
0.467235,-0.9681,-0.9954,-0.5224,1.484
0.468020,-0.0175,-1.3373,-0.9348,1.632
0.468697,1.1042,-1.3316,-0.9200,1.959
0.471490,1.7748,-1.2146,-1.2487,2.487
0.477213,-9.5673,-0.5944,29.4093,30.932
0.481794,6.7170,-1.3764,-3.9965,7.936
0.486007,5.7802,-1.6291,-3.7048,7.056
0.490737,3.6491,-1.6482,-1.9857,4.469
0.495980,-5.0603,-1.4853,15.9341,16.784
0.500164,4.7362,-1.8095,-3.4212,6.116
0.503950,-0.0494,-1.8688,3.4207,3.898
0.510386,-0.0622,-1.6616,2.3102,2.846
0.514940,1.8740,-1.6556,-1.1263,2.743
0.519377,0.8196,-1.1069,0.9617,1.680
0.524582,1.3929,-0.7207,-0.2517,1.588
0.528913,1.6107,-0.2865,-0.8344,1.837
0.533248,1.2883,0.2280,0.0266,1.309
0.538305,1.3102,0.7220,-0.0343,1.496
0.543688,0.8201,0.8643,0.2303,1.213
0.548346,-0.7201,0.6374,0.5459,1.106
0.553100,-2.6639,0.2656,1.1347,2.908
0.558283,-4.1405,-0.1339,1.4268,4.381
0.562623,-4.5422,-0.6348,1.0555,4.706
0.566896,-3.7077,-1.1155,-0.5621,3.912
0.571857,-2.9801,-1.3441,-1.4027,3.557
0.576568,-2.7956,-1.1493,-0.9646,3.173
0.580985,-2.2567,-0.8748,-0.6121,2.496
0.586707,-1.1857,-0.6317,-1.0860,1.728
0.589913,-0.4553,-0.5295,-1.3310,1.503
0.596086,-0.4371,-0.5767,-0.9652,1.206
0.600322,-0.3998,-0.5082,-0.3703,0.745
0.604456,-0.1744,-0.3906,0.0064,0.428
0.610111,0.0953,-0.2249,0.3244,0.406
0.614308,0.4887,-0.1036,0.4605,0.679
0.619280,0.7087,-0.0661,0.4811,0.859
0.624339,0.9210,-0.1265,0.2901,0.974
0.629242,1.0046,-0.2495,0.2861,1.074
0.632415,0.9424,-0.4413,0.4394,1.130
0.637258,0.8547,-0.6419,0.5587,1.206
0.643574,0.7022,-0.8405,0.5620,1.231
0.647519,0.5258,-0.9952,0.6052,1.278
0.666859,0.5872,-1.1081,0.4022,1.317
0.669331,0.7347,-1.1329,0.3274,1.389
0.670007,0.6931,-1.1211,0.1802,1.330
0.672448,-6.1922,-1.4731,10.2373,12.055
0.676636,-1.0282,-0.0534,-5.0875,5.191
0.680879,-0.7697,0.1578,-7.3307,7.373
0.687390,-3.1752,0.0104,-0.2117,3.182
0.691542,-0.7006,0.3044,-3.1896,3.280
0.695650,0.0205,0.6733,-0.5837,0.891
0.700668,0.4191,1.0266,-0.4249,1.188
0.704220,0.3589,1.2360,0.4316,1.358
0.709170,0.1892,1.2859,0.9889,1.633
0.714225,0.0821,1.2768,0.9082,1.569
0.720873,-0.3648,1.1914,0.7836,1.472
0.725423,-0.3661,1.0890,0.6672,1.329
0.728927,-0.5104,0.8148,0.3833,1.035
0.734308,-0.5694,0.5366,0.2006,0.808
0.738329,-0.6601,0.2815,0.0221,0.718
0.743626,-0.4805,0.1797,0.1661,0.539
0.748995,-0.3538,0.1737,0.3307,0.514
0.764726,-0.2686,0.2215,0.1988,0.401
0.766275,-0.1377,0.2889,-0.1079,0.338
0.766783,0.1914,0.4166,-0.1661,0.488
0.767286,0.3822,0.5847,-0.0882,0.704
0.772284,0.2695,0.7525,-0.0408,0.800
0.776805,-0.1263,0.7603,0.4840,0.910
0.781785,-0.3232,0.6425,0.1569,0.736
0.788200,-0.7027,0.2583,0.1733,0.768
0.791456,-1.1819,-0.2560,0.4510,1.291
0.795550,-1.3667,-0.5521,0.6249,1.601
0.800250,-1.4431,-0.6936,1.4615,2.168
0.806179,-1.2485,-0.7606,1.9168,2.411
0.810104,-0.8525,-0.6140,1.4777,1.813
0.814975,-0.1068,-0.3155,1.6528,1.686
0.819304,0.5402,-0.0199,1.9409,2.015
0.823903,0.6420,0.2861,1.5425,1.695
0.829428,0.1058,0.4296,1.2142,1.292
0.833766,-0.7976,0.5833,0.9935,1.401
0.840056,-1.8457,0.8693,0.8173,2.198
0.844139,-2.6215,1.2887,0.8883,3.053
0.848683,-2.7025,1.4777,0.9784,3.232
0.853418,-2.2647,1.4350,0.9353,2.840
0.857978,-1.3649,1.3624,1.3733,2.368
0.862752,-0.4963,1.3393,1.2770,1.916
0.868117,-0.0055,1.0355,-0.0890,1.039
0.871979,0.4249,0.9269,-3.7420,3.878
0.877743,0.4788,0.9521,-1.5928,1.916
0.882177,-0.5941,0.1926,0.1000,0.632
