time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
10.417451,-0.8993,0.5029,1.3767,1.72
10.42455,-0.6138,0.4871,1.3687,1.577
10.43607,-0.0721,0.4537,1.0939,1.186
10.43697,0.0954,0.4192,0.7966,0.905
10.442594,0.2009,0.3939,0.4591,0.637
10.446126,0.261,0.3889,0.1468,0.491
10.450401,0.3213,0.3588,-0.1439,0.503
10.45621,0.3674,0.315,-0.398,0.627
10.460658,0.3852,0.2814,-0.5825,0.753
10.464514,0.4172,0.2501,-0.7224,0.871
10.475219,0.4313,0.2224,-0.8467,0.976
10.476175,0.4408,0.1865,-0.9066,1.025
10.480056,0.4114,0.182,-0.9644,1.064
10.48595,0.3752,0.1766,-1.0062,1.088
10.492133,0.294,0.1823,-1.0149,1.072
10.493851,0.1676,0.2037,-1.0041,1.038
10.49834,0.0565,0.1955,-0.9623,0.984
10.503014,-0.0753,0.2214,-0.8353,0.867
10.507677,-0.178,0.203,-0.6961,0.747
10.51261,-0.2554,0.1906,-0.5507,0.636
10.517662,-0.3122,0.1696,-0.3734,0.515
10.524659,-0.3459,0.1681,-0.2106,0.438
10.5274,-0.3797,0.1738,-0.0588,0.422
10.532227,-0.4018,0.1677,0.0482,0.438
10.537362,-0.4207,0.1671,0.1246,0.469
10.541401,-0.4399,0.1608,0.1932,0.507
10.545349,-0.4383,0.1423,0.1928,0.5
10.550785,-0.4381,0.1118,0.2043,0.496
10.556215,-0.3688,0.0798,0.1558,0.408
10.56074,-0.3331,0.0297,0.0856,0.345
10.565358,-0.2633,0.0032,0.0095,0.263
10.572079,-0.2112,-0.0057,-0.1409,0.254
10.576395,-0.1581,-0.0082,-0.2836,0.325
10.579488,-0.1184,-0.015,-0.421,0.438
10.58366,-0.0373,0.0065,-0.5666,0.568
10.594854,-0.0291,0.0231,-0.7289,0.73
10.596101,0.0114,0.056,-0.8693,0.871
10.599896,0.0036,0.0883,-1.0053,1.009
10.603518,-0.0188,0.1041,-1.0508,1.056
10.608405,-0.0094,0.0725,-1.0515,1.054
10.613964,-0.0001,0.0027,-0.9613,0.961
10.6192,0.0331,-0.0698,-0.8092,0.813
10.623096,0.0182,-0.1653,-0.6029,0.625
10.627764,-0.0206,-0.2311,-0.4399,0.497
10.632093,-0.0741,-0.2694,-0.2872,0.401
10.637596,-0.1544,-0.3097,-0.164,0.383
10.641591,-0.1951,-0.299,-0.0126,0.357
10.646998,-0.2391,-0.2803,0.0617,0.374
10.651061,-0.2323,-0.2562,0.1564,0.38
10.656426,-0.208,-0.2311,0.2207,0.381
10.660533,-0.1477,-0.2078,0.3243,0.413
10.671749,-0.013,-0.1968,0.5649,0.598
10.674804,0.0061,-0.1833,0.6461,0.672
10.680281,-0.0635,-0.1537,0.7555,0.774
10.69245,-0.1329,-0.1149,0.807,0.826
10.69452,-0.2061,-0.0808,0.8814,0.909
10.695388,-0.2928,-0.0332,0.9005,0.947
10.699351,-0.383,0.0841,0.9597,1.037
10.704151,-0.4871,0.1905,1.0049,1.133
10.708647,-0.5889,0.3023,1.0181,1.214
10.714255,-0.6287,0.448,1.015,1.275
10.720967,-0.6584,0.5877,1.0441,1.367
10.722888,-0.6713,0.7448,1.0996,1.488
10.728296,-0.6197,0.8875,1.147,1.577
10.732831,-0.5276,1.0227,1.1957,1.659
10.737634,-0.359,1.1251,1.2465,1.717
10.742361,-0.1959,1.2098,1.2623,1.759
10.746254,0.0088,1.2522,1.2601,1.776
10.751247,0.2252,1.2503,1.2485,1.781
10.757611,0.4231,1.2506,1.1934,1.78
10.760811,0.6232,1.2216,1.1238,1.773
10.765577,0.7918,1.199,0.9878,1.744
10.772095,0.9779,1.1413,0.8422,1.723
