time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002258,0.0937,0.2855,-1.0093,1.053
0.002939,0.1566,0.5411,-0.6090,0.830
0.005481,0.1862,0.5963,-0.1675,0.647
0.008428,0.2441,0.5069,0.2024,0.598
0.024270,0.3061,0.4948,0.4164,0.715
0.024901,0.4265,0.4175,0.5808,0.833
0.025318,0.4078,0.3813,0.7148,0.907
0.027858,0.0557,0.5357,0.7601,0.932
0.035608,0.0059,0.4889,0.8337,0.966
0.037396,-0.7995,1.1649,0.8341,1.641
0.042958,-0.8491,1.1951,0.7755,1.659
0.049078,0.2184,1.4297,1.0406,1.782
0.052163,-0.1544,1.0843,1.1965,1.622
0.056366,-0.6800,0.6998,0.9957,1.394
0.061329,-0.9957,0.4503,0.5543,1.225
0.066051,-1.2044,0.1225,0.2386,1.234
0.070549,-1.4205,-0.1815,0.0408,1.433
0.075199,-1.5192,-0.4053,-0.1639,1.581
0.094651,-1.5520,-0.5684,-0.4777,1.720
0.095656,-1.5467,-0.7127,-0.8122,1.887
0.096415,-1.5848,-0.8122,-1.1047,2.096
0.096875,-1.5799,-0.9193,-1.2907,2.238
0.099936,-1.5062,-0.9929,-1.3315,2.242
0.103842,-1.2116,-0.9230,-1.2252,1.955
0.108516,-0.9730,-0.8750,-1.0839,1.699
0.115684,-0.8241,-0.9450,-0.8117,1.494
0.118453,-0.7210,-0.9583,-0.4611,1.285
0.122781,-0.6121,-0.9160,-0.0944,1.106
0.127836,-0.4079,-0.8500,0.1386,0.953
0.132553,-0.3253,-0.7714,0.3306,0.900
0.137791,-0.0736,-0.5251,0.5782,0.785
0.142351,0.1488,-0.2413,0.6618,0.720
0.148012,0.3788,0.0059,0.6987,0.795
0.152218,0.5934,0.1571,0.7581,0.975
0.156545,0.7291,0.2341,0.7051,1.041
0.161137,0.7233,0.3139,0.6326,1.011
0.166892,0.6695,0.3145,0.5266,0.908
0.171003,0.6315,0.1837,0.4589,0.802
0.175950,0.5668,-0.0115,0.3865,0.686
0.191798,0.5276,-0.1686,0.3272,0.643
0.192683,0.6865,-0.1070,0.2803,0.749
0.193114,0.7021,-0.1241,0.2313,0.750
0.195365,0.5784,-0.2065,0.3111,0.688
0.199518,0.4537,-0.2573,0.4487,0.688
0.204750,0.3160,-0.3106,0.5215,0.684
0.214961,0.3321,-0.2099,0.5854,0.705
0.218822,0.4792,-0.0057,0.5400,0.722
0.223542,0.5831,0.2083,0.4714,0.778
0.228898,0.6400,0.4131,0.3892,0.855
0.233280,0.6118,0.5896,0.2786,0.894
0.237867,0.6037,0.6899,0.2168,0.942
0.242909,0.5545,0.7935,0.1889,0.986
0.247735,0.4693,0.8946,0.2784,1.048
0.252579,0.3807,0.9647,0.3896,1.108
0.257303,0.2142,1.0610,0.4934,1.190
0.262343,0.0433,1.1551,0.6259,1.314
0.267168,-0.1275,1.1901,0.6250,1.350
0.271702,-0.2534,1.1819,0.6142,1.356
0.275825,-0.3604,1.0672,0.6145,1.283
0.287928,-0.2766,0.9033,0.5235,1.080
0.289146,-0.1719,0.7768,0.3515,0.870
0.290194,-0.0995,0.6496,0.1938,0.685
0.294956,-0.0410,0.4757,0.0176,0.478
0.304654,-0.1080,0.2614,-0.0748,0.293
0.305746,-0.1750,0.0636,-0.1447,0.236
0.309164,-0.2466,-0.1011,-0.2058,0.337
0.315998,-0.2486,-0.2232,-0.2291,0.405
0.318986,-0.2970,-0.3747,-0.2194,0.526
0.323757,-0.4028,-0.5629,-0.2079,0.723
0.328484,-0.3557,-0.7196,-0.1159,0.811
0.335333,-0.4645,-0.8427,-0.1818,0.979
0.338236,-0.5444,-0.9065,-0.1096,1.063
0.342970,-0.3287,-0.8767,0.1827,0.954
0.349892,0.0292,-0.7752,0.4436,0.894
0.352792,-0.0897,-0.5281,0.4968,0.731
0.356588,-0.0731,-0.2540,0.5181,0.582
0.362152,-0.1791,-0.0305,0.5541,0.583
0.366775,-0.2264,0.0690,0.4582,0.516
0.371395,-0.2961,0.1351,0.2384,0.403
0.376692,-0.3208,0.1410,-0.1596,0.385
0.392783,-0.3945,0.1739,-0.5005,0.661
0.394536,-0.3025,0.1847,-0.9018,0.969
0.395092,-0.2166,0.1836,-1.1813,1.215
0.395456,-0.2346,0.1686,-1.4523,1.481
0.400101,-0.3083,0.1100,-1.6075,1.640
0.404583,-0.3522,0.0462,-1.6451,1.683
0.409252,-0.0544,-0.1578,-1.8501,1.858
0.414844,0.4406,-0.4118,-2.2307,2.311
0.419115,0.7627,-0.5622,-2.7001,2.862
0.423568,0.9159,-0.6856,-2.9807,3.193
0.428316,0.9090,-0.7035,-3.1474,3.351
0.434164,0.8309,-0.6732,-3.1166,3.295
0.438573,0.6482,-0.5825,-2.9681,3.093
0.442911,0.2943,-0.4293,-2.5610,2.613
0.447842,0.1357,-0.3864,-2.0342,2.075
0.452454,-0.2336,-0.2503,-1.5353,1.573
0.462879,-0.7946,-0.1249,-0.1978,0.828
0.467884,-0.9949,-0.0330,0.3582,1.058
0.471824,-1.2186,-0.0113,0.7565,1.434
0.476718,-1.1754,-0.0484,1.2389,1.708
0.489982,-1.2308,-0.0298,1.5118,1.950
0.491331,-0.9773,-0.0834,1.5288,1.816
0.491844,-0.6132,-0.1274,1.3940,1.528
0.495596,-0.2841,-0.1812,1.0369,1.090
0.501136,-0.0360,-0.0800,0.7583,0.763
0.505379,0.0265,0.0470,0.4780,0.481
0.510177,0.0961,0.1415,0.1639,0.237
0.515209,0.0467,0.1805,-0.0695,0.199
0.519577,-0.1742,0.2834,-0.1524,0.366
0.525185,-0.4256,0.2878,-0.0451,0.516
0.528836,-0.8004,0.3445,0.2112,0.897
0.534339,-1.0972,0.3274,0.5348,1.264
0.538988,-1.4049,0.3014,0.8483,1.669
0.543267,-1.5598,0.2391,1.0802,1.912
0.550246,-1.5924,0.2064,1.2766,2.051
0.552823,-1.5082,0.1531,1.4165,2.075
0.557901,-1.5155,0.1097,1.5449,2.167
0.566280,-1.4758,-0.0168,1.6502,2.214
0.568334,-1.3945,-0.1879,1.7876,2.275
0.572044,-1.2672,-0.2452,1.8974,2.295
0.576357,-1.2514,-0.3234,1.9793,2.364
0.588348,-1.1972,-0.4007,1.9589,2.330
0.591199,-1.1144,-0.4062,1.8726,2.217
0.592423,-1.0147,-0.4020,1.7202,2.037
0.600159,-1.0438,-0.3703,1.5589,1.912
0.601347,-1.0567,-0.3865,1.3097,1.727
0.605131,-1.0430,-0.3892,1.0303,1.517
0.609908,-0.9443,-0.4007,0.6482,1.213
0.617543,-0.8414,-0.3699,0.4481,1.023
0.619548,-0.7318,-0.2749,0.4959,0.926
0.624635,-0.5888,-0.2027,0.5462,0.828
0.628914,-0.5285,-0.1020,0.4568,0.706
0.635113,-0.2116,0.0320,0.2407,0.322
0.638930,-0.2464,0.0193,-0.4584,0.521
0.643337,-0.0535,0.0935,-0.0899,0.140
0.648653,-0.0274,0.2144,0.2072,0.299
0.653478,-0.1486,0.3936,0.4211,0.595
0.658402,-0.1718,0.4264,0.3960,0.607
0.666204,-0.0408,0.2962,0.4904,0.574
0.668719,-0.0066,0.1013,0.8399,0.846
0.672659,0.1950,-0.0443,1.0537,1.072
0.676636,0.4034,-0.1064,1.1923,1.263
0.682920,0.6410,-0.1767,1.2011,1.373
0.686528,0.3892,-0.4582,4.1965,4.239
0.691194,1.0024,-0.6051,0.4984,1.273
0.697668,1.5136,-0.6478,0.8201,1.839
