time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
12.991401,-0.3223,1.7369,-1.2239,2.149
12.991923,-0.1525,1.8461,-1.4241,2.337
12.993105,0.021,1.9299,-1.4799,2.432
12.997529,0.1529,2.0479,-1.5966,2.601
13.00266,0.238,2.1445,-1.5743,2.671
13.007248,0.2349,2.1939,-1.5283,2.684
13.01291,0.1689,2.2163,-1.4895,2.676
13.022579,-0.2884,2.1356,-1.3746,2.556
13.030991,-0.4472,1.9862,-1.2922,2.411
13.031884,-0.5773,1.7642,-1.2055,2.213
13.0362,-0.6434,1.5521,-1.1504,2.036
13.042065,-0.6587,1.3076,-1.0993,1.831
13.045514,-0.6448,1.0433,-1.0105,1.589
13.049815,-0.6136,0.7466,-0.9062,1.325
13.057587,-0.4317,0.4431,-0.8427,1.045
13.059782,-0.2964,0.1576,-0.7571,0.828
13.064463,-0.1486,-0.1029,-0.6656,0.69
13.06907,-0.0497,-0.308,-0.6218,0.696
13.085601,0.1353,-0.5105,-0.6629,0.848
13.086996,0.2982,-0.6805,-0.8077,1.097
13.087469,0.4826,-0.8908,-0.9577,1.394
13.090039,0.6764,-1.0619,-1.2042,1.742
13.093871,0.8749,-1.1888,-1.4893,2.097
13.097948,1.1443,-1.2048,-1.7354,2.403
13.102436,1.4541,-1.2007,-1.8609,2.649
13.110815,1.8059,-1.0853,-1.927,2.855
13.112297,2.1716,-0.9124,-1.8069,2.969
13.117769,2.5529,-0.6137,-1.6709,3.112
13.121648,2.9574,-0.2888,-1.4054,3.287
13.127336,3.3273,0.0825,-1.1252,3.513
13.131366,3.6705,0.4674,-0.9158,3.812
13.136533,4.0131,0.8797,-0.7694,4.18
13.141573,4.355,1.2739,-0.721,4.594
13.145826,4.6069,1.6131,-0.7555,4.939
13.15013,4.7975,1.9205,-0.8663,5.24
13.157296,4.9555,2.1841,-1.0195,5.511
13.159961,4.8687,2.4885,-1.0874,5.575
13.164334,4.7765,2.6481,-1.2164,5.595
13.169373,4.6225,2.7701,-1.2444,5.531
13.183271,4.3922,2.7239,-1.3151,5.333
13.184296,4.2337,2.7352,-1.2218,5.186
13.184997,3.7297,2.7086,-0.9293,4.702
13.189193,3.7915,2.5518,-0.8029,4.64
13.193801,3.8376,2.3964,-0.5619,4.559
13.198326,3.7309,2.1908,-0.3251,4.339
13.202992,3.9874,1.9255,-0.195,4.432
13.207901,4.1315,1.5683,0.0353,4.419
13.212655,4.5557,1.2671,0.1883,4.732
13.218567,4.9092,1.0108,0.3439,5.024
13.225125,5.3231,0.7154,0.5555,5.4
13.227714,5.7705,0.4848,0.9697,5.871
13.231768,5.9375,0.2849,1.0507,6.037
13.236034,6.024,0.0422,1.3689,6.178
13.241079,5.8848,-0.1984,1.4879,6.073
13.24597,5.5636,-0.5013,1.5828,5.806
13.250688,4.9994,-0.9221,1.6041,5.331
13.257565,4.2384,-1.4172,1.3639,4.673
13.260358,3.3795,-1.9586,0.975,4.026
13.26542,2.4403,-2.6084,0.6319,3.627
13.269585,1.4884,-3.1969,0.2495,3.535
13.287007,0.6145,-3.7868,-0.2383,3.844
13.288567,-0.2006,-4.28,-0.6846,4.339
13.289261,-0.9223,-4.6872,-1.0065,4.882
13.290105,-1.4846,-5.0561,-1.2841,5.424
13.29363,-1.8838,-5.2682,-1.6697,5.839
13.298344,-2.1089,-5.5001,-1.6821,6.126
13.303031,-2.0599,-5.5514,-1.7052,6.162
13.307754,-1.78,-5.5096,-1.5919,6.005
13.312647,-1.3525,-5.337,-1.4199,5.686
13.317428,-0.7858,-5.1582,-1.0469,5.322
13.322185,-0.1829,-4.9105,-0.4355,4.933
13.327401,0.4643,-4.6371,0.1283,4.662
13.331719,1.0764,-4.3034,0.6688,4.486
13.33651,1.2627,-3.6309,0.9267,3.954
13.341638,1.0857,-2.8866,1.1363,3.287
13.346902,0.8354,-2.0906,1.1435,2.525
13.351039,0.6417,-1.329,1.1627,1.879
13.357932,0.5254,-0.5936,1.1419,1.39
13.361953,0.5303,0.0648,1.301,1.406
13.365104,0.5694,0.6176,1.6393,1.842
13.369773,0.6643,1.0981,1.8805,2.277
13.390134,0.8718,1.3845,2.2994,2.822
13.391388,1.0156,1.6528,2.8018,3.408
13.391987,1.0125,1.8185,3.2233,3.837
13.392506,1.1453,2.0122,3.4716,4.173
13.394122,0.9525,1.9733,3.725,4.322
13.398847,0.907,2.0347,3.6809,4.302
13.406474,0.387,1.7708,3.7553,4.17
13.410341,0.2292,1.7789,3.4793,3.914
13.414118,-0.2791,1.5088,3.395,3.726
13.418403,-0.5986,1.3821,3.0661,3.416
13.427557,-0.9741,1.1489,2.8429,3.217
13.428888,-1.441,0.9359,2.5677,3.09
13.432068,-1.7411,0.7916,2.0791,2.825
13.441386,-2.705,0.1476,1.4993,3.096
13.446545,-3.1635,-0.1857,1.2707,3.414
13.450981,-3.6338,-0.5205,1.0198,3.81
13.457472,-4.1043,-0.8994,0.8448,4.286
13.460791,-4.5709,-1.2025,0.6512,4.771
13.466834,-5.0073,-1.5267,0.5147,5.26
13.487731,-5.4329,-1.7498,0.3299,5.717
13.489546,-5.8085,-1.9041,0.1486,6.114
13.490653,-6.0846,-2.0591,0.0662,6.424
13.491518,-6.3224,-2.1162,-0.019,6.667
13.492423,-6.499,-2.1149,-0.0543,6.835
13.494164,-6.6377,-2.055,0.0181,6.949
13.498883,-6.7088,-1.9403,0.0665,6.984
13.504885,-6.738,-1.7992,0.2534,6.979
13.510777,-6.7418,-1.6165,0.4111,6.945
13.513095,-6.726,-1.4043,0.6491,6.902
13.518254,-6.7163,-1.198,0.8841,6.879
13.522852,-6.6668,-0.9486,1.1322,6.829
13.52747,-6.5662,-0.6828,1.4521,6.759
13.532312,-6.4393,-0.3976,1.7394,6.682
13.539839,-6.225,-0.0549,1.9496,6.523
13.541781,-6.0428,0.2135,2.1339,6.412
13.547251,-5.8583,0.4978,2.2269,6.287
13.55101,-5.6286,0.7375,2.234,6.1
13.557879,-5.3903,1.0739,2.0201,5.856
13.561527,-5.1204,1.3267,1.7243,5.563
13.565832,-4.8114,1.4082,1.3989,5.205
13.590361,-4.4957,1.3782,0.9915,4.806
13.591763,-4.134,1.1245,0.7118,4.343
13.592399,-3.7676,0.8655,0.3563,3.882
13.592989,-3.3749,0.5067,0.1679,3.417
13.593478,-2.9563,0.1985,-0.1213,2.965
13.594465,-2.4448,-0.0671,-0.4861,2.494
13.599049,-1.8373,-0.3081,-1.0037,2.116
13.60445,-1.1522,-0.4821,-1.7299,2.134
13.608293,-0.3861,-0.7896,-2.4676,2.619
13.613118,0.4299,-1.1182,-3.4464,3.649
13.618526,1.297,-1.4169,-4.6194,5.003
13.622966,2.2676,-1.9067,-5.4843,6.233
13.627537,3.2489,-2.3362,-6.3302,7.489
13.632449,4.2275,-2.7506,-6.9265,8.568
13.638228,5.074,-3.0424,-7.3825,9.461
13.642322,5.9027,-3.2908,-7.6567,10.213
13.646824,6.8104,-3.4294,-7.7776,10.892
13.651208,7.6844,-3.4358,-7.905,11.547
13.657254,8.5444,-3.2798,-7.7118,11.968
13.661428,9.4217,-2.9529,-7.4978,12.398
