time,gFx,gFy,gFz,TgF
81.31440601,1.4146,-0.2943,0.2116,1.46
81.31535799,1.4102,-0.3036,0.2175,1.459
81.32235825,1.4043,-0.3036,0.2224,1.454
81.32291617,1.3897,-0.3084,0.2224,1.441
81.32320731,1.374,-0.3202,0.2214,1.428
81.32562164,1.3565,-0.3236,0.2199,1.412
81.33764356,1.3355,-0.3329,0.2175,1.393
81.33775117,1.313,-0.3465,0.2087,1.374
81.33785403,1.2979,-0.3592,0.2014,1.362
81.33796481,1.2705,-0.3744,0.1897,1.338
81.33806289,1.2446,-0.388,0.1784,1.316
81.33953809,1.2144,-0.4066,0.1594,1.29
81.34226898,1.1821,-0.4256,0.1408,1.264
81.34547684,1.1538,-0.4442,0.1164,1.242
81.34814731,1.1216,-0.4652,0.09,1.218
81.35055632,1.0879,-0.4823,0.0598,1.191
81.3524096,1.0483,-0.4964,0.0285,1.16
81.35524091,1.0102,-0.5106,-0.0076,1.132
81.35728815,0.9809,-0.5292,-0.0413,1.115
81.36027737,0.9507,-0.5428,-0.0682,1.097
81.36220231,0.9214,-0.5614,-0.0975,1.083
81.3647032,0.894,-0.577,-0.1258,1.071
81.367202,0.8691,-0.5941,-0.1536,1.064
81.36958559,0.8506,-0.6097,-0.1795,1.062
81.37269585,0.8315,-0.6268,-0.1995,1.06
81.37522023,0.8149,-0.6381,-0.2235,1.059
81.37720429,0.8032,-0.6508,-0.242,1.062
81.37924018,0.7954,-0.6615,-0.2572,1.066
81.38301622,0.7934,-0.6703,-0.2669,1.072
81.38476054,0.7968,-0.6801,-0.2782,1.084
81.38729632,0.7998,-0.6815,-0.2909,1.09
81.38975575,0.8056,-0.6898,-0.2923,1.1
81.39209148,0.8134,-0.6859,-0.2948,1.104
81.39408721,0.8315,-0.6854,-0.2953,1.117
81.39654731,0.8491,-0.6835,-0.2918,1.128
81.39870106,0.8598,-0.6801,-0.285,1.133
81.40207247,0.8828,-0.6796,-0.2752,1.148
81.40395601,0.9018,-0.6757,-0.2616,1.157
81.40607361,0.9297,-0.6669,-0.2445,1.17
81.41094164,0.9531,-0.6635,-0.2264,1.183
81.4118433,0.9809,-0.6581,-0.2078,1.199
81.41423716,1.0029,-0.6542,-0.1883,1.212
81.41705335,1.0239,-0.6425,-0.1663,1.22
81.42220044,1.0473,-0.6327,-0.1463,1.232
81.42264164,1.0644,-0.6254,-0.1253,1.241
81.42375565,1.0869,-0.6136,-0.1087,1.253
81.43487945,1.1055,-0.6005,-0.0926,1.261
81.43530476,1.1191,-0.5853,-0.0794,1.265
81.43543835,1.1309,-0.5712,-0.0677,1.269
81.43555507,1.1348,-0.5467,-0.0628,1.261
81.43647424,1.1382,-0.5155,-0.055,1.251
81.43832658,1.1269,-0.4847,-0.0545,1.228
81.440477,1.1138,-0.4476,-0.0594,1.202
81.44310268,1.1035,-0.4125,-0.0579,1.179
81.44577877,1.0903,-0.3817,-0.0594,1.157
81.44883976,1.0771,-0.3495,-0.0613,1.134
81.45160502,1.0713,-0.325,-0.0604,1.121
81.45286476,1.0561,-0.3021,-0.0638,1.1
81.45588747,1.0498,-0.2787,-0.0604,1.088
81.45787658,1.042,-0.2577,-0.0555,1.075
81.46034153,1.0351,-0.2401,-0.0521,1.064
81.46337804,1.0259,-0.2274,-0.0462,1.052
81.46618726,1.018,-0.2074,-0.0447,1.04
81.46771002,1.0161,-0.1947,-0.0379,1.035
81.47023002,1.0088,-0.1859,-0.0369,1.026
81.47274309,1.0014,-0.1737,-0.0364,1.017
81.47543523,0.9912,-0.1658,-0.0296,1.005
81.47731393,0.9795,-0.1561,-0.0325,0.992
81.48034664,0.9751,-0.1483,-0.033,0.987
81.48271013,0.9668,-0.1453,-0.035,0.978
81.48558559,0.9643,-0.139,-0.036,0.975
81.4873807,0.9424,-0.1365,-0.0369,0.953
81.49056549,0.9345,-0.1346,-0.0389,0.945
81.49231226,0.9243,-0.1341,-0.0374,0.935
81.49476992,0.915,-0.1331,-0.0408,0.926
81.49715002,0.896,-0.1351,-0.0443,0.907
81.49976497,0.8823,-0.1395,-0.0457,0.894
81.50181721,0.8657,-0.1434,-0.0462,0.879
81.50459914,0.8486,-0.1439,-0.053,0.862
81.50680127,0.832,-0.1449,-0.055,0.846
81.51069893,0.8169,-0.1473,-0.0545,0.832
81.51183966,0.8042,-0.1517,-0.0682,0.821
81.51494205,0.7797,-0.1507,-0.0721,0.797
81.51679632,0.7656,-0.1575,-0.0789,0.786
81.51937763,0.7509,-0.161,-0.0833,0.772
