time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
-1.0,-1.0,-0.17672343388667763,-0.23528956333230097,-0.29603418346908805
-0.9958890453843097,-0.8845682049263669,-0.2672816210035849,-0.2713172292763497,-0.44327235500956963
-0.9923683099235063,-0.7747974679392567,-0.3233496385065722,-0.3008929493135129,-0.577068589486803
-0.9879667732134365,-0.6782774115254682,-0.36126131547501356,-0.32991380200268394,-0.6833578136822896
-0.9845102456941603,-0.6057922529436846,-0.36232731274124635,-0.3674899349643852,-0.7504784795477812
-0.9770827039445962,-0.5386926432483846,-0.37513647344033424,-0.389426551047796,-0.7916054657942762
-0.9757483312109088,-0.4809800255829971,-0.3829595178941396,-0.3899685145039744,-0.8115458227622736
-0.9724111646085802,-0.43090294860441464,-0.3914874960240021,-0.37514194280995145,-0.8130591534250234
-0.9685307000394303,-0.3928105218275443,-0.3980554146643398,-0.34729534427583353,-0.8062046557172743
-0.9488295633119108,-0.36445931319492264,-0.40936874048984295,-0.3061061216062764,-0.7960564383317755
-0.9477223879098133,-0.3491947915641706,-0.40063444030845147,-0.2651749767729947,-0.7959674188810255
-0.947288572715081,-0.35722391682246046,-0.3721448036931647,-0.22646330133168158,-0.8193795344282726
-0.9468835687761725,-0.398123913542589,-0.32907507543650005,-0.1938938783937235,-0.8729692437797659
-0.9465345409914221,-0.46353110958050436,-0.27899039742785176,-0.17172499225766485,-0.9232652334535096
-0.9429471280528645,-0.5344944078192134,-0.23827617925947578,-0.1579436358005574,-0.8977166510882628
-0.9411822328394024,-0.5953097838564727,-0.2088752869166029,-0.1449236089604624,-0.8334446076467709
-0.9375248497081401,-0.6438322017776903,-0.19396851869363754,-0.1278259523072158,-0.7720211866292785
-0.9334064864838183,-0.6805077240972153,-0.18339451355277975,-0.10939919479715075,-0.7233275470690346
-0.9292510802163036,-0.7057758535865394,-0.17479776140574094,-0.09044337772272112,-0.688698980727289
-0.9250750944803414,-0.7220505756174358,-0.1618682461765945,-0.07297150820687513,-0.6659990207860418
-0.9214152418128734,-0.7296467578470924,-0.14371190564204844,-0.050467120883658456,-0.6537143365825433
-0.9176722480929058,-0.7299550657614221,-0.11941748407451666,-0.028517600908433915,-0.6505986558062937
-0.9135077868592703,-0.7221096133031585,-0.08874427241388205,-0.0007613296170124462,-0.6557617839497931
-0.9101483944310331,-0.7082816753583259,-0.056695580409721225,0.024310932177144695,-0.6672452930965416
-0.9022252990814152,-0.6666535471809505,0.00698915949554256,0.05560286982553944,-0.7061467930742868
-0.8946561705889806,-0.6417134048345304,0.026520980373614833,0.055164137503871224,-0.7334757644545333
-0.8933407309662584,-0.6201777690314539,0.040911943467757866,0.04694435841849909,-0.7589353273690302
-0.8892964538283152,-0.6073272327724752,0.04221864979410776,0.03410498606379689,-0.7776294120265279
-0.8862523388565862,-0.6037915313719702,0.03573669867524047,0.010800557448126441,-0.7911603685405262
-0.8708374938158769,-0.6084423890583488,0.027174333536789788,-0.023691545370083555,-0.7987270218542752
-0.8699649243539938,-0.6186296697169471,0.014141657281878883,-0.065371115928564,-0.7990830996572752
-0.8696126038542928,-0.6274394043753484,8.596752147024822e-06,-0.1000696810157943,-0.7957893799795256
-0.8692660456057482,-0.6330217455475745,-0.020503253870687674,-0.12094817797047583,-0.792584679752526
-0.8668393146872404,-0.6322017776903145,-0.037180953035943036,-0.11928357592649938,-0.7942760493167758
-0.8627612872210548,-0.6252812489750401,-0.06929841905728018,-0.0944564880768039,-0.800418391418525
-0.8588207306040587,-0.6158614582308373,-0.09734102456092089,-0.04472488902653035,-0.800952508123025
-0.8544957495165946,-0.6048410902292629,-0.13282841742389728,0.015691132445545652,-0.792139582498776
-0.8502810743799643,-0.596726688313818,-0.14807905573274419,0.07325539382677826,-0.7749588285040282
-0.8465100925829177,-0.5882383810554626,-0.16310617848576808,0.12921957262310324,-0.7535941603240308
-0.8426386829798744,-0.585234018826462,-0.15944396207112954,0.17888665221430788,-0.7292918502692839
-0.8390298673941388,-0.5867558791695365,-0.14333364854757874,0.21414008464953038,-0.7092624738505364
-0.8347402829923851,-0.5943979795991996,-0.10514687551043217,0.23287653556312593,-0.6944852450260383
-0.8307725614770476,-0.601974482600282,-0.059652863148302586,0.24424486425105824,-0.6828236969777897
-0.82701228100359,-0.6004329430286333,0.0008510784625568174,0.25455507381026127,-0.6761472381715405
-0.8231754449075268,-0.5877529600839646,0.062489791356825364,0.27277536905130595,-0.6694707793652914
-0.8192357114692683,-0.563422873823346,0.12218563826586312,0.3010477960152783,-0.6595006008812927
-0.8124691822460122,-0.5248975040178424,0.17192644618862993,0.34055951274904517,-0.6429429830417948
-0.8114072816744766,-0.4736593525533798,0.20337336554249802,0.38991689893671944,-0.6150798949570482
-0.8078001124462162,-0.41893797763127677,0.2252950835174471,0.4349514813667803,-0.5789379979525526
-0.8039369346305563,-0.37023188691003306,0.22180480214574932,0.4881542273149584,-0.5331820002670584
-0.7880026638064024,-0.31896093673128,0.21884751940716796,0.5275756168060288,-0.4880491387368141
-0.7869926234953368,-0.2700121355242873,0.191423880058114,0.5432796531433882,-0.4554680197623181
-0.7864871917504317,-0.2268096690609727,0.16143840856924252,0.5314983999174152,-0.43695197400632046
-0.7861356944294684,-0.1776312768539472,0.13480567041771618,0.47611489625271,-0.4305425735523213
-0.7839871979242758,-0.12039096067434146,0.11415627176052884,0.3900846495302984,-0.4195041616593227
-0.7801133187850198,-0.06487585686641067,0.10552513260490184,0.28369206152575627,-0.40161125205857484
-0.7762814217613894,-0.01214208403030581,0.10420123277425788,0.1540595643646125,-0.376062669693328
-0.7721161373490233,0.044324182492046504,0.10954841260971604,0.003651801383297265,-0.32986157475408384
-0.7675812456834592,0.10491652727213119,0.11907361398863506,-0.1468850005161556,-0.2586460141540927
-0.7636900797907202,0.16945127750992173,0.13497760546065693,-0.25709714049757404,-0.16927048560110391
-0.7598944026315451,0.22803634097543402,0.13633589229988907,-0.3870651388458759,-0.08096319045711486
-0.7566774201249089,0.28961264718423063,0.12447237433697547,-0.5040776298131516,0.014910758000623137
-0.752540123789629,0.3220899340745845,0.10103762798414756,-0.6440590482089399,0.08078515155561483
-0.7483929493094763,0.36730624159532976,0.06278208092982468,-0.7824532879116342,0.1679351938398539
-0.7438778139336222,0.39263996851323446,0.003309749576609941,-0.8859812119335191,0.22481862286909693
-0.7408896751160512,0.3928039620846865,-0.10640200132389985,-0.9672628264684628,0.24742956335959398
-0.737336012505736,0.35777493522253956,-0.21503056145388275,-1.0,0.2168068723015979
-0.7303233528399318,0.2878874348125555,-0.3158704641386484,-0.9647336636729639,0.1262740908888591
-0.7284020536663149,0.20070189248581471,-0.42503202290174774,-0.9021885000516155,0.011082921618373431
-0.7247232678878817,0.09909803535701411,-0.5286400797778599,-0.8258877877567874,-0.1195976320826101
-0.7212708562622936,0.0074453081439209146,-0.6338643260576154,-0.7382832662330959,-0.23345350959184596
-0.7063071131697924,-0.06974318606710606,-0.7400170215692511,-0.6177609166924745,-0.3295945164018338
-0.705560490054765,-0.1353274951621895,-0.8248497717562305,-0.5200526478786002,-0.39716027952107547
-0.705162894724495,-0.29070156449867157,-0.8264487676555797,-0.32513936203158866,-0.5663862553968042
-0.7019006373872969,-0.3933156220276164,-0.7314718499350945,-0.2710849592237018,-0.6716072461832912
-0.6980316973204737,-0.49525402604217905,-0.598806770801991,-0.23806390007226175,-0.7506565184492813
