time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
23.76694,-0.8438,1.0894,-2.5073,2.861
23.771635,-0.7019,0.9389,-1.9695,2.292
23.776346,-0.6033,0.7829,-1.4706,1.772
23.784726,-0.5406,0.603,-1.0577,1.332
23.786938,-0.5503,0.4861,-0.9373,1.191
23.791218,-0.6337,0.4031,-0.7929,1.092
23.795588,-0.6837,0.2734,-0.6872,1.007
23.808163,-0.7203,0.2003,-0.7614,1.067
23.809915,-0.6905,0.1023,-0.7017,0.99
23.815116,-0.74,0.1247,-0.7523,1.063
23.822013,-0.6837,0.1429,-0.6083,0.926
23.824121,-0.7798,0.1501,-0.502,0.939
23.828946,-0.8296,0.155,-0.2051,0.869
23.834227,-0.9307,0.2236,-0.0854,0.961
23.838946,-1.0383,0.3074,-0.0349,1.083
23.843161,-1.0873,0.4411,-0.0759,1.176
23.848513,-1.1507,0.6275,-0.1582,1.32
23.852649,-1.1679,0.7585,-0.1835,1.405
23.857155,-1.1424,0.9108,-0.1326,1.467
23.862304,-1.0779,1.0101,-0.0558,1.478
23.867239,-1.0049,1.1059,-0.0152,1.494
23.871832,-0.8938,1.0781,0.166,1.41
23.876749,-0.8334,1.0633,0.1459,1.359
23.885895,-0.7792,0.9756,0.2414,1.272
23.886863,-0.7647,0.9074,0.2914,1.222
23.891191,-0.7724,0.817,0.3346,1.173
23.895875,-0.656,0.7192,0.4449,1.07
23.906815,-0.561,0.6017,0.3687,0.901
23.907435,-0.4214,0.474,0.2997,0.701
23.910041,-0.2264,0.3245,0.269,0.479
23.915603,-0.265,0.2547,0.1595,0.401
23.919662,-0.1912,0.1364,0.0834,0.249
23.924486,-0.1378,0.0443,-0.0065,0.145
23.928991,-0.0641,-0.0638,-0.0411,0.099
23.93387,0.0106,-0.1625,-0.0756,0.179
23.939344,0.0753,-0.2567,-0.1003,0.286
23.943533,0.137,-0.3294,-0.0745,0.365
23.951938,0.2249,-0.344,-0.0223,0.412
23.956037,0.1393,-0.3622,0.0062,0.388
23.958258,0.0312,-0.3552,-0.0718,0.364
23.96307,0.0319,-0.3278,-0.0813,0.339
23.968612,-0.0238,-0.2645,-0.0262,0.267
23.972389,-0.0015,-0.199,-0.0197,0.2
23.977306,0.057,-0.1076,-0.0369,0.127
23.985365,0.1575,-0.0061,-0.0282,0.16
23.990377,0.2571,0.0865,-0.0199,0.272
23.991337,0.3538,0.2065,0.0215,0.41
23.995963,0.3956,0.3041,0.096,0.508
24.009646,0.4846,0.3714,0.1848,0.638
24.010638,0.5069,0.4212,0.2717,0.713
24.011065,0.5239,0.4463,0.3495,0.772
24.015775,0.5137,0.4631,0.4134,0.806
24.020608,0.4925,0.4785,0.4248,0.807
24.024887,0.4693,0.4781,0.4293,0.796
24.030143,0.4811,0.442,0.3451,0.739
24.038881,0.4845,0.4203,0.2727,0.697
24.040086,0.4448,0.3713,0.1591,0.601
24.043864,0.4426,0.2966,0.0483,0.535
24.048776,0.4656,0.224,-0.0785,0.523
24.053573,0.4916,0.1265,-0.2074,0.548
24.058367,0.5108,0.0463,-0.3409,0.616
24.062943,0.5351,-0.0218,-0.4408,0.694
24.068575,0.5646,-0.0923,-0.4928,0.755
24.07261,0.6231,-0.1386,-0.4922,0.806
24.077363,0.6387,-0.1823,-0.4245,0.788
24.085312,0.6234,-0.2231,-0.3351,0.742
