time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19.479224,1.1216,0.5928,0.3385,1.313
19.483617,1.2023,0.2437,0.2453,1.251
19.512064,1.2787,-0.1695,0.1039,1.294
19.513359,1.3467,-0.4909,-0.2162,1.45
19.513911,1.4243,-0.7588,-0.5175,1.695
19.514219,1.5058,-0.9728,-0.8059,1.965
19.514648,1.5927,-1.1276,-1.0065,2.196
19.515032,1.7293,-1.2086,-1.1335,2.395
19.518128,1.9014,-1.1466,-1.1978,2.523
19.522761,2.083,-1.0263,-1.1917,2.61
19.527609,2.3125,-0.7856,-1.142,2.696
19.531344,2.6167,-0.4408,-1.0695,2.861
19.536432,2.9858,0.0193,-1.0494,3.165
19.5437,3.4647,0.508,-1.0215,3.648
19.545497,3.7855,1.1373,-0.937,4.062
19.551229,4.1389,1.6839,-0.9138,4.561
19.555599,4.4338,2.1897,-0.7976,5.009
19.56068,4.5028,2.6443,-0.6515,5.262
19.564955,4.6731,2.8099,-0.4743,5.473
19.569394,4.4744,3.1738,0.0269,5.486
19.575204,4.3212,3.2287,0.3176,5.404
19.580086,4.4581,3.1889,0.752,5.533
19.584904,4.3422,3.0731,1.0825,5.429
19.612486,4.4527,2.8228,1.2871,5.427
19.613649,4.6899,2.4888,1.3569,5.48
19.614221,5.0606,2.1005,1.3339,5.639
19.614778,5.52,1.6124,1.178,5.87
19.615277,6.1058,1.1633,0.9063,6.281
19.617146,6.541,0.7165,0.6095,6.608
19.617729,6.9644,0.2725,0.2574,6.975
19.622445,7.0331,-0.1976,0.3323,7.044
19.626637,6.7332,-0.5768,0.1655,6.76
19.633125,6.1793,-0.9634,0.0537,6.254
19.635325,5.3173,-1.3731,-0.0635,5.492
19.643386,4.2918,-1.8222,-0.1586,4.665
19.646813,3.1496,-2.323,-0.1964,3.919
19.649942,1.9876,-2.8252,-0.2636,3.464
19.654704,0.9223,-3.2607,-0.5593,3.434
19.659705,0.0374,-3.7465,-0.6918,3.81
19.664454,-0.618,-4.236,-0.7277,4.342
19.668908,-1.1398,-4.6778,-0.8825,4.895
19.67433,-1.4581,-5.0059,-1.1531,5.34
19.678907,-1.6015,-5.4385,-1.1078,5.777
19.683794,-1.6192,-5.815,-0.9813,6.116
19.711881,-1.4405,-6.155,-0.7646,6.367
19.712981,-0.8574,-6.266,-0.375,6.335
19.713519,-0.0836,-6.2185,0.082,6.22
19.714016,0.6679,-6.1235,0.5019,6.18
19.714447,1.3937,-5.9555,0.8893,6.181
19.714896,2.058,-5.6844,1.1293,6.15
19.717566,2.3834,-5.1485,1.3119,5.823
