time,gFx,gFy,gFz,TgF
16.66948723,-0.1574,0.7542,-0.6625,1.016
16.67048755,-0.1539,0.7493,-0.6644,1.013
16.67311802,-0.1539,0.7527,-0.6635,1.015
16.67572562,-0.153,0.7517,-0.662,1.013
16.67837333,-0.1535,0.7493,-0.6639,1.013
16.68073562,-0.1515,0.7498,-0.6635,1.013
16.68346109,-0.1496,0.7503,-0.6625,1.012
16.68575005,-0.152,0.7488,-0.6635,1.012
16.68823984,-0.1491,0.7498,-0.6639,1.013
16.69129213,-0.15,0.7517,-0.6625,1.013
16.69388286,-0.1515,0.7503,-0.662,1.012
16.69590364,-0.1496,0.7483,-0.6591,1.008
16.69739697,-0.1486,0.7503,-0.6605,1.011
16.70017015,-0.1505,0.7503,-0.6605,1.011
16.70732609,-0.151,0.7468,-0.6596,1.008
16.70823723,-0.15,0.7503,-0.6596,1.01
16.70858661,-0.1505,0.7503,-0.6605,1.011
16.72846343,-0.1491,0.7498,-0.6586,1.009
16.72915671,-0.151,0.7498,-0.6596,1.01
16.72941145,-0.1549,0.7507,-0.662,1.013
16.72959864,-0.151,0.7488,-0.661,1.01
16.72978697,-0.1525,0.7522,-0.663,1.014
16.72997109,-0.15,0.7488,-0.6635,1.012
16.73015244,-0.1544,0.7483,-0.6644,1.013
16.73033661,-0.1525,0.7478,-0.6683,1.014
16.73053973,-0.1539,0.7488,-0.6664,1.014
16.73194916,-0.1515,0.7488,-0.6679,1.015
16.73504593,-0.1539,0.7517,-0.6679,1.017
16.73724906,-0.1515,0.7517,-0.6693,1.018
16.73900078,-0.1505,0.7527,-0.6683,1.018
16.74247765,-0.1535,0.7507,-0.6683,1.017
16.74551999,-0.1505,0.7493,-0.6698,1.016
16.74655088,-0.1525,0.7512,-0.6679,1.017
16.74987338,-0.1525,0.7507,-0.6693,1.017
16.75192354,-0.1525,0.7522,-0.6698,1.019
16.75447687,-0.1539,0.7522,-0.6688,1.018
16.75708411,-0.1579,0.7503,-0.6703,1.018
16.75871067,-0.1544,0.7527,-0.6722,1.021
16.76173604,-0.1569,0.7522,-0.6669,1.017
16.76374322,-0.1559,0.7547,-0.6674,1.019
16.7672313,-0.1583,0.7537,-0.6669,1.019
16.76994281,-0.1554,0.7532,-0.6679,1.019
