time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
18.637338,0.0041,0.0016,-0.0217,0.022
18.641102,0.0091,-0.0079,-0.0146,0.019
18.645679,0.0234,0.004,-0.017,0.029
18.650445,0.0116,-0.0275,0.0164,0.034
18.655094,-0.0074,-0.0154,0.0093,0.019
18.659796,0.0094,-0.0201,-0.0122,0.025
18.665098,0.0191,-0.0343,-0.0264,0.047
18.669727,0.0049,-0.0342,-0.0143,0.037
18.674616,0.005,-0.0436,-0.0237,0.05
18.679239,-0.0067,-0.0624,-0.0234,0.067
18.683585,0.015,-0.0551,-0.0018,0.057
18.689594,0.008,-0.0478,0.003,0.049
18.693332,0.0011,-0.0596,-0.004,0.06
18.697713,0.0133,-0.05,-0.0016,0.052
18.718263,0.0063,-0.0475,0.0056,0.048
18.719231,0.0041,-0.0427,-0.0016,0.043
18.719723,-0.0075,-0.038,0.0126,0.041
18.72013,-0.0002,-0.0236,0.0102,0.026
18.722327,-0.0142,-0.0118,0.0148,0.024
18.726423,-0.0092,0.0051,0.0097,0.014
18.731443,-0.0089,0.0049,0.0118,0.016
18.736229,-0.0017,-0.0001,0.0068,0.007
18.741859,0.0007,0.0236,0.0089,0.025
18.745947,0.0243,0.0186,-0.0079,0.032
18.750926,0.0263,0.0232,0.0039,0.035
18.758829,0.0355,0.0134,0.0037,0.038
18.760638,0.0421,0.0178,0.0154,0.048
18.765078,0.0487,-0.0015,0.013,0.05
18.771937,0.0646,-0.0038,-0.0202,0.068
18.776099,0.0447,0.0082,-0.0152,0.048
18.77964,0.037,-0.0231,-0.0102,0.045
18.787164,0.0437,-0.0207,-0.0004,0.048
18.801891,0.0384,-0.0252,-0.0287,0.054
18.8031,0.026,-0.0417,-0.0308,0.058
18.803627,0.0187,-0.051,-0.016,0.057
18.804149,0.0327,-0.0365,-0.0086,0.05
18.807851,0.0324,-0.0506,-0.0083,0.061
18.812392,0.0345,-0.0433,-0.0057,0.056
18.817203,0.0271,-0.0479,-0.0078,0.056
18.822327,0.0244,-0.0428,-0.0265,0.056
18.827504,0.0218,-0.0259,-0.012,0.036
18.831991,0.0216,-0.0281,-0.026,0.044
18.837879,0.019,-0.0326,-0.0305,0.049
18.842238,0.0282,-0.0324,-0.0349,0.055
18.846128,0.0302,-0.0249,-0.0393,0.055
18.851356,0.0156,-0.0411,-0.0434,0.062
18.856204,0.0369,-0.0387,-0.0218,0.058
18.860645,0.0294,-0.0218,-0.0191,0.041
18.8665,0.0271,-0.029,-0.024,0.046
18.869898,0.0128,-0.0385,-0.0215,0.046
18.874779,0.0034,-0.0289,0.0047,0.03
18.87934,0.0012,-0.0385,-0.0025,0.039
18.884095,0.0062,-0.0314,0.0093,0.033
18.890389,0.0133,-0.029,0.019,0.037
18.894093,0.0369,-0.0408,0.0001,0.055
18.898958,0.0229,-0.0319,0.0328,0.051
18.918904,0.0253,-0.0415,0.0112,0.05
18.91989,0.0184,-0.0413,-0.0007,0.045
18.920384,0.0019,-0.0244,-0.0197,0.031
18.920878,-0.005,-0.0241,-0.0386,0.046
18.92256,-0.0188,-0.0191,-0.0265,0.038
18.927553,-0.0255,0.0027,-0.0195,0.032
18.931855,-0.0486,-0.0044,-0.0124,0.05
18.936661,-0.0408,-0.0067,-0.0125,0.043
18.941903,-0.0307,-0.0094,-0.0054,0.033
18.946547,-0.0114,-0.0166,-0.0031,0.02
18.952284,-0.0041,-0.0141,-0.0078,0.017
18.956676,0.0244,-0.0189,0.0114,0.033
18.960792,0.0427,0.0027,-0.0269,0.051
18.971181,0.0777,0.0292,-0.0744,0.111
18.975361,0.0949,0.0119,-0.0626,0.114
18.979803,0.1217,0.0068,-0.0552,0.134
18.988712,0.1386,-0.003,-0.0502,0.147
18.98965,0.132,-0.0179,-0.0452,0.141
18.994309,0.1405,-0.0446,-0.0071,0.148
18.998854,0.1041,-0.0545,0.0023,0.118
19.022451,0.0992,-0.0644,0.0139,0.119
19.023207,0.051,-0.0785,0.0047,0.094
