time,gFx,gFy,gFz,TgF
0.001324011,0.0199,0.2614,0.9568,0.992
0.001762031,0.0214,0.2683,0.9285,0.967
0.002035261,0.0126,0.2756,0.9021,0.943
0.002295313,0.0018,0.2849,0.8826,0.927
0.004090625,-0.0153,0.3015,0.8601,0.912
0.008417552,-0.0284,0.3210,0.8504,0.909
0.008768802,-0.0411,0.3415,0.8411,0.909
0.010419271,-0.0558,0.3615,0.8440,0.920
0.014177761,-0.0675,0.3801,0.8474,0.931
0.015193698,-0.0783,0.3923,0.8562,0.945
0.017682031,-0.0827,0.4045,0.8577,0.952
0.019980156,-0.0846,0.4050,0.8631,0.957
0.023051927,-0.0866,0.4060,0.8655,0.960
0.024851042,-0.0846,0.4026,0.8723,0.964
0.027671146,-0.0822,0.3923,0.8806,0.968
0.030441979,-0.0787,0.3850,0.8880,0.971
0.032489375,-0.0734,0.3772,0.9002,0.979
0.034718906,-0.0646,0.3635,0.9095,0.982
0.037311458,-0.0553,0.3528,0.9222,0.989
0.039775625,-0.0509,0.3449,0.9324,0.995
0.042279792,-0.0504,0.3352,0.9402,0.999
0.046256927,-0.0421,0.3269,0.9524,1.008
0.055206042,-0.0426,0.3220,0.9612,1.015
0.055968125,-0.0431,0.3196,0.9666,1.019
0.056321094,-0.0441,0.3166,0.9729,1.024
0.056665417,-0.0475,0.3137,0.9817,1.032
0.056979479,-0.0475,0.3098,0.9851,1.034
0.060114948,-0.0509,0.3029,0.9847,1.031
0.062870729,-0.0548,0.2986,0.9803,1.026
0.065304792,-0.0602,0.2927,0.9803,1.025
0.066858385,-0.0582,0.2863,0.9778,1.021
0.070415573,-0.0617,0.2790,0.9744,1.015
0.072244635,-0.0631,0.2741,0.9690,1.009
0.074664792,-0.0626,0.2766,0.9607,1.002
0.077476146,-0.0695,0.2761,0.9480,0.990
0.078912969,-0.0685,0.2722,0.9334,0.975
0.081813802,-0.0709,0.2751,0.9236,0.966
0.084333438,-0.0729,0.2776,0.9182,0.962
0.086898698,-0.0773,0.2810,0.9109,0.956
0.089515313,-0.0831,0.2815,0.9026,0.949
0.091655469,-0.0890,0.2849,0.8963,0.945
0.094278906,-0.0953,0.2922,0.8938,0.945
0.09665375,-0.0993,0.2961,0.8894,0.943
0.09844026,-0.1041,0.3010,0.8875,0.943
0.101787917,-0.1115,0.3044,0.8865,0.944
0.104708177,-0.1144,0.3098,0.8855,0.945
0.107343333,-0.1188,0.3137,0.8841,0.946
0.10844526,-0.1207,0.3127,0.8870,0.948
0.110954375,-0.1232,0.3156,0.8904,0.953
0.113986615,-0.1290,0.3191,0.8958,0.960
0.122323958,-0.1315,0.3171,0.9007,0.964
0.123253802,-0.1305,0.3210,0.9041,0.968
0.123578802,-0.1310,0.3200,0.9104,0.974
0.123907656,-0.1266,0.3200,0.9168,0.979
0.127720365,-0.1227,0.3176,0.9217,0.983
0.128433854,-0.1198,0.3142,0.9270,0.986
0.131811146,-0.1193,0.3098,0.9324,0.990
0.132969427,-0.1139,0.3059,0.9378,0.993
0.135790469,-0.1163,0.3054,0.9407,0.996
0.138761719,-0.1119,0.3000,0.9451,0.998
0.145930365,-0.1100,0.3015,0.9539,1.006
0.146679688,-0.1061,0.2986,0.9598,1.011
0.147013646,-0.1032,0.2976,0.9661,1.016
0.149640521,-0.1032,0.2961,0.9695,1.019
0.150368125,-0.1007,0.2966,0.9759,1.025
0.153575208,-0.0978,0.2976,0.9739,1.023
0.16282401,-0.1002,0.2966,0.9749,1.024
0.163708854,-0.0963,0.2966,0.9788,1.027
0.164122135,-0.1017,0.2932,0.9808,1.029
0.16442474,-0.1022,0.2937,0.9817,1.030
0.167161771,-0.1027,0.2966,0.9832,1.032
0.16766375,-0.1056,0.2951,0.9817,1.031
0.170610365,-0.1080,0.3010,0.9812,1.032
0.173395469,-0.1110,0.3025,0.9808,1.032
0.17528401,-0.1105,0.3049,0.9734,1.026
0.177226406,-0.1080,0.3059,0.9637,1.017
0.179615365,-0.1090,0.3029,0.9588,1.011
0.182053021,-0.1095,0.3069,0.9529,1.007
0.185532448,-0.1076,0.3103,0.9510,1.006
0.188524531,-0.1012,0.3073,0.9480,1.002
0.190887031,-0.1027,0.3113,0.9471,1.002
0.191814167,-0.1036,0.3127,0.9475,1.003
0.194296563,-0.1022,0.3122,0.9510,1.006
0.197287708,-0.1041,0.3103,0.9524,1.007
0.199524792,-0.1061,0.3132,0.9549,1.011
0.201937656,-0.1017,0.3137,0.9534,1.009
0.204678385,-0.1007,0.3108,0.9505,1.005
0.207854375,-0.1022,0.3152,0.9451,1.001
0.208914063,-0.1027,0.3137,0.9412,0.997
0.212204688,-0.1085,0.3137,0.9368,0.994
0.215355677,-0.1056,0.3161,0.9300,0.988
0.217068802,-0.1056,0.3137,0.9212,0.979
0.219644323,-0.1022,0.3156,0.9163,0.975
0.222032448,-0.0934,0.3147,0.9119,0.969
0.223658854,-0.0905,0.3142,0.9075,0.965
0.226090052,-0.0875,0.3152,0.9060,0.963
0.228820833,-0.0817,0.3142,0.9026,0.959
0.23191776,-0.0846,0.3166,0.9046,0.962
0.233410469,-0.0812,0.3191,0.9016,0.960
0.236613229,-0.0783,0.3191,0.8987,0.957
0.238692708,-0.0787,0.3176,0.8958,0.954
0.240931979,-0.0739,0.3132,0.8894,0.946
0.244411615,-0.0714,0.3093,0.8821,0.937
0.246245052,-0.0631,0.3034,0.8728,0.926
0.254897552,-0.0597,0.2927,0.8655,0.916
0.255785156,-0.0548,0.2849,0.8572,0.905
0.256196823,-0.0524,0.2790,0.8538,0.900
0.256579167,-0.0490,0.2722,0.8523,0.896
0.25878974,-0.0465,0.2600,0.8567,0.897
0.261415156,-0.0465,0.2507,0.8689,0.906
0.263863854,-0.0455,0.2502,0.8802,0.916
0.26651,-0.0480,0.2453,0.8968,0.931
0.269220052,-0.0490,0.2424,0.9192,0.952
0.270394167,-0.0504,0.2419,0.9422,0.974
0.273693021,-0.0534,0.2429,0.9602,0.992
0.275390208,-0.0607,0.2434,0.9778,1.009
0.279259167,-0.0709,0.2419,0.9934,1.025
0.280608021,-0.0763,0.2400,1.0101,1.041
0.28346901,-0.0831,0.2414,1.0198,1.051
0.285640625,-0.0885,0.2404,1.0276,1.059
0.288588281,-0.0988,0.2395,1.0350,1.067
0.290153177,-0.1085,0.2390,1.0428,1.075
0.292835781,-0.1139,0.2400,1.0491,1.082
0.296037031,-0.1203,0.2395,1.0540,1.088
0.2976325,-0.1242,0.2395,1.0569,1.091
0.299921771,-0.1232,0.2424,1.0613,1.096
0.303367083,-0.1256,0.2478,1.0618,1.098
0.306451042,-0.1276,0.2497,1.0643,1.101
0.307618073,-0.1320,0.2541,1.0672,1.105
0.310184427,-0.1281,0.2566,1.0672,1.105
0.313519531,-0.1246,0.2600,1.0677,1.106
0.315744792,-0.1227,0.2634,1.0662,1.105
0.316939271,-0.1188,0.2678,1.0667,1.106
0.319484323,-0.1154,0.2712,1.0672,1.107
0.324091198,-0.1115,0.2756,1.0677,1.108
0.324941823,-0.1090,0.2800,1.0696,1.111
0.326939323,-0.1061,0.2829,1.0682,1.110
0.330142917,-0.1066,0.2839,1.0682,1.110
0.332087812,-0.1061,0.2927,1.0682,1.113
0.334045312,-0.1080,0.2942,1.0633,1.108
0.337489479,-0.1061,0.2995,1.0584,1.105
0.340422187,-0.1095,0.3083,1.0511,1.101
0.341290104,-0.1388,0.3508,1.0374,1.104
0.343840521,-0.1437,0.3513,1.0257,1.094
0.347034427,-0.1500,0.3430,1.0105,1.078
0.3487525,-0.1486,0.3362,0.9969,1.062
0.35215151,-0.1520,0.3293,0.9822,1.047
0.354410937,-0.1466,0.3200,0.9622,1.025
0.359292396,-0.1466,0.3117,0.9471,1.008
0.360073125,-0.1398,0.3010,0.9363,0.993
0.361398177,-0.1364,0.2912,0.9241,0.978
0.364887448,-0.1310,0.2815,0.9119,0.963
0.366212135,-0.1325,0.2736,0.9065,0.956
0.36865901,-0.1271,0.2639,0.9012,0.948
0.373284375,-0.1222,0.2536,0.8972,0.940
0.374009687,-0.1198,0.2517,0.8924,0.935
0.376571042,-0.1173,0.2439,0.8860,0.926
0.379654167,-0.1124,0.2395,0.8802,0.919
0.381952344,-0.1090,0.2326,0.8748,0.912
0.383753021,-0.1105,0.2297,0.8675,0.904
0.38572026,-0.1061,0.2287,0.8611,0.897
0.388861927,-0.1046,0.2268,0.8548,0.890
0.390537552,-0.1032,0.2248,0.8474,0.883
0.393740885,-0.1017,0.2219,0.8406,0.875
0.397421927,-0.1002,0.2199,0.8328,0.867
0.397924167,-0.1022,0.2155,0.8264,0.860
0.400823906,-0.1056,0.2107,0.8235,0.857
0.403637656,-0.1051,0.2043,0.8157,0.847
0.40533651,-0.1036,0.2043,0.8128,0.844
0.408099531,-0.1007,0.2019,0.8098,0.841
0.409979583,-0.0983,0.2033,0.8040,0.835
0.413603802,-0.0924,0.2038,0.7976,0.828
0.414865885,-0.0895,0.2116,0.7923,0.825
0.417992448,-0.0841,0.2141,0.7879,0.821
0.421365729,-0.0778,0.2190,0.7835,0.817
0.423565781,-0.0778,0.2238,0.7844,0.819
0.42524974,-0.0714,0.2307,0.7800,0.817
0.427955417,-0.0685,0.2400,0.7810,0.820
0.430119583,-0.0656,0.2502,0.7781,0.820
0.432248802,-0.0592,0.2561,0.7747,0.818
0.434619479,-0.0568,0.2644,0.7776,0.823
0.437221302,-0.0485,0.2741,0.7727,0.821
0.439614583,-0.0436,0.2800,0.7722,0.823
0.44230875,-0.0387,0.2780,0.7771,0.826
0.444675052,-0.0338,0.2756,0.7771,0.825
0.454211562,-0.0294,0.2756,0.7879,0.835
0.45499849,-0.0221,0.2756,0.8015,0.848
0.455534583,-0.0177,0.2668,0.8103,0.853
0.45583276,-0.0104,0.2590,0.8264,0.866
0.45679474,-0.0045,0.2502,0.8460,0.882
0.459757552,0.0043,0.2414,0.8650,0.898
0.462525521,0.0155,0.2321,0.8860,0.916
0.464826406,0.0214,0.2219,0.9055,0.933
0.466460937,0.0292,0.2082,0.9261,0.950
0.469265365,0.0287,0.1999,0.9515,0.973
0.472329948,0.0282,0.1906,0.9729,0.992
0.483357083,0.0258,0.1804,0.9988,1.015
0.484349583,0.0248,0.1657,1.0213,1.035
0.48468151,0.0214,0.1608,1.0423,1.055
0.484999479,0.0165,0.1530,1.0599,1.071
0.485677031,0.0096,0.1462,1.0745,1.084
0.485977812,0.0028,0.1384,1.0853,1.094
0.490166094,0.0013,0.1306,1.0921,1.100
0.491308073,-0.0104,0.1257,1.0926,1.100
0.493261094,-0.0162,0.1154,1.0896,1.096
0.496418906,-0.0201,0.1086,1.0882,1.094
0.498219427,-0.0250,0.1032,1.0896,1.095
0.501483437,-0.0333,0.0988,1.0823,1.087
0.504490937,-0.0441,0.0978,1.0760,1.081
0.506363385,-0.0494,0.0959,1.0682,1.074
0.508942344,-0.0568,0.0954,1.0599,1.066
0.511864635,-0.0626,0.0915,1.0491,1.055
0.513178489,-0.0695,0.0900,1.0447,1.051
0.515594687,-0.0695,0.0930,1.0379,1.044
0.518300625,-0.0670,0.0974,1.0345,1.041
0.5206325,-0.0680,0.0998,1.0350,1.042
0.522871614,-0.0631,0.1110,1.0374,1.045
0.525981042,-0.0573,0.1105,1.0389,1.046
0.529410937,-0.0499,0.1130,1.0418,1.049
0.531587812,-0.0426,0.1125,1.0477,1.055
0.532621875,-0.0353,0.1110,1.0486,1.055
0.535229739,-0.0270,0.1110,1.0477,1.054
0.537810156,-0.0231,0.1086,1.0462,1.052
0.540570989,-0.0138,0.1013,1.0496,1.055
0.543287864,-0.0026,0.1008,1.0496,1.054
0.5456925,0.0179,0.0998,1.0472,1.052
0.550726823,0.0311,0.1008,1.0472,1.052
0.551643073,0.0448,0.1018,1.0428,1.049
0.553134531,0.0551,0.1047,1.0364,1.043
0.556915312,0.0619,0.1071,1.0311,1.038
0.557849375,0.0575,0.1115,1.0281,1.036
0.560227969,0.0580,0.1164,1.0296,1.038
0.564068594,0.0482,0.1252,1.0296,1.038
0.569896198,0.0385,0.1286,1.0286,1.037
0.570758958,0.0326,0.1374,1.0271,1.037
0.571037187,0.0209,0.1462,1.0252,1.036
0.572698489,0.0043,0.1496,1.0335,1.044
0.574211719,-0.0065,0.1535,1.0379,1.049
0.576998021,-0.0192,0.1584,1.0462,1.058
0.580080573,-0.0324,0.1623,1.0520,1.065
0.582391302,-0.0441,0.1643,1.0618,1.075
