time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003198,-0.3819,0.2291,-0.9370,1.037
0.004316,-0.3101,0.1595,-0.4307,0.554
0.005216,-0.2138,0.0860,0.0031,0.230
0.007950,-0.0632,-0.0056,0.3024,0.309
0.019888,0.1416,-0.1350,0.5072,0.544
0.020534,0.2562,-0.1973,0.5834,0.667
0.022457,0.3417,-0.2459,0.5883,0.723
0.028094,0.3536,-0.2532,0.5886,0.732
0.035621,0.4048,-0.2255,0.6478,0.797
0.036745,0.3955,-0.1682,0.7163,0.835
0.041742,0.3918,-0.0670,0.7602,0.858
0.047331,0.3615,0.0014,0.8386,0.913
0.051469,0.3254,0.0914,0.8946,0.956
0.056802,0.3278,0.1133,0.9345,0.997
0.061033,0.3455,0.1215,0.9054,0.977
0.066083,0.3373,0.0947,0.8495,0.919
0.070528,0.2859,0.0467,0.8269,0.876
0.075233,0.1622,0.0048,0.7880,0.805
0.085454,-0.1738,-0.0796,0.4112,0.453
0.090200,-0.6686,-0.1230,0.1719,0.701
0.094267,-2.0217,-0.0701,0.0508,2.024
0.099476,-0.7250,0.1213,-0.9263,1.183
0.104084,-0.3809,0.1431,-1.0607,1.136
0.108860,-0.4822,0.0434,-0.9545,1.070
0.123458,-0.5707,-0.0318,-1.1082,1.247
0.124457,-0.6465,-0.1259,-1.4834,1.623
0.125230,-0.7218,-0.1125,-1.7656,1.911
0.127813,-0.7123,-0.0438,-1.8762,2.007
0.132362,-0.7136,0.0278,-1.8253,1.960
0.141819,-0.7458,0.1215,-1.6870,1.849
0.143377,-0.6152,0.1343,-1.5595,1.682
0.149086,-0.4298,0.1687,-1.4524,1.524
0.152769,-0.2192,0.1625,-1.2338,1.264
0.156182,0.0450,0.2083,-0.9909,1.014
0.161218,0.3146,0.1904,-0.6688,0.763
0.167092,0.6444,0.1069,-0.2512,0.700
0.170257,0.8633,0.1108,0.1304,0.880
0.174859,1.1329,0.0915,0.4689,1.230
0.180759,1.3616,-0.0552,0.8504,1.606
0.184834,1.0722,-0.1719,1.1205,1.560
0.189746,0.6104,-0.2104,1.2512,1.408
0.194073,0.5114,-0.1156,1.2154,1.324
0.198866,0.5029,-0.0432,1.3589,1.450
0.203793,0.4755,0.0204,1.6075,1.676
0.208525,0.3105,0.0867,1.7397,1.769
0.215126,0.1881,0.1023,1.7703,1.783
0.218801,0.0837,0.1510,1.6526,1.662
0.223474,0.0185,0.2416,1.4511,1.471
0.228147,-0.3969,0.5764,1.3554,1.525
0.232703,-1.0082,1.1604,1.2563,1.985
0.237765,-0.9539,0.8823,0.9501,1.610
0.242457,-1.0613,0.5275,0.7050,1.379
0.247128,-1.1738,0.4017,0.4517,1.320
0.252136,-1.2500,0.5580,0.2447,1.391
0.256739,-1.2393,0.7845,0.0147,1.467
0.261731,-0.3110,1.2109,-0.4913,1.343
0.266222,1.0820,1.3796,-1.3201,2.195
0.271029,-0.0889,0.8315,-0.7335,1.112
0.275639,-0.6407,0.4967,-0.6393,1.032
0.280381,-0.8996,0.3443,-1.0639,1.435
0.285656,-0.5534,0.4205,-1.3455,1.514
0.290026,-0.6204,0.3877,-1.5263,1.693
0.295053,-0.5085,0.7884,-1.5368,1.801
0.299600,-0.6464,0.9430,-1.4198,1.823
