time,gFx,gFy,gFz,TgF
0.003316094,0.1942,0.2575,0.7825,0.846
0.003862344,0.2045,0.2561,0.7742,0.841
0.004079688,0.2074,0.2595,0.7708,0.839
0.004277083,0.2113,0.2658,0.7742,0.845
0.004593854,0.2138,0.2693,0.7810,0.853
0.007662552,0.2167,0.2776,0.7888,0.864
0.009513177,0.2157,0.2839,0.7962,0.872
0.01208349,0.2211,0.2883,0.8069,0.885
0.015900781,0.2265,0.2903,0.8196,0.898
0.017271094,0.2323,0.2912,0.8367,0.916
0.019307969,0.2387,0.2932,0.8611,0.940
0.021712604,0.2392,0.2986,0.8816,0.961
0.024258958,0.2382,0.3025,0.9031,0.982
0.026369323,0.2338,0.3010,0.9251,1.001
0.029052136,0.2265,0.3010,0.9427,1.015
0.03178599,0.2201,0.3059,0.9583,1.030
0.034125677,0.2118,0.3088,0.9715,1.041
0.036670469,0.1996,0.3069,0.9812,1.047
0.041059167,0.1913,0.3049,0.9954,1.058
0.041424167,0.1767,0.3069,1.0086,1.069
0.04407875,0.1644,0.3083,1.0169,1.075
0.049029531,0.1503,0.3147,1.0252,1.083
0.049384011,0.1351,0.3196,1.0335,1.090
0.051193646,0.1210,0.3225,1.0403,1.096
0.053430677,0.1073,0.3288,1.0442,1.100
0.05645625,0.0990,0.3322,1.0481,1.104
0.058342813,0.0985,0.3376,1.0491,1.107
0.061051094,0.1034,0.3420,1.0564,1.115
0.063391875,0.1137,0.3440,1.0633,1.123
0.066003594,0.1259,0.3415,1.0760,1.136
0.068424115,0.1366,0.3342,1.0862,1.145
0.070743698,0.1469,0.3264,1.0945,1.152
0.073371198,0.1439,0.3181,1.1023,1.156
0.076364479,0.1381,0.3049,1.1072,1.157
0.079496094,0.1268,0.2907,1.0984,1.143
0.081406354,0.1141,0.2780,1.0882,1.129
0.083184896,0.1044,0.2678,1.0784,1.116
0.086511719,0.1000,0.2546,1.0657,1.100
0.090186563,0.1005,0.2483,1.0472,1.081
0.090801823,0.1063,0.2463,1.0286,1.063
0.094113229,0.1141,0.2463,1.0135,1.049
0.096539219,0.1264,0.2487,0.9998,1.038
0.09918625,0.1391,0.2536,0.9886,1.030
0.100808229,0.1547,0.2605,0.9773,1.023
0.103846354,0.1723,0.2653,0.9720,1.022
0.114523802,0.1879,0.2697,0.9646,1.019
0.115195313,0.1996,0.2741,0.9578,1.016
0.115514219,0.2118,0.2795,0.9539,1.016
0.116057396,0.2167,0.2805,0.9490,1.013
0.116394583,0.2196,0.2810,0.9417,1.007
0.120648698,0.2221,0.2854,0.9339,1.001
0.121763021,0.2147,0.2898,0.9309,0.998
0.122491615,0.2099,0.2854,0.9275,0.993
0.126078333,0.2030,0.2888,0.9246,0.990
0.127984844,0.1986,0.2927,0.9197,0.985
0.130383073,0.1977,0.2937,0.9143,0.980
0.132794792,0.1913,0.2981,0.9065,0.973
0.134941458,0.1884,0.2995,0.8963,0.964
0.137281302,0.1835,0.2961,0.8875,0.953
0.13968724,0.1874,0.3015,0.8787,0.948
0.142657448,0.1869,0.3015,0.8650,0.935
0.145904792,0.1850,0.3049,0.8494,0.921
0.147565625,0.1732,0.3078,0.8230,0.896
0.149569167,0.1605,0.3083,0.8001,0.872
0.153205521,0.1503,0.3098,0.7786,0.851
0.154655156,0.1395,0.3122,0.7595,0.833
0.157088854,0.1351,0.3152,0.7454,0.820
0.159213802,0.1439,0.3132,0.7322,0.809
0.161794063,0.1517,0.3181,0.7244,0.806
0.164663385,0.1654,0.3191,0.7244,0.809
0.167207656,0.1820,0.3205,0.7297,0.818
0.16997599,0.1957,0.3244,0.7366,0.828
0.17185474,0.2084,0.3259,0.7405,0.835
0.174068698,0.2221,0.3279,0.7537,0.851
0.177377604,0.2313,0.3274,0.7630,0.862
0.17941401,0.2450,0.3274,0.7757,0.877
0.18146349,0.2523,0.3235,0.7879,0.888
0.184462552,0.2597,0.3181,0.8045,0.903
0.187152344,0.2592,0.3181,0.8211,0.918
0.189793073,0.2626,0.3108,0.8386,0.932
0.191859531,0.2553,0.3039,0.8587,0.946
0.194025417,0.2440,0.2946,0.8855,0.965
0.19697099,0.2396,0.2898,0.9139,0.988
0.204514063,0.2255,0.2820,0.9417,1.009
0.205211771,0.2128,0.2732,0.9695,1.029
0.205621302,0.2055,0.2722,1.0022,1.059
0.205969375,0.1986,0.2771,1.0311,1.086
0.210840052,0.1923,0.2761,1.0594,1.112
0.211481667,0.1864,0.2766,1.0896,1.140
0.216827969,0.1889,0.2785,1.1160,1.166
0.217528281,0.1928,0.2844,1.1351,1.186
0.218240365,0.1840,0.2878,1.1492,1.199
0.221031354,0.1723,0.2912,1.1566,1.205
0.22381151,0.1591,0.2956,1.1575,1.205
0.22550026,0.1317,0.2990,1.1497,1.195
0.229436406,0.1083,0.3029,1.1302,1.175
0.231884583,0.0922,0.2981,1.1165,1.159
0.232658542,0.0883,0.2946,1.1058,1.148
0.23656125,0.0824,0.2888,1.0921,1.133
0.23823625,0.0839,0.2883,1.0740,1.115
0.240508385,0.0839,0.2805,1.0501,1.090
0.243289635,0.0844,0.2795,1.0242,1.065
0.245933281,0.0868,0.2766,1.0003,1.041
0.248375469,0.0873,0.2732,0.9739,1.015
0.2500375,0.0907,0.2727,0.9475,0.990
0.253819531,0.0888,0.2722,0.9241,0.967
0.256667188,0.0873,0.2697,0.8963,0.940
0.257933021,0.0844,0.2697,0.8738,0.918
0.260592031,0.0809,0.2712,0.8533,0.899
0.262782552,0.0848,0.2717,0.8352,0.882
0.265093125,0.0878,0.2693,0.8162,0.864
0.267014427,0.1015,0.2678,0.8074,0.857
0.269913958,0.1229,0.2722,0.8035,0.857
0.273226771,0.1469,0.2746,0.7971,0.856
0.274582396,0.1713,0.2815,0.7962,0.862
0.277194115,0.1894,0.2849,0.7991,0.869
0.28012349,0.1986,0.2917,0.8001,0.874
0.282172917,0.2094,0.2986,0.8025,0.881
0.284612552,0.2123,0.2981,0.8108,0.890
0.286982708,0.2196,0.3015,0.8152,0.896
0.289819427,0.2240,0.3044,0.8225,0.905
0.292352813,0.2211,0.3073,0.8343,0.916
0.29492599,0.2221,0.3108,0.8469,0.929
0.29823875,0.2235,0.3117,0.8533,0.936
0.299267917,0.2182,0.3142,0.8606,0.942
0.301638333,0.2152,0.3186,0.8636,0.945
0.30470099,0.2016,0.3025,0.8616,0.935
0.312706615,0.1874,0.2927,0.8636,0.931
0.313679688,0.1913,0.2981,0.8728,0.942
0.314079635,0.1903,0.3078,0.8733,0.945
0.314448385,0.1840,0.3103,0.8772,0.948
