time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
48.400005,0.1372,0.1079,0.0679,0.187
48.405137,0.1273,0.1032,0.0622,0.175
48.412198,0.1126,0.1012,0.0636,0.164
48.418978,0.0763,0.1087,0.0556,0.144
48.419927,0.0785,0.0954,0.0383,0.129
48.423944,0.0877,0.0911,0.0282,0.13
48.428781,0.1211,0.09,0.0041,0.151
48.434284,0.1571,0.108,0.0117,0.191
48.43851,0.1761,0.1043,0.0043,0.205
48.443161,0.1879,0.1246,-0.0069,0.226
48.449288,0.1879,0.1328,-0.0097,0.23
48.452709,0.1781,0.1622,-0.0358,0.244
48.457414,0.1565,0.1507,-0.0391,0.221
48.46196,0.1272,0.1931,-0.0058,0.231
48.468585,0.1221,0.2067,-0.0143,0.241
48.471584,0.1241,0.2035,0.0172,0.239
48.476505,0.1117,0.2199,0.05,0.252
48.490899,0.0967,0.2154,0.0974,0.255
48.49193,0.077,0.1958,0.1456,0.256
48.49237,0.0739,0.1867,0.1702,0.263
48.495753,0.0325,0.1693,0.179,0.249
48.500028,0.0223,0.1826,0.1861,0.262
48.505169,-0.0069,0.1537,0.1865,0.242
48.509955,-0.0241,0.1491,0.1517,0.214
48.515878,-0.0364,0.1421,0.1412,0.204
48.519645,-0.0511,0.124,0.1112,0.174
48.526309,-0.068,0.1346,0.0847,0.173
48.529102,-0.0945,0.1383,0.1032,0.197
48.534158,-0.09,0.1562,0.0881,0.201
48.538656,-0.0926,0.143,0.111,0.203
48.543541,-0.0713,0.1634,0.1144,0.212
48.549382,-0.0334,0.1476,0.1222,0.194
48.553264,-0.0146,0.1435,0.0894,0.17
48.557542,0.0376,0.1413,0.0639,0.16
48.562473,0.0828,0.1277,0.0292,0.155
48.56787,0.0944,0.1283,0.028,0.162
48.572282,0.1109,0.1146,-0.0109,0.16
48.57664,0.1227,0.0991,-0.0038,0.158
48.585149,0.1298,0.1016,0.0074,0.165
48.586937,0.0837,0.1089,0.0289,0.14
48.593016,0.05,0.1168,0.0497,0.136
48.596401,0.0471,0.099,0.0667,0.128
48.60588,0.0444,0.0975,0.1152,0.157
48.610607,0.0246,0.0961,0.1444,0.175
48.615815,0.0386,0.0796,0.1329,0.16
48.620361,0.0477,0.0752,0.1193,0.149
48.624786,0.0738,0.0742,0.1036,0.147
48.629906,0.1021,0.0882,0.0692,0.152
48.637092,0.1091,0.0746,0.0258,0.135
48.639653,0.0993,0.0636,-0.01,0.118
48.643937,0.1064,0.051,-0.036,0.123
48.649059,0.1234,0.0403,-0.0617,0.144
48.654489,0.1305,0.0436,-0.0627,0.151
48.658811,0.1304,0.0522,-0.0164,0.141
48.663573,0.1157,0.0372,0.0346,0.126
48.668302,0.0822,0.0507,0.0877,0.13
48.673653,0.0438,0.0522,0.1379,0.154
48.67745,-0.0018,0.0373,0.1994,0.203
48.692412,-0.0404,0.063,0.2043,0.218
48.694478,-0.0666,0.0671,0.2133,0.233
48.695343,-0.0978,0.0761,0.1821,0.22
48.698924,-0.117,0.0661,0.1509,0.202
48.715116,-0.1052,0.0823,0.0903,0.161
48.716235,-0.0789,0.0556,0.0359,0.103
48.716952,-0.0287,0.0693,-0.0167,0.077
48.717588,0.0167,0.0588,-0.0447,0.076
48.719701,0.0549,0.0608,-0.0762,0.112
48.724728,0.0956,0.0508,-0.0903,0.141
48.729761,0.1098,0.0693,-0.0972,0.162
48.73539,0.1293,0.0566,-0.1082,0.178
48.739079,0.1146,0.0513,-0.0934,0.156
48.744246,0.1122,0.053,-0.0855,0.151
48.749575,0.0906,0.0641,-0.0272,0.114
48.753146,0.0498,0.0703,0.025,0.09
48.758023,0.0234,0.0833,0.05,0.1
48.762833,0.0088,0.0821,0.1117,0.139
48.772523,-0.0034,0.0929,0.1325,0.162
48.773329,0.0012,0.1036,0.1504,0.183
48.778898,0.0033,0.1094,0.1371,0.175
48.792982,0.0317,0.1126,0.1187,0.167
48.793903,0.0649,0.1068,0.1007,0.16
48.794397,0.0911,0.0988,0.0615,0.148
48.796677,0.1295,0.0906,0.0324,0.161
48.804382,0.1606,0.1024,0.0034,0.19
48.806633,0.1796,0.097,-0.0156,0.205
48.811394,0.1628,0.1011,-0.0439,0.197
48.820111,0.1653,0.0814,-0.0714,0.198
48.821348,0.1484,0.0781,-0.0756,0.184
48.825174,0.1074,0.0913,-0.0673,0.156
48.830011,0.0786,0.0853,-0.0399,0.123
48.834799,0.057,0.0605,-0.0277,0.088
48.83956,0.0354,0.0759,0.0026,0.084
48.844385,0.009,0.0698,0.0059,0.071
48.848829,0.004,0.09,0.0365,0.097
48.853995,-0.0128,0.0864,0.045,0.098
48.858733,-0.0081,0.0947,0.0618,0.113
48.863345,0.0132,0.0838,0.0401,0.094
48.868063,0.0346,0.0732,0.023,0.084
48.877612,0.0513,0.0676,-0.0097,0.085
48.885132,0.0297,0.0643,-0.0234,0.075
48.890347,0.0417,0.0613,-0.0036,0.074
48.896405,0.0248,0.0652,0.0183,0.072
48.897242,0.0415,0.0691,0.0328,0.087
48.902529,0.0486,0.0565,0.0402,0.085
48.906887,0.0676,0.0558,0.0704,0.112
48.911919,0.0795,0.0291,0.0679,0.109
48.915736,0.0675,0.031,0.0393,0.084
48.921308,0.0794,-0.0006,0.0374,0.088
48.925723,0.0914,0.0182,-0.0054,0.093
48.930379,0.1009,0.0155,-0.0172,0.104
48.937389,0.1057,0.0055,-0.0309,0.11
48.940066,0.1275,0.017,-0.0469,0.137
48.944872,0.1515,0.0262,-0.0822,0.174
48.950909,0.1539,0.0159,-0.0971,0.183
48.9553,0.1492,0.0152,-0.0837,0.172
48.959263,0.1229,0.0168,-0.0678,0.141
48.963287,0.0987,0.0113,-0.0496,0.111
48.968879,0.0676,-0.0061,-0.0385,0.078
48.973065,0.0556,0.0171,-0.0063,0.059
48.977801,0.0413,0.0139,-0.0007,0.044
48.988681,0.046,-0.0032,0.031,0.056
48.989668,0.0364,0.0086,0.0423,0.056
48.992976,0.046,0.0127,0.0463,0.067
48.997123,0.0459,0.0243,0.0599,0.079
49.00198,0.0507,0.0214,0.051,0.075
49.00676,0.0221,0.0206,0.0411,0.051
49.01167,0.034,0.039,0.0394,0.065
49.017307,0.0004,0.0501,0.0258,0.056
49.020836,0.0004,0.0681,0.0149,0.07
49.026319,-0.014,0.0624,0.0395,0.075
49.03079,-0.0237,0.064,0.039,0.079
49.03539,-0.0213,0.0749,0.0644,0.101
49.040312,-0.0143,0.0763,0.0763,0.109
49.044687,-0.036,0.0729,0.1045,0.132
49.049968,-0.0218,0.0556,0.108,0.123
49.057563,0.0186,0.0707,0.1095,0.132
49.059456,0.0375,0.0672,0.1014,0.127
49.064139,0.0421,0.0732,0.1146,0.142
49.074433,0.0371,0.058,0.0776,0.104
49.075438,0.0489,0.0478,0.0766,0.103
49.078799,0.0201,0.0399,0.05,0.067
49.085907,0.0296,0.0438,0.0197,0.056
49.087803,0.0009,0.0173,0.0129,0.022
49.092319,0.0058,0.0266,-0.0216,0.035
49.096895,0.0106,0.0121,-0.0449,0.048
49.103047,0.0442,0.0052,-0.0434,0.062
49.106873,0.0753,0.0192,-0.0288,0.083
49.11155,0.085,0.0073,-0.0376,0.093
49.116184,0.1018,0.0051,-0.0364,0.108
49.121028,0.0923,-0.0022,-0.0243,0.095
49.125816,0.0924,0.005,-0.0185,0.094
49.13056,0.0661,0.012,-0.0108,0.068
49.135688,0.0589,0.0213,-0.0273,0.068
49.140023,0.0398,0.0235,-0.036,0.059
49.144839,0.0447,0.0212,-0.0036,0.05
49.150087,0.0471,0.0188,0.016,0.053
49.154581,0.0327,0.028,0.0229,0.049
49.1594,0.0352,0.028,0.0285,0.053
49.163681,0.0304,0.0255,0.0334,0.052
49.174379,0.0231,0.0276,0.0357,0.051
49.178185,0.035,0.0201,0.04,0.057
49.186439,0.0326,0.0152,0.0516,0.063
49.187814,0.0229,0.0222,0.0557,0.064
49.192484,-0.0035,0.0101,0.0641,0.065
49.197185,0.0011,0.0217,0.0627,0.066
49.203609,-0.011,0.0191,0.0733,0.076
49.20717,0.0081,0.0117,0.065,0.067
49.2125,0.0151,0.0094,0.0513,0.054
49.216945,0.0223,-0.0047,0.0195,0.03
49.221676,0.0462,-0.0069,0.0095,0.048
49.226288,0.0534,-0.035,-0.0075,0.064
49.23142,0.0439,-0.0556,-0.0194,0.073
49.235875,0.0488,-0.0575,-0.0642,0.099
49.240224,0.0562,-0.0564,-0.092,0.122
49.244855,0.066,-0.0793,-0.0885,0.136
49.251181,0.0734,-0.0878,-0.1111,0.16
49.25536,0.0761,-0.0892,-0.1001,0.154
49.259341,0.105,-0.0835,-0.0629,0.148
49.264103,0.11,-0.0756,-0.0567,0.145
49.272694,0.1176,-0.0678,-0.0292,0.139
49.273868,0.0743,-0.0648,-0.0077,0.099
49.278814,0.0817,-0.0526,0.0156,0.098
49.292494,0.0386,-0.0331,0.0272,0.058
49.293674,0.0554,-0.0026,0.0355,0.066
49.2944,0.0266,-0.0028,0.0377,0.046
49.297671,0.017,-0.0029,0.0417,0.045
49.302694,0.0193,-0.0077,0.0482,0.052
49.307289,0.0217,-0.0147,0.0189,0.032
49.311909,0.0193,-0.0003,-0.0079,0.021
49.316529,0.0169,0.007,-0.0125,0.022
49.321718,0.0122,0.0048,-0.017,0.021
49.326604,0.0194,0.0217,-0.0426,0.052
49.332181,0.0148,0.017,-0.0581,0.062
49.335767,0.0412,0.0362,-0.0499,0.074
49.340377,0.0483,0.0286,-0.0376,0.068
49.34539,0.0461,0.0291,-0.0217,0.059
49.350318,0.0438,0.0479,-0.0256,0.07
49.361823,0.0509,0.0617,-0.0059,0.08
49.36242,0.0556,0.0586,0.0131,0.082
49.372453,0.0627,0.0724,0.0037,0.096
49.373472,0.0698,0.0884,0.0034,0.113
49.374284,0.0792,0.0873,-0.0038,0.118
49.37893,0.0887,0.0821,-0.0184,0.122
49.388217,0.1177,0.1051,-0.0373,0.162
49.389202,0.1077,0.1112,-0.0438,0.161
49.393208,0.1199,0.1172,-0.053,0.176
49.397849,0.1366,0.1231,-0.0634,0.195
49.404634,0.1437,0.1028,-0.0408,0.181
49.408242,0.1365,0.1063,-0.0279,0.175
49.412415,0.122,0.0859,0.0086,0.149
49.420478,0.1243,0.0752,0.0353,0.149
49.42273,0.1143,0.0743,0.042,0.143
49.426884,0.1193,0.0607,0.0432,0.141
49.43324,0.0925,0.0623,0.0522,0.123
49.436857,0.0661,0.0634,0.0501,0.104
49.447343,0.0229,0.0592,0.0327,0.071
49.45144,-0.0083,0.0581,0.0451,0.074
49.455091,-0.0299,0.0714,0.0362,0.085
49.459647,-0.0395,0.0468,-0.0035,0.061
49.464485,-0.0323,0.0509,-0.0144,0.062
49.470658,-0.0394,0.0409,-0.0158,0.059
49.479488,-0.0153,0.0337,-0.0283,0.047
49.480121,0.0014,0.0308,-0.0326,0.045
49.487201,0.0231,0.0189,-0.0409,0.051
49.488349,0.0662,0.0238,-0.0279,0.076
49.492935,0.095,0.0215,-0.0269,0.101
