time,gFx,gFy,gFz,TgF
0.002346458,0.2309,0.2717,0.8748,0.945
0.002884427,0.2773,0.2810,0.8181,0.908
0.003283385,0.3129,0.2995,0.7722,0.885
0.005001719,0.3363,0.3205,0.7366,0.871
0.00524151,0.3437,0.3449,0.7009,0.853
0.005492604,0.3461,0.3625,0.6795,0.844
0.007696146,0.3446,0.3860,0.6589,0.838
0.0093025,0.3422,0.4031,0.6458,0.835
0.016557135,0.3319,0.4162,0.6340,0.828
0.016945885,0.3212,0.4304,0.6238,0.823
0.017083333,0.3085,0.4397,0.6179,0.819
0.019428958,0.2943,0.4397,0.6165,0.812
0.021058698,0.2812,0.4465,0.6213,0.815
0.023352396,0.2626,0.4460,0.6252,0.812
0.026846302,0.2504,0.4421,0.6316,0.811
0.028819791,0.2401,0.4421,0.6394,0.814
0.030532187,0.2304,0.4368,0.6531,0.819
0.033009219,0.2255,0.4299,0.6638,0.822
0.035651354,0.2206,0.4236,0.6809,0.832
0.038556146,0.2094,0.4158,0.7014,0.842
0.040623333,0.1977,0.4079,0.7258,0.856
0.043026875,0.1864,0.4001,0.7483,0.869
0.045566823,0.1840,0.3884,0.7708,0.882
0.048014531,0.1810,0.3786,0.7976,0.901
0.051283021,0.1767,0.3664,0.8279,0.922
0.052642552,0.1713,0.3542,0.8592,0.945
0.055142708,0.1767,0.3381,0.8938,0.972
0.057504687,0.1786,0.3249,0.9217,0.993
0.060123802,0.1884,0.3078,0.9495,1.016
0.06306875,0.1937,0.2956,0.9851,1.047
0.065061302,0.1962,0.2815,1.0081,1.065
0.068263333,0.1986,0.2741,1.0345,1.088
0.075476718,0.1977,0.2649,1.0530,1.104
0.076322291,0.1942,0.2566,1.0721,1.119
0.076748802,0.1894,0.2531,1.0887,1.134
0.079467656,0.1752,0.2531,1.1146,1.156
0.080114375,0.1679,0.2517,1.1399,1.179
0.083079948,0.1547,0.2556,1.1609,1.199
0.086699791,0.1439,0.2541,1.1815,1.217
0.087483177,0.1376,0.2605,1.1942,1.230
0.090724479,0.1322,0.2634,1.2078,1.243
0.093005729,0.1259,0.2693,1.2166,1.252
0.100753333,0.1249,0.2776,1.2220,1.259
0.101669531,0.1239,0.2854,1.2220,1.261
0.10214375,0.1278,0.2942,1.2112,1.253
0.102635937,0.1332,0.2986,1.1927,1.237
0.10587401,0.1376,0.3069,1.1732,1.220
0.106759687,0.1444,0.3156,1.1443,1.196
0.112076458,0.1483,0.3269,1.1170,1.173
0.11263875,0.1513,0.3357,1.0872,1.148
0.115380416,0.1503,0.3498,1.0550,1.122
0.117950416,0.1430,0.3581,1.0311,1.101
0.120307239,0.1405,0.3684,1.0076,1.082
0.121551875,0.1400,0.3747,0.9822,1.061
0.125462343,0.1381,0.3821,0.9627,1.045
0.129722656,0.1420,0.3860,0.9432,1.029
0.130139896,0.1469,0.3884,0.9305,1.019
0.13133375,0.1591,0.3879,0.9168,1.008
0.134701979,0.1703,0.3865,0.9046,0.998
0.137017916,0.1796,0.3796,0.8958,0.989
0.13906901,0.1879,0.3733,0.8880,0.981
0.141776562,0.2011,0.3611,0.8841,0.976
0.145154114,0.2103,0.3547,0.8787,0.971
0.146078593,0.2172,0.3445,0.8743,0.964
0.149374583,0.2270,0.3347,0.8714,0.961
0.151658125,0.2294,0.3279,0.8670,0.955
0.158696302,0.2367,0.3215,0.8645,0.952
0.159203489,0.2465,0.3122,0.8650,0.952
0.159449427,0.2523,0.3073,0.8655,0.952
0.161302187,0.2582,0.3015,0.8684,0.955
0.163237916,0.2665,0.3010,0.8714,0.960
0.165896979,0.2699,0.2995,0.8738,0.962
0.16922375,0.2719,0.2961,0.8738,0.962
0.170619479,0.2724,0.2990,0.8728,0.962
0.173200312,0.2719,0.2951,0.8728,0.961
0.176510104,0.2665,0.2956,0.8684,0.955
0.179018541,0.2592,0.2976,0.8699,0.955
0.181286041,0.2519,0.2995,0.8699,0.954
0.183064479,0.2440,0.3039,0.8709,0.954
0.186313646,0.2372,0.3117,0.8645,0.949
0.18839401,0.2299,0.3137,0.8616,0.945
0.190907135,0.2235,0.3176,0.8592,0.943
0.194184114,0.2230,0.3186,0.8543,0.939
0.195028854,0.2206,0.3235,0.8494,0.935
0.197689531,0.2162,0.3215,0.8494,0.934
0.201508802,0.2143,0.3215,0.8523,0.936
0.203922552,0.2152,0.3205,0.8582,0.941
0.205598646,0.2128,0.3176,0.8704,0.951
0.207336146,0.2182,0.3142,0.8870,0.966
0.211310573,0.2172,0.3117,0.9095,0.986
0.212499531,0.2182,0.3064,0.9265,1.000
0.215212968,0.2196,0.3029,0.9446,1.016
0.217828541,0.2206,0.2981,0.9622,1.031
0.219538906,0.2147,0.2946,0.9798,1.045
0.2227775,0.2138,0.2854,0.9934,1.055
0.225957083,0.2055,0.2805,1.0052,1.064
0.233986979,0.1986,0.2751,1.0203,1.075
0.234856614,0.1947,0.2697,1.0311,1.083
0.235250312,0.1879,0.2688,1.0408,1.091
0.235586875,0.1810,0.2707,1.0481,1.098
0.238608125,0.1762,0.2663,1.0520,1.099
0.241967135,0.1713,0.2702,1.0535,1.101
0.242509114,0.1688,0.2702,1.0467,1.094
0.246856406,0.1698,0.2785,1.0437,1.094
0.247518437,0.1698,0.2883,1.0354,1.088
0.249752864,0.1752,0.2917,1.0276,1.083
0.252273854,0.1820,0.3015,1.0193,1.078
0.253755416,0.1879,0.3152,1.0057,1.071
0.256517864,0.1913,0.3235,0.9974,1.066
0.259638229,0.1972,0.3327,0.9827,1.056
0.261409635,0.2001,0.3405,0.9725,1.050
0.263643125,0.2045,0.3435,0.9588,1.039
0.266984896,0.2064,0.3464,0.9466,1.029
0.26949401,0.2094,0.3503,0.9378,1.023
0.271785729,0.2084,0.3567,0.9251,1.013
0.274542968,0.2030,0.3591,0.9148,1.004
0.276381718,0.1942,0.3620,0.9065,0.995
0.278502343,0.1913,0.3684,0.8948,0.986
0.281800833,0.1879,0.3689,0.8914,0.983
0.284304687,0.1889,0.3708,0.8826,0.976
0.28593776,0.1879,0.3738,0.8806,0.975
0.289122448,0.1908,0.3777,0.8806,0.977
0.291882708,0.1972,0.3791,0.8797,0.978
0.293547031,0.2133,0.3865,0.8758,0.981
0.295660781,0.2255,0.3938,0.8811,0.991
0.298349895,0.2343,0.3982,0.8850,0.998
0.301006145,0.2372,0.4001,0.8904,1.005
0.30334526,0.2436,0.4021,0.8929,1.009
0.306165833,0.2426,0.4084,0.8977,1.016
0.308106875,0.2440,0.4060,0.9002,1.017
0.310584375,0.2406,0.4094,0.9007,1.018
0.312731458,0.2299,0.4065,0.9036,1.017
0.315627968,0.2211,0.4006,0.9041,1.013
0.318109166,0.2050,0.3928,0.9026,1.005
0.320035781,0.1859,0.3840,0.8914,0.988
0.323054791,0.1635,0.3718,0.8797,0.969
0.32592651,0.1342,0.3591,0.8567,0.939
0.328016041,0.1039,0.3415,0.8313,0.905
0.330642187,0.0765,0.3288,0.8074,0.875
0.332736875,0.0468,0.3142,0.7849,0.847
0.342347656,0.0287,0.3039,0.7693,0.828
0.343326458,0.0179,0.2912,0.7537,0.808
0.343724635,0.0126,0.2820,0.7424,0.794
0.344520312,0.0214,0.2746,0.7434,0.793
0.344876302,0.0370,0.2722,0.7483,0.797
0.347033593,0.0599,0.2727,0.7605,0.810
0.349452604,0.0888,0.2702,0.7674,0.818
0.352472552,0.1181,0.2756,0.7771,0.833
0.354355364,0.1478,0.2824,0.7952,0.857
0.357052291,0.1762,0.2903,0.8054,0.874
0.364874427,0.2020,0.3000,0.8152,0.892
0.365676354,0.2270,0.3122,0.8299,0.915
0.366039375,0.2465,0.3176,0.8396,0.931
0.366356666,0.2665,0.3220,0.8587,0.955
0.371103177,0.2826,0.3235,0.8767,0.976
0.372012187,0.2958,0.3205,0.8963,0.997
0.374469531,0.3036,0.3147,0.9202,1.019
0.37698375,0.3070,0.3132,0.9417,1.039
0.379157916,0.3100,0.3034,0.9617,1.055
0.381557239,0.3090,0.2932,0.9798,1.068
0.385569791,0.3017,0.2888,0.9988,1.083
0.386126145,0.2885,0.2868,1.0066,1.086
0.388774427,0.2748,0.2820,1.0125,1.086
0.392165,0.2597,0.2844,1.0184,1.089
0.393680677,0.2455,0.2863,1.0257,1.093
0.396991927,0.2318,0.2873,1.0369,1.101
0.400119635,0.2289,0.2888,1.0477,1.111
0.401548906,0.2216,0.2946,1.0594,1.122
0.403456458,0.2172,0.2966,1.0647,1.126
0.40649677,0.2108,0.2990,1.0740,1.135
0.409314583,0.2089,0.3117,1.0779,1.141
0.410975312,0.2055,0.3142,1.0833,1.147
0.41338052,0.2050,0.3215,1.0882,1.153
0.415618177,0.2016,0.3205,1.1023,1.166
0.419238541,0.2030,0.3269,1.1185,1.183
0.421496093,0.2113,0.3259,1.1336,1.198
0.424728073,0.2147,0.3210,1.1531,1.216
0.426186093,0.2240,0.3166,1.1692,1.232
0.42800151,0.2523,0.3113,1.1815,1.248
0.430335989,0.8584,0.3069,0.9217,1.296
0.433817448,0.4252,0.1970,1.1263,1.220
0.4426325,0.1190,0.1477,1.2645,1.279
0.443724218,0.0292,0.1418,1.2332,1.242
0.444282708,-0.0260,0.1379,1.2000,1.208
0.444743541,-0.0831,0.1457,1.1741,1.186
0.445170573,-0.0157,0.1682,1.1253,1.138
0.447608906,0.2152,0.1691,0.9842,1.022
0.451046198,0.0438,0.1740,1.0623,1.077
0.453456562,-0.0260,0.1941,1.1048,1.122
0.455476718,0.0409,0.2258,1.0584,1.083
0.458806823,0.1298,0.2448,1.0037,1.041
0.462026666,0.0853,0.2697,0.9920,1.032
0.46285802,0.0863,0.2912,0.9705,1.017
0.46582375,0.0966,0.3210,0.9363,0.995
0.468340573,0.0936,0.3440,0.9158,0.983
0.470319791,0.0819,0.3611,0.9114,0.984
0.47275927,0.0692,0.3816,0.8992,0.979
0.4746325,0.0731,0.3923,0.8836,0.970
0.47775052,0.0516,0.4001,0.8723,0.961
0.480122552,0.0673,0.4094,0.8655,0.960
0.481999948,0.0814,0.4226,0.8343,0.939
0.484945156,0.1117,0.4343,0.8010,0.918
0.487429375,0.1425,0.4446,0.7717,0.902
0.489601718,0.1586,0.4455,0.7454,0.883
0.492125573,0.1850,0.4426,0.7371,0.879
0.494086718,0.1962,0.4372,0.7361,0.878
0.49691276,0.2196,0.4216,0.7395,0.879
0.50009802,0.2260,0.4016,0.7478,0.878
