time,gFx,gFy,gFz,TgF
0.00335026,-0.1500,0.3694,0.8631,0.951
0.004090104,-0.1559,0.3703,0.8465,0.937
0.004364218,-0.1579,0.3752,0.8269,0.922
0.004547031,-0.1574,0.3733,0.8108,0.906
0.004685833,-0.1598,0.3723,0.7952,0.892
0.004817187,-0.1559,0.3752,0.7879,0.886
0.004923698,-0.1593,0.3786,0.7825,0.884
0.005048333,-0.1642,0.3786,0.7757,0.879
0.005174948,-0.1662,0.3855,0.7761,0.882
0.00528302,-0.1632,0.3918,0.7771,0.885
0.006713229,-0.1662,0.3933,0.7830,0.892
0.007865573,-0.1671,0.4006,0.7918,0.903
0.010397239,-0.1705,0.4084,0.7942,0.909
0.01255927,-0.1725,0.4070,0.8001,0.914
0.017352864,-0.1725,0.4079,0.8118,0.925
0.017720052,-0.1710,0.4099,0.8181,0.931
0.02050401,-0.1676,0.4109,0.8313,0.942
0.023452083,-0.1598,0.4094,0.8386,0.947
0.028572343,-0.1520,0.4099,0.8499,0.956
0.028991718,-0.1412,0.4070,0.8601,0.962
0.029980104,-0.1349,0.4065,0.8709,0.970
0.032616145,-0.1246,0.4006,0.8811,0.976
0.035072187,-0.1105,0.3991,0.8933,0.985
0.03765552,-0.0963,0.3943,0.9090,0.995
0.041844166,-0.0875,0.3943,0.9290,1.013
0.042449895,-0.0709,0.3894,0.9436,1.023
0.04487927,-0.0626,0.3825,0.9607,1.036
0.047475312,-0.0499,0.3772,0.9725,1.044
0.050558645,-0.0436,0.3728,0.9812,1.051
0.052983489,-0.0348,0.3698,0.9851,1.053
0.054592864,-0.0324,0.3611,0.9876,1.052
0.057086302,-0.0294,0.3635,0.9900,1.055
0.060078958,-0.0260,0.3542,0.9944,1.056
0.062077291,-0.0182,0.3532,0.9959,1.057
0.064614895,-0.0167,0.3459,1.0018,1.060
0.066873906,-0.0197,0.3459,1.0061,1.064
0.069923333,-0.0182,0.3415,1.0061,1.063
0.071757291,-0.0133,0.3420,1.0013,1.058
0.0742525,-0.0162,0.3435,0.9969,1.055
0.076701406,-0.0172,0.3445,0.9939,1.052
0.079094166,-0.0216,0.3430,0.9915,1.049
0.081849895,-0.0221,0.3449,0.9871,1.046
0.084083645,-0.0309,0.3479,0.9783,1.039
0.086625312,-0.0475,0.3489,0.9739,1.036
0.088745989,-0.0519,0.3537,0.9627,1.027
0.091527656,-0.0538,0.3576,0.9568,1.023
0.093745468,-0.0573,0.3591,0.9549,1.022
0.095969323,-0.0675,0.3635,0.9632,1.032
0.09926677,-0.0778,0.3684,0.9676,1.038
0.101687343,-0.0836,0.3664,0.9656,1.036
0.10443177,-0.0929,0.3679,0.9632,1.035
0.107048541,-0.0993,0.3655,0.9544,1.027
0.109245104,-0.1041,0.3620,0.9407,1.013
0.112213802,-0.1056,0.3601,0.9217,0.995
0.11369802,-0.1119,0.3601,0.9026,0.978
0.116379895,-0.1159,0.3591,0.8846,0.962
0.119512291,-0.1217,0.3591,0.8670,0.946
0.12117875,-0.1232,0.3552,0.8474,0.927
0.125597031,-0.1295,0.3557,0.8308,0.913
0.126236354,-0.1354,0.3537,0.8157,0.899
0.12909677,-0.1388,0.3523,0.8040,0.889
0.13183177,-0.1432,0.3547,0.7888,0.877
0.13376677,-0.1510,0.3567,0.7786,0.870
0.135715573,-0.1530,0.3620,0.7659,0.861
0.13870776,-0.1598,0.3679,0.7517,0.852
0.144033489,-0.1569,0.3723,0.7449,0.847
0.144725364,-0.1579,0.3782,0.7390,0.845
0.145298333,-0.1588,0.3821,0.7356,0.844
0.149238854,-0.1593,0.3830,0.7341,0.843
0.15022375,-0.1593,0.3840,0.7390,0.848
0.152795625,-0.1549,0.3869,0.7507,0.859
0.155037343,-0.1476,0.3865,0.7605,0.866
0.158383229,-0.1383,0.3874,0.7732,0.876
0.160747916,-0.1310,0.3869,0.7869,0.887
0.162453854,-0.1212,0.3845,0.8006,0.896
0.165019895,-0.1246,0.3933,0.8137,0.912
0.168157291,-0.1427,0.4206,0.8211,0.934
0.170588645,-0.1315,0.4138,0.8284,0.935
0.173491354,-0.1246,0.4026,0.8357,0.936
0.175371302,-0.1207,0.3933,0.8426,0.938
0.177541406,-0.1637,0.4255,0.8098,0.929
0.179645468,-0.1671,0.4216,0.8167,0.934
0.183408177,-0.1676,0.4133,0.8250,0.938
0.18448,-0.1657,0.4089,0.8313,0.941
0.187229687,-0.1530,0.4065,0.8523,0.957
0.190080104,-0.1408,0.4055,0.8738,0.974
0.192437708,-0.1286,0.4050,0.8948,0.991
0.194672552,-0.1154,0.4001,0.9173,1.007
0.196719895,-0.1022,0.3938,0.9339,1.019
0.199382343,-0.1017,0.3825,0.9505,1.030
0.201740781,-0.0895,0.3733,0.9671,1.040
0.203892656,-0.0856,0.3591,0.9847,1.052
0.206546614,-0.0890,0.3508,0.9920,1.056
0.208981354,-0.0866,0.3435,1.0037,1.064
0.211351614,-0.0866,0.3352,1.0110,1.069
0.213861458,-0.0875,0.3274,1.0144,1.070
0.216472187,-0.0812,0.3215,1.0232,1.076
0.219061093,-0.0704,0.3108,1.0311,1.079
0.221113333,-0.0641,0.3005,1.0364,1.081
0.223742656,-0.0612,0.2937,1.0442,1.086
0.226228854,-0.0612,0.2883,1.0389,1.080
0.228481302,-0.0592,0.2795,1.0384,1.077
0.231070885,-0.0524,0.2702,1.0286,1.065
0.233582864,-0.0475,0.2697,1.0232,1.059
0.236084947,-0.0455,0.2634,1.0154,1.050
0.238431666,-0.0514,0.2590,1.0101,1.044
0.241007395,-0.0534,0.2600,0.9978,1.033
0.24316526,-0.0485,0.2556,0.9954,1.029
0.245625781,-0.0236,0.2570,0.9900,1.023
0.24834677,0.0223,0.2624,0.9842,1.019
0.250776927,0.0897,0.2717,0.9847,1.025
0.253152916,0.1918,0.2966,0.9900,1.051
0.255460364,0.2230,0.3044,1.0081,1.076
0.258120364,0.2084,0.3020,1.0154,1.080
0.260704635,0.1679,0.3025,1.0086,1.066
0.263485781,0.1303,0.3015,0.9949,1.048
0.265621562,0.0936,0.3005,0.9837,1.033
0.26794526,0.0609,0.2971,0.9700,1.016
0.27054052,0.0282,0.2937,0.9490,0.994
0.273375208,0.0062,0.2873,0.9314,0.975
0.275101406,-0.0089,0.2849,0.9119,0.955
0.277597812,-0.0221,0.2780,0.8972,0.940
0.279921302,-0.0348,0.2741,0.8904,0.932
0.282826302,-0.0446,0.2673,0.8836,0.924
0.285127395,-0.0470,0.2673,0.8880,0.929
0.287582135,-0.0436,0.2644,0.8943,0.934
0.29014302,-0.0485,0.2610,0.8982,0.937
0.2921375,-0.0514,0.2668,0.9016,0.942
0.295590677,-0.0499,0.2634,0.9095,0.948
0.297449739,-0.0436,0.2658,0.9168,0.956
0.300123437,-0.0392,0.2663,0.9163,0.955
0.302196718,-0.0358,0.2634,0.9182,0.956
0.305633906,-0.0309,0.2605,0.9236,0.960
0.307897552,-0.0231,0.2570,0.9329,0.968
0.31001,-0.0079,0.2570,0.9383,0.973
0.312206302,0.0013,0.2546,0.9417,0.975
0.315344895,0.0106,0.2492,0.9510,0.983
0.316935364,0.0150,0.2419,0.9641,0.994
0.320543697,0.0248,0.2414,0.9744,1.004
0.322823593,0.0370,0.2302,0.9803,1.008
0.324670729,0.0424,0.2219,0.9886,1.014
0.327238541,0.0516,0.2194,0.9886,1.014
0.329319322,0.0541,0.2107,0.9861,1.010
0.331976354,0.0590,0.2009,0.9764,0.999
0.3345575,0.0668,0.1897,0.9700,0.991
0.336638489,0.0761,0.1828,0.9588,0.979
0.339691041,0.0800,0.1745,0.9466,0.966
0.347456979,0.0883,0.1618,0.9373,0.955
0.348401614,0.0951,0.1501,0.9280,0.945
0.348791927,0.1034,0.1389,0.9139,0.930
0.349193958,0.1146,0.1242,0.9016,0.917
0.351816927,0.1249,0.1115,0.8899,0.906
0.35411526,0.1381,0.0959,0.8733,0.889
0.356533854,0.1478,0.0808,0.8714,0.888
0.358409479,0.1601,0.0646,0.8616,0.879
0.360766354,0.1654,0.0490,0.8577,0.875
0.363597968,0.1708,0.0368,0.8548,0.872
0.369178125,0.1786,0.0261,0.8577,0.876
0.370012239,0.1820,0.0139,0.8650,0.884
0.370524843,0.1850,0.0021,0.8762,0.896
0.376451927,0.1928,0.0012,0.8855,0.906
0.377312291,0.1996,-0.0067,0.9036,0.925
0.377908072,0.1962,-0.0169,0.9319,0.952
0.380898333,0.1874,-0.0389,0.9832,1.002
0.38312427,0.1923,-0.0306,1.0511,1.069
0.385471041,0.2006,-0.0154,1.1155,1.134
0.388208958,0.2289,0.0036,1.1531,1.176
0.390812239,0.2655,0.0202,1.1824,1.212
0.392765781,0.2885,0.0246,1.1971,1.232
0.396327447,0.3080,0.0329,1.2103,1.249
0.398474531,0.3275,0.0471,1.2166,1.261
0.40023052,0.3485,0.0695,1.2337,1.284
0.403234479,0.3754,0.1096,1.2562,1.316
0.405791562,0.3739,0.1374,1.2835,1.344
0.408098645,0.3686,0.1662,1.3153,1.376
0.410524843,0.3539,0.1936,1.3328,1.393
0.412817031,0.3417,0.2292,1.3372,1.399
0.416249479,0.3280,0.2585,1.3211,1.386
0.417605468,0.3232,0.2863,1.2923,1.363
0.419955781,0.3183,0.3132,1.2562,1.333
0.422551562,0.3109,0.3464,1.2381,1.323
0.424932812,0.2973,0.3830,1.2054,1.299
0.427975781,0.2694,0.4060,1.1653,1.263
0.431000989,0.2460,0.4094,1.1141,1.212
0.439580468,0.2274,0.4143,1.0726,1.172
0.440548645,0.2030,0.4172,1.0296,1.129
0.440910312,0.1771,0.4094,0.9842,1.081
0.441241614,0.1503,0.3943,0.9363,1.027
0.441833489,0.1293,0.3777,0.8919,0.977
0.444017812,0.1010,0.3542,0.8474,0.924
0.446842447,0.0790,0.3342,0.8142,0.884
0.449032239,0.0580,0.3166,0.7937,0.857
0.451540468,0.0321,0.2912,0.7713,0.825
0.454021302,0.0106,0.2663,0.7605,0.806
0.457028177,-0.0167,0.2463,0.7605,0.800
0.459157135,-0.0324,0.2248,0.7532,0.787
0.461819062,-0.0475,0.2063,0.7561,0.785
0.464660729,-0.0582,0.1901,0.7615,0.787
0.466744322,-0.0709,0.1745,0.7688,0.792
0.468894843,-0.0753,0.1613,0.7869,0.807
0.472646979,-0.0792,0.1452,0.8142,0.831
0.47415526,-0.0797,0.1350,0.8484,0.863
0.476651197,-0.0822,0.1193,0.8782,0.890
0.479269374,-0.0851,0.1071,0.9173,0.927
0.48215526,-0.0905,0.0939,0.9549,0.964
0.484211249,-0.0866,0.0773,0.9778,0.985
0.486287083,-0.0753,0.0622,0.9773,0.982
0.489551354,-0.0641,0.0519,0.9847,0.988
0.491534947,-0.0538,0.0466,1.0027,1.005
0.493958489,-0.0480,0.0456,1.0242,1.026
0.496004739,-0.0460,0.0451,1.0682,1.070
0.499416927,-0.0372,0.0539,1.1175,1.119
0.501402291,-0.0221,0.0612,1.1619,1.164
0.50408776,0.0043,0.0671,1.1883,1.190
0.506153437,0.0336,0.0734,1.1985,1.201
0.508996562,0.0692,0.0817,1.1976,1.202
0.511106249,0.0990,0.0891,1.1907,1.198
0.514125572,0.1239,0.1003,1.1824,1.193
0.516022343,0.1444,0.1057,1.1756,1.189
0.51791151,0.1635,0.1115,1.1702,1.187
0.520460104,0.1796,0.1213,1.1746,1.194
0.523025364,0.1967,0.1301,1.1741,1.198
0.525653229,0.2196,0.1350,1.1653,1.194
