time,gFx,gFy,gFz,TgF
7.38958E-4,-0.1500,0.2922,0.8152,0.879
0.001128854,-0.1642,0.3015,0.7976,0.868
0.001320521,-0.1725,0.3088,0.7918,0.867
0.001473021,-0.1784,0.3191,0.7927,0.873
0.001593125,-0.1803,0.3259,0.7976,0.880
0.003840781,-0.1813,0.3332,0.8098,0.894
0.008190781,-0.1769,0.3366,0.8245,0.908
0.008543229,-0.1745,0.3376,0.8343,0.917
0.00931776,-0.1666,0.3396,0.8489,0.929
0.012081719,-0.1632,0.3405,0.8616,0.941
0.015048594,-0.1544,0.3396,0.8787,0.955
0.016733437,-0.1486,0.3396,0.8958,0.969
0.019321875,-0.1452,0.3274,0.9114,0.979
0.02163776,-0.1388,0.3264,0.9217,0.988
0.023957083,-0.1329,0.3210,0.9270,0.990
0.026348906,-0.1217,0.3171,0.9353,0.995
0.028892344,-0.1124,0.3156,0.9427,1.000
0.031619844,-0.1066,0.3117,0.9441,1.000
0.034236042,-0.0949,0.3044,0.9480,1.000
0.036561198,-0.0841,0.3005,0.9505,1.000
0.038965729,-0.0743,0.2986,0.9554,1.004
0.041235104,-0.0724,0.2942,0.9573,1.004
0.043614219,-0.0656,0.2878,0.9549,0.999
0.047107656,-0.0631,0.2859,0.9544,0.998
0.049270469,-0.0646,0.2839,0.9524,0.996
0.051107864,-0.0675,0.2805,0.9480,0.991
0.053480573,-0.0680,0.2756,0.9500,0.991
0.057165625,-0.0709,0.2761,0.9495,0.991
0.059113958,-0.0724,0.2732,0.9466,0.988
0.060895364,-0.0768,0.2736,0.9441,0.986
0.065351927,-0.0797,0.2732,0.9432,0.985
0.065985364,-0.0822,0.2727,0.9378,0.980
0.069155312,-0.0875,0.2663,0.9363,0.977
0.071329635,-0.0919,0.2644,0.9334,0.974
0.07340651,-0.0988,0.2639,0.9285,0.970
0.076153333,-0.1046,0.2644,0.9251,0.968
0.078038125,-0.1154,0.2644,0.9192,0.963
0.082058906,-0.1256,0.2600,0.9197,0.964
0.083487708,-0.1325,0.2605,0.9192,0.965
0.086095781,-0.1408,0.2600,0.9143,0.961
0.088338541,-0.1461,0.2653,0.9143,0.963
0.090939219,-0.1500,0.2668,0.9158,0.966
0.093332812,-0.1544,0.2683,0.9129,0.964
0.095324948,-0.1608,0.2702,0.9158,0.968
0.098355729,-0.1622,0.2746,0.9139,0.968
0.100021458,-0.1642,0.2771,0.9153,0.970
0.103297344,-0.1647,0.2741,0.9192,0.973
0.106492864,-0.1642,0.2746,0.9187,0.973
0.10782401,-0.1715,0.2771,0.9217,0.978
0.110075416,-0.1705,0.2790,0.9270,0.983
0.112354323,-0.1686,0.2780,0.9290,0.984
0.122075364,-0.1637,0.2805,0.9319,0.987
0.122918541,-0.1652,0.2780,0.9353,0.990
0.123268541,-0.1652,0.2810,0.9412,0.996
0.12364026,-0.1593,0.2829,0.9427,0.997
0.125909791,-0.1579,0.2829,0.9495,1.003
0.128996823,-0.1544,0.2795,0.9490,1.001
0.130027135,-0.1520,0.2805,0.9549,1.007
0.135167916,-0.1461,0.2795,0.9539,1.005
0.135965625,-0.1408,0.2776,0.9544,1.004
0.137434791,-0.1344,0.2771,0.9515,1.000
0.141185416,-0.1305,0.2790,0.9505,0.999
0.141835937,-0.1256,0.2761,0.9485,0.996
0.144409219,-0.1310,0.2780,0.9422,0.991
0.147729062,-0.1246,0.2780,0.9383,0.987
0.149869896,-0.1173,0.2810,0.9417,0.990
0.152052656,-0.1110,0.2824,0.9402,0.988
0.154039687,-0.1046,0.2844,0.9407,0.988
0.156572448,-0.0993,0.2854,0.9422,0.989
0.159765312,-0.0978,0.2820,0.9397,0.986
0.162238177,-0.0934,0.2815,0.9383,0.984
0.164284739,-0.0875,0.2771,0.9397,0.984
0.166368125,-0.0870,0.2766,0.9388,0.983
0.169687187,-0.0827,0.2776,0.9383,0.982
0.172334531,-0.0787,0.2780,0.9353,0.979
0.179587344,-0.0778,0.2776,0.9388,0.982
0.180361041,-0.0758,0.2771,0.9373,0.980
0.180742656,-0.0724,0.2771,0.9378,0.981
0.181146302,-0.0704,0.2780,0.9378,0.981
0.183458125,-0.0734,0.2712,0.9383,0.979
0.186465052,-0.0724,0.2697,0.9383,0.979
0.192531041,-0.0748,0.2683,0.9353,0.976
0.19320651,-0.0739,0.2678,0.9363,0.977
0.193595,-0.0787,0.2649,0.9339,0.974
0.196549427,-0.0817,0.2673,0.9324,0.973
0.199427396,-0.0846,0.2683,0.9348,0.976
0.200791198,-0.0846,0.2702,0.9339,0.976
0.203215156,-0.0885,0.2717,0.9329,0.976
0.207057448,-0.0880,0.2688,0.9353,0.977
0.208288594,-0.0841,0.2693,0.9383,0.980
0.211135885,-0.0831,0.2693,0.9422,0.983
0.212982135,-0.0822,0.2693,0.9505,0.991
0.221719635,-0.0783,0.2732,0.9573,0.999
0.222395625,-0.0831,0.2829,0.9632,1.007
0.223027708,-0.0836,0.2883,0.9734,1.019
0.223450885,-0.0827,0.2859,0.9812,1.025
0.225533541,-0.0817,0.2873,0.9832,1.028
0.228350104,-0.0802,0.2820,0.9837,1.026
0.23460026,-0.0812,0.2790,0.9759,1.018
0.235360416,-0.0763,0.2746,0.9651,1.006
0.236002239,-0.0748,0.2722,0.9544,0.995
0.237496041,-0.0690,0.2634,0.9392,0.978
0.240433125,-0.0675,0.2595,0.9226,0.961
0.243010677,-0.1022,0.2614,0.9475,0.988
0.245890625,-0.2057,0.2805,1.2518,1.299
0.247840104,-0.1369,0.2287,0.9427,0.980
0.249538541,-0.1007,0.2175,0.8333,0.867
0.252923281,-0.0817,0.2214,0.8245,0.858
0.25447901,-0.0651,0.2258,0.8299,0.862
0.257557864,-0.0509,0.2292,0.8435,0.876
0.259426719,-0.0455,0.2307,0.8567,0.888
0.261972864,-0.0387,0.2307,0.8767,0.907
0.265300729,-0.0382,0.2248,0.8924,0.921
