time,gFx,gFy,gFz,TgF
0.001751094,0.2475,0.2976,0.8006,0.889
0.001977552,0.2475,0.3039,0.7937,0.885
0.002113802,0.2504,0.3103,0.7957,0.890
0.002266771,0.2519,0.3152,0.7996,0.896
0.002377865,0.2504,0.3200,0.8064,0.903
0.002487969,0.2416,0.3293,0.8235,0.919
0.003899896,0.2606,0.3396,0.8284,0.932
0.006489584,0.2714,0.3415,0.8367,0.944
0.008449011,0.2704,0.3445,0.8450,0.952
0.012684792,0.2665,0.3474,0.8543,0.960
0.013752031,0.2602,0.3474,0.8684,0.971
0.016098073,0.2553,0.3425,0.8806,0.979
0.018304011,0.2553,0.3342,0.8997,0.993
0.021842344,0.2528,0.3288,0.9085,0.999
0.02341599,0.2475,0.3230,0.9207,1.007
0.026139792,0.2431,0.3176,0.9339,1.016
0.028140313,0.2362,0.3142,0.9392,1.018
0.030834323,0.2274,0.3113,0.9485,1.024
0.033049375,0.2230,0.3117,0.9602,1.034
0.036101042,0.2211,0.3166,0.9666,1.041
0.038325886,0.2196,0.3210,0.9695,1.045
0.040467031,0.2172,0.3235,0.9734,1.049
0.043994011,0.2177,0.3279,0.9773,1.054
0.04609099,0.2187,0.3288,0.9817,1.058
0.048852813,0.2152,0.3274,0.9842,1.059
0.050308542,0.2123,0.3264,0.9900,1.064
0.053880469,0.2103,0.3244,0.9905,1.063
0.056043802,0.2084,0.3230,0.9939,1.066
0.058719948,0.2113,0.3161,0.9983,1.068
0.060090052,0.2143,0.3176,0.9925,1.064
0.062569271,0.2157,0.3122,0.9891,1.059
0.065340625,0.2182,0.3083,0.9876,1.057
0.067605156,0.2250,0.3103,0.9778,1.050
0.069807396,0.2309,0.3113,0.9690,1.044
0.072366719,0.2343,0.3161,0.9602,1.038
0.075256198,0.2387,0.3191,0.9490,1.029
0.077674636,0.2445,0.3196,0.9344,1.017
0.079648594,0.2465,0.3244,0.9251,1.011
0.082131354,0.2460,0.3269,0.9163,1.003
0.08428849,0.2480,0.3254,0.9085,0.996
0.086919636,0.2475,0.3288,0.9021,0.992
0.089775833,0.2411,0.3313,0.8933,0.983
0.092834011,0.2348,0.3322,0.8924,0.981
0.102074792,0.2318,0.3298,0.8850,0.973
0.102510052,0.2289,0.3298,0.8777,0.965
0.102795313,0.2240,0.3303,0.8772,0.964
0.103096042,0.2235,0.3313,0.8738,0.961
0.105585781,0.2270,0.3337,0.8753,0.964
0.107486198,0.2313,0.3362,0.8723,0.963
0.11006875,0.2421,0.3357,0.8728,0.966
0.112946667,0.2470,0.3371,0.8772,0.972
0.114255365,0.2533,0.3405,0.8846,0.981
0.116929844,0.2548,0.3396,0.8909,0.987
0.119796458,0.2519,0.3396,0.8953,0.990
0.121918386,0.2460,0.3362,0.8987,0.991
0.124102865,0.2206,0.3366,0.9080,0.993
0.127622761,0.2284,0.3352,0.9099,0.996
0.130677136,0.2489,0.3386,0.9080,1.001
0.131152969,0.2533,0.3362,0.9129,1.005
0.134933646,0.2533,0.3357,0.9178,1.010
0.137155625,0.2499,0.3410,0.9158,1.009
0.144665417,0.2401,0.3381,0.9129,1.003
0.145223177,0.2338,0.3357,0.9075,0.995
0.145565104,0.2357,0.3298,0.9046,0.991
0.145917136,0.2421,0.3244,0.8987,0.986
0.149540625,0.2475,0.3210,0.8948,0.982
0.151962396,0.2494,0.3166,0.8948,0.981
0.155366146,0.2504,0.3117,0.8948,0.980
0.155827969,0.2538,0.3078,0.8987,0.983
0.158605781,0.2563,0.3015,0.8997,0.983
0.163961823,0.2650,0.3025,0.9002,0.986
0.164451302,0.2714,0.3029,0.9026,0.990
0.166607292,0.2733,0.2986,0.9075,0.994
0.168745156,0.2733,0.3015,0.9085,0.995
0.172181875,0.2758,0.3005,0.9139,1.001
0.172687136,0.2821,0.3039,0.9143,1.004
0.176352136,0.2831,0.3025,0.9099,1.000
0.178933177,0.2851,0.3010,0.9104,1.000
0.187088073,0.2792,0.3044,0.9134,1.002
0.187550886,0.2758,0.3034,0.9119,1.000
0.187881406,0.2773,0.3039,0.9178,1.006
0.188210261,0.2699,0.3039,0.9222,1.008
0.191908854,0.2650,0.3054,0.9251,1.010
0.192396354,0.2611,0.3010,0.9261,1.008
0.198367083,0.2577,0.3049,0.9265,1.009
0.198806875,0.2523,0.3005,0.9275,1.007
0.20143875,0.2494,0.3020,0.9236,1.003
0.203313958,0.2406,0.3088,0.9182,0.998
0.21048474,0.2367,0.3088,0.9119,0.991
0.210838438,0.2367,0.3088,0.9104,0.990
0.211026979,0.2353,0.3117,0.9099,0.990
0.213266875,0.2294,0.3113,0.9148,0.993
0.215192708,0.2143,0.3186,0.9158,0.993
0.217382552,0.2074,0.3196,0.9265,1.002
0.220199531,0.2103,0.3200,0.9368,1.012
0.223141198,0.2182,0.3181,0.9383,1.014
0.22552849,0.2245,0.3171,0.9314,1.009
0.227133073,0.2372,0.3181,0.9270,1.008
0.230250052,0.2450,0.3181,0.9202,1.004
0.23173125,0.2528,0.3205,0.9178,1.004
0.235603594,0.2514,0.3186,0.9187,1.004
0.237232604,0.2504,0.3205,0.9187,1.005
0.239817917,0.2470,0.3225,0.9192,1.005
0.241856146,0.2416,0.3259,0.9207,1.006
0.245135208,0.2362,0.3293,0.9222,1.007
0.247372865,0.2372,0.3308,0.9207,1.007
0.250280521,0.2313,0.3303,0.9182,1.003
0.252449688,0.2270,0.3298,0.9182,1.002
0.255350625,0.2294,0.3298,0.9158,1.000
0.256397708,0.2250,0.3347,0.9153,1.000
0.259836406,0.1981,0.3308,0.9192,0.997
0.263355833,0.1996,0.3313,0.9134,0.992
0.263831406,0.2196,0.3269,0.9080,0.990
0.266552188,0.2406,0.3259,0.9031,0.990
0.268962865,0.2475,0.3215,0.8992,0.986
0.271783073,0.2484,0.3220,0.8987,0.986
0.273951823,0.2509,0.3235,0.8953,0.984
0.276321354,0.2563,0.3196,0.8933,0.983
0.280291042,0.2602,0.3196,0.8933,0.984
0.281295781,0.2611,0.3166,0.9007,0.990
0.283360781,0.2636,0.3122,0.9055,0.993
0.287066042,0.2553,0.3152,0.9085,0.995
0.295023854,0.2523,0.3137,0.9099,0.995
0.295710104,0.2465,0.3147,0.9148,0.998
0.296040938,0.2426,0.3176,0.9153,0.999
0.296360156,0.2411,0.3156,0.9182,1.000
0.298675833,0.2401,0.3210,0.9192,1.003
0.301570208,0.2387,0.3205,0.9202,1.003
0.303564531,0.2338,0.3210,0.9187,1.001
0.305648958,0.2333,0.3279,0.9197,1.004
0.309072083,0.2265,0.3313,0.9192,1.003
0.311650365,0.2255,0.3313,0.9217,1.005
0.316452031,0.2172,0.3322,0.9212,1.003
0.317068281,0.2138,0.3337,0.9212,1.003
0.317923698,0.2182,0.3352,0.9207,1.004
0.321636719,0.2191,0.3391,0.9222,1.007
0.32258099,0.2230,0.3405,0.9207,1.007
0.328282813,0.2245,0.3410,0.9212,1.008
0.328581302,0.2250,0.3454,0.9231,1.011
0.337755313,0.2240,0.3508,0.9241,1.014
0.338395313,0.2182,0.3557,0.9222,1.012
0.338745729,0.1967,0.3449,0.9217,1.004
0.339065052,0.2020,0.3469,0.9182,1.002
0.339377344,0.2191,0.3464,0.9153,1.003
0.343311302,0.2294,0.3381,0.9158,1.003
0.345573594,0.2299,0.3366,0.9139,1.001
0.353529323,0.2323,0.3371,0.9124,1.000
0.354051146,0.2318,0.3401,0.9075,0.996
0.354298281,0.2328,0.3357,0.9055,0.993
0.354541875,0.2841,0.3220,0.9187,1.014
0.356569896,0.2704,0.3205,0.9285,1.019
0.359084531,0.2494,0.3362,0.9041,0.996
0.361984792,0.2177,0.3308,0.8977,0.981
0.370856927,0.1996,0.3171,0.8943,0.970
0.37156651,0.2064,0.3191,0.8943,0.972
