time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002667,0.9014,0.0138,-2.4167,2.579
0.003613,0.7464,0.0522,-2.2824,2.402
0.006922,0.5558,0.1278,-1.9770,2.058
0.011342,0.3826,0.1959,-1.4970,1.558
0.015576,0.2036,0.2032,-0.9736,1.015
0.031518,-0.0016,0.1742,-0.4311,0.465
0.032286,-0.2619,0.0871,0.1220,0.302
0.032701,-0.5522,0.0229,0.6038,0.819
0.035281,-0.8199,0.0093,1.0084,1.300
0.039743,-1.0569,-0.0600,1.3303,1.700
0.045170,-1.1878,-0.1157,1.5335,1.943
0.054935,-0.9891,-0.2316,1.5654,1.866
0.059313,-0.7602,-0.2795,1.5108,1.714
0.063507,-0.4763,-0.3311,1.3612,1.480
0.068812,-0.2587,-0.4032,1.1796,1.273
0.074106,-0.0722,-0.5261,0.9139,1.057
0.078313,0.1255,-0.6356,0.5797,0.869
0.083644,0.2770,-0.6789,0.2025,0.761
0.088886,0.4407,-0.6499,-0.1141,0.793
0.092398,0.5418,-0.5392,-0.3288,0.832
0.097144,0.6629,-0.3914,-0.4835,0.909
0.105052,0.7630,-0.2464,-0.6383,1.025
0.108761,0.8567,-0.1422,-0.5949,1.053
0.111614,0.8013,-0.0586,-0.4007,0.898
0.116124,0.6065,-0.0157,-0.1766,0.632
0.121808,0.3868,0.0623,0.0044,0.392
0.126180,0.2507,0.0765,0.1636,0.309
0.130833,0.1946,0.0554,0.2595,0.329
0.135282,0.1692,0.0097,0.2718,0.320
0.143464,0.1779,-0.0625,0.1929,0.270
0.145151,0.2450,-0.1287,0.0653,0.284
0.149471,0.2825,-0.2033,-0.0684,0.355
0.156052,0.3899,-0.2528,-0.1601,0.491
0.158993,0.3721,-0.2452,-0.0065,0.446
0.163947,0.3900,-0.2570,0.3355,0.575
0.168681,0.1699,-0.1863,0.8949,0.930
0.173536,-0.1680,-0.1019,1.4432,1.456
0.178331,-0.6112,0.0093,1.8877,1.984
0.183100,-0.8189,0.1467,2.1864,2.339
0.189240,-0.9816,0.2463,2.3919,2.597
0.192623,-1.1125,0.3265,2.3946,2.660
0.197192,-1.2254,0.3755,2.2205,2.564
0.202357,-1.2672,0.4074,1.8622,2.289
0.207577,-1.1909,0.3500,1.3848,1.860
0.211497,-1.1106,0.2843,0.7761,1.384
0.216007,-0.9674,0.1344,0.0907,0.981
0.232877,-0.6801,-0.0459,-0.5918,0.903
0.234488,-0.3792,-0.1989,-1.1333,1.212
0.235268,0.0829,-0.2520,-1.5999,1.622
0.236120,0.6557,-0.2931,-1.8845,2.017
0.240332,1.1310,-0.2316,-2.0686,2.369
0.245105,1.5447,-0.1537,-2.1095,2.619
0.249857,1.7931,-0.1211,-2.0027,2.691
0.255949,1.8720,-0.0654,-1.7344,2.553
0.259636,1.7052,-0.0306,-1.3803,2.194
0.264481,1.4911,0.0661,-1.0562,1.828
0.268807,1.2440,0.1183,-0.8055,1.487
0.275555,1.1000,0.1629,-0.5911,1.259
0.278738,1.0321,0.1724,-0.2872,1.085
0.283409,0.9485,0.1315,0.1645,0.972
0.289648,1.0294,0.1258,0.5897,1.193
0.292840,0.9816,0.0629,0.9251,1.350
0.298045,0.8208,-0.0250,1.2249,1.475
0.302630,0.5162,-0.2294,1.6149,1.711
0.307288,0.2838,-0.5646,2.0521,2.147
0.312188,0.1032,-0.9328,2.3451,2.526
0.323196,-0.3568,-1.9217,1.8914,2.720
0.327120,-0.5783,-2.4042,1.2861,2.787
0.331449,-0.5689,-2.5896,0.5893,2.716
0.336976,-0.2116,-2.5428,-0.0310,2.552
0.340702,0.4386,-2.2133,-0.6265,2.342
0.345312,1.2745,-1.6963,-1.1661,2.421
0.350096,2.2463,-1.1806,-1.6353,3.019
0.355310,3.0674,-0.6711,-1.9920,3.719
0.359629,3.5289,-0.2024,-2.0923,4.108
0.364323,3.6120,0.2218,-1.9330,4.103
0.369184,3.3529,0.5277,-1.4840,3.704
0.373903,3.0101,0.7233,-0.8385,3.207
