time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
9.747853,0.2001,0.9067,-0.8178,1.237
9.752091,0.1709,0.9132,-0.6062,1.109
9.757916,0.1314,0.921,-0.423,1.022
9.762178,0.0558,0.9371,-0.2141,0.963
9.766952,-0.0533,0.9897,0.0152,0.991
9.782735,-0.1501,1.0203,0.2011,1.051
9.783889,-0.2994,1.0437,0.3651,1.146
9.78465,-0.408,1.0546,0.4984,1.236
9.788015,-0.5196,1.0702,0.5867,1.326
9.790979,-0.6419,1.0684,0.5889,1.379
9.796117,-0.7357,1.05,0.5098,1.38
9.800126,-0.8608,1.0336,0.4866,1.43
9.804708,-0.9923,0.9946,0.351,1.448
9.810844,-1.1029,0.9585,0.1088,1.465
9.815079,-1.1464,0.9164,-0.0778,1.47
9.819755,-1.2015,0.9001,-0.3906,1.551
9.824901,-1.1335,0.8942,-0.6674,1.591
9.828877,-1.0215,0.8567,-0.9029,1.61
9.83405,-0.8613,0.8425,-1.0543,1.601
9.840685,-0.6877,0.8236,-1.1314,1.559
9.844793,-0.4222,0.8179,-1.2433,1.547
9.849933,-0.1256,0.8261,-1.2496,1.503
9.852738,0.1963,0.7911,-1.2257,1.472
9.867499,0.5229,0.7495,-1.1957,1.505
9.868917,0.8098,0.6714,-1.0962,1.519
9.869536,1.1421,0.5928,-1.0349,1.651
9.873023,1.3996,0.46,-0.9349,1.745
9.876302,1.5776,0.3143,-0.8601,1.824
9.8809,1.7033,0.1805,-0.7807,1.882
9.886308,1.7565,0.0654,-0.711,1.896
9.892253,1.8166,-0.05,-0.693,1.945
9.895457,1.8135,-0.133,-0.6096,1.918
9.900852,1.8061,-0.2081,-0.5684,1.905
9.906605,1.8036,-0.257,-0.5302,1.897
9.910958,1.77,-0.2608,-0.4981,1.857
9.914552,1.7887,-0.2951,-0.4582,1.87
9.919315,1.8518,-0.2699,-0.5308,1.945
9.925136,1.9287,-0.1839,-0.6363,2.039
9.930231,2.0705,-0.1209,-0.7721,2.213
9.933549,2.1725,-0.0098,-0.9493,2.371
9.940364,2.2856,0.1782,-1.217,2.596
9.94329,2.3894,0.41,-1.5109,2.857
9.948468,2.4711,0.6692,-1.7449,3.098
9.95256,2.407,0.9551,-1.9625,3.249
9.971498,2.3648,1.2162,-2.1042,3.391
9.973429,2.3179,1.4256,-2.203,3.501
9.974618,2.2704,1.6101,-2.1917,3.543
9.975508,2.3468,1.7393,-2.0623,3.576
9.981489,2.9168,1.7944,-1.623,3.79
9.986818,3.277,1.6879,-1.2723,3.9
9.993665,3.8579,1.5385,-0.7191,4.215
9.995819,4.2951,1.3016,-0.3306,4.5
10.000441,4.6192,1.1429,0.094,4.759
10.005201,4.8803,0.9575,0.4678,4.995
10.010772,5.096,0.8274,0.783,5.222
10.015153,5.2465,0.7542,1.0099,5.396
10.020081,5.3374,0.6522,1.2821,5.528
10.024564,5.3093,0.5748,1.4364,5.53
10.029398,5.1984,0.4788,1.5524,5.446
10.033856,4.9951,0.3198,1.6236,5.262
10.04093,4.6549,0.1266,1.6199,4.93
10.044647,4.2996,-0.1196,1.6213,4.597
10.048448,3.8031,-0.4716,1.537,4.129
10.052901,3.226,-0.8455,1.2221,3.552
10.065067,2.5056,-1.3341,1.0269,3.019
10.066423,1.6997,-1.7294,0.4918,2.474
10.067565,0.8094,-2.1515,0.2114,2.308
10.072555,0.0346,-2.5735,-0.2066,2.582
10.078104,-0.6558,-2.9907,-0.5559,3.112
10.081795,-1.2154,-3.3829,-0.8645,3.697
10.087906,-1.6283,-3.6887,-1.2354,4.217
10.091403,-1.8691,-3.9504,-1.4304,4.598
10.096013,-1.9383,-4.1952,-1.377,4.822
10.100694,-1.8299,-4.2751,-1.3844,4.852
10.106941,-1.5793,-4.2903,-1.3259,4.76
10.110377,-1.1855,-4.2247,-1.1314,4.531
10.115919,-0.6915,-4.077,-0.8414,4.22
10.119672,-0.1458,-3.8888,-0.4336,3.916
10.125125,0.3985,-3.6368,0.0444,3.659
10.129754,0.9127,-3.3458,0.4569,3.498
