time,gFx,gFy,gFz,TgF
0.001044115,-0.0890,0.4026,0.7971,0.897
0.001413646,-0.0763,0.4040,0.7952,0.895
0.004833958,-0.0665,0.4040,0.7923,0.892
0.006703177,-0.0548,0.4001,0.7932,0.890
0.00917125,-0.0494,0.3938,0.8015,0.894
0.012171094,-0.0460,0.3894,0.8157,0.905
0.014172135,-0.0514,0.3869,0.8313,0.918
0.016352604,-0.0519,0.3801,0.8557,0.938
0.019640208,-0.0519,0.3762,0.8816,0.960
0.022109115,-0.0485,0.3713,0.9124,0.986
0.023582917,-0.0494,0.3708,0.9422,1.014
0.026073854,-0.0436,0.3738,0.9627,1.034
0.028812135,-0.0441,0.3703,0.9793,1.048
0.031315417,-0.0392,0.3659,0.9959,1.062
0.033625938,-0.0363,0.3572,1.0140,1.076
0.036874427,-0.0358,0.3567,1.0262,1.087
0.03858724,-0.0333,0.3503,1.0286,1.087
0.041154531,-0.0294,0.3474,1.0354,1.093
0.045370938,-0.0280,0.3440,1.0398,1.096
0.046329531,-0.0260,0.3415,1.0384,1.093
0.04868276,-0.0289,0.3366,1.0374,1.091
0.050735104,-0.0294,0.3332,1.0359,1.089
0.053347344,-0.0343,0.3327,1.0267,1.080
0.056008229,-0.0416,0.3303,1.0218,1.075
0.057887813,-0.0494,0.3298,1.0140,1.067
0.06067125,-0.0558,0.3279,1.0027,1.056
0.062973385,-0.0612,0.3303,0.9934,1.049
0.065293802,-0.0724,0.3313,0.9842,1.041
0.067865052,-0.0802,0.3371,0.9725,1.032
0.070391458,-0.0880,0.3381,0.9622,1.024
0.072891406,-0.1002,0.3440,0.9539,1.019
0.075221354,-0.1085,0.3454,0.9456,1.013
0.078333229,-0.1149,0.3445,0.9373,1.005
0.080192969,-0.1178,0.3449,0.9300,0.999
0.082554479,-0.1237,0.3479,0.9251,0.996
0.085525938,-0.1266,0.3479,0.9182,0.990
0.087397813,-0.1305,0.3449,0.9109,0.983
0.089722292,-0.1344,0.3440,0.9041,0.977
0.092681042,-0.1349,0.3391,0.9002,0.971
0.095246302,-0.1364,0.3386,0.8963,0.968
0.097392865,-0.1349,0.3362,0.8953,0.966
0.099621094,-0.1325,0.3352,0.8977,0.967
0.102407396,-0.1271,0.3410,0.8987,0.970
0.105131719,-0.1266,0.3352,0.9012,0.970
0.10747125,-0.1217,0.3362,0.9065,0.974
0.110682188,-0.1159,0.3391,0.9080,0.976
0.115422917,-0.1110,0.3425,0.9085,0.977
0.115847344,-0.1051,0.3415,0.9168,0.984
0.117142083,-0.1007,0.3410,0.9173,0.984
0.119445938,-0.1007,0.3445,0.9207,0.988
0.121887344,-0.0939,0.3435,0.9246,0.991
0.124211979,-0.0885,0.3479,0.9290,0.996
0.127291042,-0.0836,0.3459,0.9329,0.998
0.129525052,-0.0783,0.3469,0.9363,1.002
0.131645573,-0.0719,0.3464,0.9412,1.005
0.133983958,-0.0656,0.3479,0.9436,1.008
0.136808854,-0.0607,0.3454,0.9500,1.013
0.139294063,-0.0577,0.3449,0.9563,1.018
0.141435052,-0.0509,0.3484,0.9578,1.020
0.145770417,-0.0460,0.3469,0.9607,1.022
0.146570885,-0.0387,0.3435,0.9656,1.026
0.14915125,-0.0353,0.3435,0.9661,1.026
0.151161146,-0.0455,0.3420,0.9583,1.019
0.15391401,-0.0529,0.3405,0.9471,1.008
0.156217865,-0.0509,0.3396,0.9427,1.003
0.158735469,-0.0397,0.3381,0.9441,1.004
0.161641198,-0.0309,0.3366,0.9466,1.005
0.16356599,-0.0221,0.3337,0.9500,1.007
0.165924688,-0.0226,0.3293,0.9490,1.005
0.169635052,-0.0236,0.3283,0.9427,0.998
0.170920833,-0.0289,0.3269,0.9363,0.992
0.173204271,-0.0294,0.3264,0.9339,0.990
0.17556849,-0.0358,0.3327,0.9300,0.988
0.178718437,-0.0465,0.3352,0.9300,0.990
0.180694583,-0.0514,0.3391,0.9305,0.992
0.182890521,-0.0631,0.3396,0.9309,0.993
0.185601771,-0.0670,0.3474,0.9344,0.999
0.187975365,-0.0753,0.3518,0.9305,0.998
0.190453385,-0.0817,0.3528,0.9305,0.998
0.192826719,-0.0846,0.3523,0.9270,0.995
0.195810469,-0.0900,0.3547,0.9251,0.995
0.197796458,-0.0910,0.3498,0.9261,0.994
0.200615781,-0.0958,0.3459,0.9226,0.990
0.202973542,-0.0963,0.3479,0.9261,0.994
0.205244375,-0.1002,0.3440,0.9265,0.993
0.207498281,-0.1027,0.3445,0.9265,0.994
0.210429375,-0.1090,0.3396,0.9319,0.998
0.213705781,-0.1061,0.3396,0.9339,0.999
0.215392083,-0.1080,0.3386,0.9378,1.003
0.217480833,-0.1066,0.3415,0.9417,1.007
0.22009599,-0.1022,0.3410,0.9436,1.009
0.222375625,-0.0988,0.3381,0.9475,1.011
0.22470849,-0.1002,0.3396,0.9495,1.013
0.227270417,-0.0973,0.3342,0.9505,1.012
0.229972708,-0.0939,0.3327,0.9490,1.010
0.231869427,-0.0978,0.3357,0.9500,1.012
0.234557552,-0.1036,0.3401,0.9510,1.015
0.236981615,-0.0988,0.3386,0.9544,1.017
0.239395052,-0.0997,0.3415,0.9549,1.019
0.241938437,-0.0953,0.3415,0.9519,1.016
0.24466,-0.0905,0.3440,0.9524,1.017
0.246747917,-0.0836,0.3440,0.9500,1.014
0.249074323,-0.0812,0.3474,0.9500,1.015
0.251818073,-0.0763,0.3503,0.9451,1.011
0.254688906,-0.0724,0.3479,0.9446,1.009
0.256831927,-0.0651,0.3479,0.9456,1.010
0.259681615,-0.0587,0.3532,0.9402,1.006
0.261759375,-0.0553,0.3547,0.9368,1.003
0.264697344,-0.0514,0.3523,0.9334,0.999
0.266519531,-0.0519,0.3503,0.9295,0.995
0.272297812,-0.0524,0.3528,0.9261,0.992
0.273132865,-0.0519,0.3498,0.9202,0.986
0.273549375,-0.0543,0.3464,0.9163,0.981
0.276579948,-0.0582,0.3469,0.9173,0.982
0.278905677,-0.0597,0.3454,0.9168,0.982
0.281054479,-0.0607,0.3449,0.9173,0.982
0.283298854,-0.0670,0.3464,0.9192,0.985
0.286248958,-0.0709,0.3435,0.9212,0.986
0.288902135,-0.0724,0.3445,0.9246,0.989
0.291071406,-0.0719,0.3410,0.9285,0.992
0.294151615,-0.0758,0.3405,0.9324,0.996
0.296123958,-0.0763,0.3401,0.9324,0.995
0.298362969,-0.0807,0.3445,0.9407,1.005
0.301104062,-0.0817,0.3415,0.9475,1.011
0.3035725,-0.0797,0.3445,0.9578,1.021
0.305764844,-0.0787,0.3449,0.9632,1.026
