time,gFx,gFy,gFz,TgF
86.26231601,1.0664,-0.2782,-0.0521,1.103
86.26249309,1.0908,-0.2757,-0.0618,1.127
86.26264778,1.1103,-0.2728,-0.0706,1.146
86.26304075,1.1211,-0.264,-0.0775,1.154
86.26568419,1.1294,-0.2557,-0.0814,1.161
86.26736278,1.1299,-0.2494,-0.0877,1.16
86.27037351,1.1162,-0.2396,-0.0897,1.145
86.27194122,1.0981,-0.2269,-0.0926,1.125
86.27485033,1.0727,-0.2142,-0.096,1.098
86.27815523,1.0459,-0.2054,-0.1033,1.071
86.28045471,1.0122,-0.1932,-0.1072,1.036
86.28316346,0.98,-0.1849,-0.1141,1.004
86.28604007,0.9433,-0.1776,-0.1195,0.967
86.28887299,0.9082,-0.1737,-0.1209,0.933
86.29159627,0.8803,-0.1722,-0.1199,0.905
86.29306226,0.854,-0.1751,-0.1175,0.88
86.29592309,0.832,-0.1825,-0.1131,0.859
86.29836132,0.8076,-0.1976,-0.1009,0.837
86.30084127,0.7793,-0.2078,-0.0936,0.812
86.30237476,0.7553,-0.2157,-0.0902,0.791
86.30557226,0.7363,-0.2288,-0.0838,0.776
86.30879856,0.7177,-0.2371,-0.0814,0.76
86.31009549,0.7084,-0.2498,-0.0779,0.755
86.31276403,0.6889,-0.2552,-0.0755,0.739
86.31645153,0.6689,-0.2616,-0.0638,0.721
86.3174182,0.6547,-0.2689,-0.0628,0.711
86.32001726,0.645,-0.2728,-0.0618,0.703
86.32245622,0.6445,-0.2767,-0.0511,0.703
86.3254434,0.6347,-0.2811,-0.0443,0.696
86.32673351,0.6279,-0.2894,-0.0403,0.693
86.33058445,0.6284,-0.2938,-0.0325,0.694
86.33597481,0.6205,-0.2982,-0.0233,0.689
86.33663809,0.6186,-0.3011,-0.013,0.688
86.33705304,0.6108,-0.305,-0.0037,0.683
86.34007794,0.6108,-0.3065,0.008,0.683
86.35392111,0.603,-0.3089,0.0129,0.678
86.35427689,0.5952,-0.304,0.0168,0.669
86.35447408,0.5937,-0.3045,0.03,0.668
86.35466585,0.5893,-0.304,0.0368,0.664
86.35494814,0.5864,-0.308,0.0446,0.664
86.35512627,0.5878,-0.3148,0.0534,0.669
86.35692507,0.5932,-0.3114,0.0642,0.673
86.35814939,0.5937,-0.3143,0.0681,0.675
86.36199913,0.5942,-0.3123,0.0783,0.676
86.36419314,0.603,-0.3109,0.0827,0.683
86.36640601,0.6127,-0.308,0.0827,0.691
86.36866992,0.622,-0.3099,0.0871,0.7
86.37213231,0.6411,-0.3089,0.0788,0.716
86.37517143,0.6645,-0.305,0.0759,0.735
86.37606122,0.6772,-0.3011,0.0656,0.744
86.37836346,0.6982,-0.2884,0.0559,0.757
86.38215372,0.7226,-0.2757,0.0422,0.775
86.38527278,0.7392,-0.2625,0.0295,0.785
86.38577887,0.7695,-0.2508,0.0158,0.809
86.38906471,0.7915,-0.2391,0.0007,0.827
86.39214429,0.8203,-0.223,-0.0101,0.85
86.39375549,0.8466,-0.2122,-0.0237,0.873
86.39600788,0.8686,-0.2015,-0.0364,0.892
86.39834632,0.8921,-0.1893,-0.0452,0.913
86.40059736,0.917,-0.1815,-0.0506,0.936
86.40453507,0.9311,-0.1693,-0.054,0.948
86.40591106,0.9487,-0.1561,-0.0526,0.963
86.40814637,0.9658,-0.1458,-0.0496,0.978
86.41016101,0.9761,-0.1361,-0.0428,0.986
86.41229653,0.9858,-0.1268,-0.0335,0.995
86.41540299,0.9907,-0.1121,-0.0242,0.997
86.41738835,0.998,-0.1077,-0.012,1.004
86.4201033,0.9985,-0.098,0.0012,1.003
86.42226117,0.999,-0.0892,0.0124,1.003
86.4249632,1.001,-0.0853,0.0241,1.005
86.42718408,0.9985,-0.0799,0.0344,1.002
86.42966939,0.9883,-0.0745,0.048,0.992
86.43650684,0.9785,-0.0736,0.0529,0.983
86.43699814,0.9658,-0.0736,0.0602,0.97
86.43723934,0.9531,-0.0731,0.0632,0.958
86.45810486,0.9385,-0.074,0.0685,0.944
86.45852283,0.9199,-0.0814,0.0681,0.926
86.45874544,0.9033,-0.0877,0.0715,0.91
