time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004023,-0.8945,-0.2442,-1.2752,1.577
0.004884,-0.9851,-0.1161,-1.3153,1.647
0.017372,-1.0482,0.0084,-1.3094,1.677
0.018883,-0.8978,0.0969,-1.1947,1.498
0.019255,-0.6535,0.1790,-0.9366,1.156
0.031928,-0.4228,0.2787,-0.6095,0.792
0.032726,-0.2563,0.3728,-0.3073,0.547
0.050552,0.0190,0.4124,0.4161,0.586
0.051731,0.0649,0.4335,0.6005,0.743
0.052226,0.0996,0.4159,0.6871,0.809
0.052721,0.0471,0.3691,0.6463,0.746
0.056871,0.0206,0.2543,0.5458,0.602
0.063369,0.0032,0.1801,0.4037,0.442
0.076802,-0.0929,0.1538,0.2753,0.329
0.077750,-0.2043,-0.0446,0.2496,0.326
0.078292,-0.4278,-0.6381,0.0100,0.768
0.080321,-0.5216,-0.1129,-0.0750,0.539
0.086296,-0.8576,0.2116,-0.3609,0.954
0.106724,0.5960,0.2591,-0.5703,0.865
0.107372,2.1780,0.3378,-0.7426,2.326
0.107867,1.1567,0.1173,-0.3680,1.219
0.108144,-0.4498,0.4789,-0.0689,0.661
0.109469,-1.4946,0.4581,-0.2966,1.591
0.113379,-1.9826,0.4048,-0.4310,2.069
0.118242,-2.1378,0.3873,-0.3929,2.208
0.123981,-1.9897,0.2613,-0.2838,2.027
0.128020,-1.7148,0.3631,-0.1843,1.763
0.132121,-1.7266,0.6546,0.0097,1.847
0.137602,-1.7755,0.9182,0.2370,2.013
0.141940,-1.5865,1.0491,0.5346,1.976
0.146833,-1.0451,0.9658,0.8162,1.641
0.151483,-0.3336,0.6679,0.9712,1.225
0.159540,0.3923,0.2506,0.8513,0.970
0.164676,1.0708,-0.1322,0.7030,1.288
0.166472,1.4837,-0.5612,0.8583,1.804
0.171596,1.6552,-0.9646,0.7040,2.041
0.176114,1.4429,-1.0951,0.3264,1.841
0.180256,1.3548,-1.2391,-0.2498,1.853
0.184826,1.2136,-1.3706,-0.7372,1.973
0.189666,0.9579,-1.4742,-1.0430,2.044
0.194566,0.6738,-1.6028,-1.1997,2.112
0.199443,0.4408,-1.6536,-1.1588,2.067
0.204689,0.3394,-1.6773,-1.2132,2.098
0.209179,0.3091,-1.6506,-1.2898,2.117
0.213694,0.2826,-1.6571,-1.2383,2.088
0.219233,0.1952,-1.6615,-1.0846,1.994
0.224731,0.1334,-1.6330,-0.9607,1.899
0.228944,0.0881,-1.6031,-0.8257,1.805
0.233258,0.2289,-1.5694,-0.7991,1.776
0.254105,0.6007,-1.3630,-0.9758,1.781
0.256332,0.8926,-1.1772,-1.2860,1.959
0.257383,1.1385,-0.9797,-1.4020,2.055
0.258322,1.1738,-0.6858,-1.3302,1.902
0.258991,1.1144,-0.2860,-1.2835,1.724
0.261731,1.0330,0.3172,-1.3058,1.695
0.273463,1.5594,1.7716,-1.1305,2.617
0.274934,1.7027,2.3613,-0.8564,3.035
0.275528,1.7593,2.6703,-0.4914,3.235
0.280307,1.6908,2.6789,-0.2603,3.179
0.284978,1.4016,2.4817,-0.2296,2.859
0.289836,1.1042,2.0753,-0.3653,2.379
0.295174,0.8338,1.7729,-0.3075,1.983
0.299706,0.7368,1.5938,-0.0951,1.758
0.304916,0.7847,1.4603,0.3215,1.689
0.308996,0.6969,1.2111,0.6710,1.550
0.313751,0.5821,0.8612,0.9372,1.400
0.318626,0.4497,0.5135,1.2031,1.383
0.324129,0.2520,0.2879,1.2468,1.304
0.328485,0.0276,0.1204,1.0802,1.087
0.332779,-0.2682,-0.1213,0.9688,1.013
0.349188,-0.5812,-0.4364,0.8738,1.137
0.350597,-0.8841,-0.8551,0.8499,1.495
0.351722,-1.1695,-1.0238,0.9606,1.827
0.357766,-1.5404,-1.0948,1.1255,2.200
0.364505,-1.8315,-1.1732,1.1100,2.442
0.366934,-2.1989,-1.2303,1.0529,2.731
0.372743,-2.6676,-1.2034,1.0752,3.118
0.375860,-3.1038,-1.0664,1.1210,3.468
0.380466,-3.5435,-0.9109,1.1312,3.830
0.385216,-3.9981,-0.7413,1.0821,4.208
0.390178,-4.3362,-0.5258,1.0052,4.482
0.395627,-4.5440,-0.3136,1.1042,4.687
0.399630,-4.2423,-0.1149,1.2528,4.425
0.404742,-3.4212,-0.1478,1.2657,3.651
0.409278,-2.5071,-0.2947,1.2694,2.825
0.414217,-1.4924,-0.2664,0.9982,1.815
0.419503,-0.5438,-0.1959,0.2826,0.643
0.424418,-0.2975,-0.3853,1.2276,1.321
0.428761,-0.7055,-0.5948,4.1146,4.217
0.433696,-0.8340,-1.2560,9.6359,9.753
0.438227,0.2967,-0.7638,-1.3581,1.586
0.443649,-0.2690,-0.4143,-1.0353,1.147
0.447997,-0.9248,0.1631,2.0979,2.298
0.452207,-1.0215,0.3563,0.3571,1.139
0.457810,-1.1773,0.4670,-0.1275,1.273
0.463757,-1.1865,0.4794,0.1230,1.286
0.467255,-0.8616,0.4160,0.0694,0.959
0.473763,-0.4249,0.3471,0.1021,0.558
0.476459,0.0564,0.2378,0.4648,0.525
0.481321,0.5859,0.1093,0.7304,0.943
0.485848,1.1110,-0.0179,0.9173,1.441
0.490549,1.5142,-0.1680,1.1598,1.915
0.495678,1.6418,-0.7593,-0.0841,1.811
0.500151,2.1852,-0.8767,0.0237,2.355
0.505936,2.5309,-0.6259,0.7913,2.725
0.509527,2.4263,-0.2116,1.6581,2.946
0.514219,1.9580,0.1546,1.7349,2.621
0.519158,1.8162,0.2465,1.7818,2.556
0.533247,1.7943,0.1247,1.7965,2.542
0.535234,1.7322,-0.1368,1.7252,2.449
0.536100,1.4219,-0.3057,1.5098,2.096
0.538611,1.6097,-0.2802,1.2804,2.076
0.544109,1.7704,-0.2252,1.0083,2.050
0.547659,1.6092,-0.1663,0.8295,1.818
0.552676,1.4888,-0.2131,0.6500,1.638
0.560209,1.2306,-0.2986,0.4810,1.355
0.565805,0.9568,-0.3892,0.2968,1.075
0.567267,0.8509,-0.3510,0.1131,0.927
0.573376,0.9853,-0.2383,0.1487,1.025
0.579278,0.7007,-0.2442,0.3834,0.835
0.581124,0.2092,-0.3536,0.7540,0.859
0.585698,0.0332,-0.5895,0.6830,0.903
0.590652,-0.4804,-0.6529,0.1879,0.832
0.595515,-0.9005,-0.5721,-0.2640,1.099
0.600296,-1.1036,-0.4903,-0.6448,1.369
0.605233,-1.3693,0.2037,-1.3923,1.963
0.610113,-1.4993,0.4582,-1.7593,2.357
0.615086,-1.4767,0.0693,-1.7872,2.319
0.622925,-1.4534,-0.0009,-1.9284,2.415
0.623990,-1.1597,-0.0905,-1.5094,1.906
0.629465,-1.0961,-0.1517,-1.1421,1.590
0.634461,-1.0878,-0.2193,-0.8350,1.389
0.638579,-0.8064,-0.0139,-0.7688,1.114
0.643266,-0.4475,0.2019,-0.5914,0.769
0.648075,-0.1463,0.2130,0.2644,0.370
0.652924,0.8603,0.0068,1.1195,1.412
0.657586,1.1550,-0.0424,0.8949,1.462
0.667081,1.0852,-0.2746,0.9346,1.458
0.672591,0.5894,-0.4074,0.9418,1.183
0.676931,0.1607,-0.3874,0.9287,1.019
0.682313,-0.2573,-0.2897,0.8919,0.972
0.687918,-0.7485,-0.2317,0.7304,1.071
0.691175,-0.8324,-0.2103,0.7393,1.133
0.695699,-0.6109,-0.2055,0.7344,0.977
0.701523,-1.0309,-0.3340,0.1078,1.089
0.705188,-0.9884,-0.2173,0.2010,1.032
0.710099,-1.2423,-0.1453,0.2989,1.286
0.715127,-1.8194,-0.1283,0.7288,1.964
0.719399,-1.7040,-0.2186,1.3517,2.186
0.724222,-1.5883,-0.4031,1.5802,2.276
0.728932,-1.4630,-0.6483,1.7233,2.352
0.733692,-1.2308,-0.7358,1.9432,2.415
0.738666,-0.7822,-0.7277,2.1091,2.364
0.743390,-0.4267,-0.6342,2.3115,2.435
0.747886,-0.1126,-0.6361,2.2710,2.361
0.752613,1.2220,-0.7066,-3.3008,3.590
0.761783,2.6821,0.1156,-7.5375,8.001
0.763366,1.7065,0.4159,-3.0983,3.562
0.767522,0.9493,0.4743,-1.8710,2.151
0.771880,0.7903,0.7144,-3.0300,3.212
0.776693,0.5635,0.6455,-3.2441,3.355
0.781462,0.4667,0.0649,-3.0033,3.040
0.786353,-0.2109,-0.4936,-2.4349,2.493
0.791482,-0.0862,-0.2597,-1.6177,1.641
0.796216,-0.2277,-0.1274,-0.7457,0.790
0.800578,-0.1249,-0.0376,-0.3436,0.367
0.805638,0.1188,-0.0585,-0.0159,0.133
0.810547,0.3410,-0.0940,0.2375,0.426
0.815170,0.4287,-0.0935,0.1855,0.476
0.819687,0.4372,-0.0530,0.0895,0.449
0.824608,0.2694,-0.1001,0.1043,0.306
0.829395,-0.1067,-0.0327,0.3715,0.388
0.834010,-0.2773,0.1488,0.6371,0.711
0.838986,-0.3038,0.2088,0.6689,0.764
0.843704,-0.3769,0.1304,0.4234,0.582
0.848362,-0.5313,0.0966,0.1659,0.565
0.852978,-0.6226,0.1353,-0.2031,0.669
0.859270,-0.7345,0.1650,-0.3378,0.825
0.866296,-0.9920,0.1338,-0.4127,1.083
0.867554,-0.3646,0.4296,-0.5848,0.812
0.871925,0.3495,0.6596,-0.6410,0.984
0.876996,-0.5684,0.4636,-0.6087,0.953
0.881674,-0.7980,0.4437,-0.4646,1.024
0.886455,-1.1360,0.2644,0.3713,1.224
0.892681,-0.8206,0.5360,0.8406,1.291
0.896137,0.0489,0.7219,0.6471,0.971
0.900745,0.8083,0.6011,0.3202,1.057
0.905547,1.2836,0.3850,-0.2792,1.369
0.910877,1.5903,0.3019,0.6945,1.761
0.915559,1.5195,0.4898,-0.0078,1.597
0.925754,1.5880,0.7370,0.4068,1.797
0.927325,1.7510,0.8326,-0.0467,1.939
0.929746,1.7082,0.7733,-0.3931,1.916
0.934167,1.7908,0.7386,-0.7768,2.087
0.939486,2.3167,0.7498,-1.0851,2.666
0.943842,2.3217,0.8563,-1.2626,2.778
0.948598,2.3583,0.9491,-1.1873,2.806
0.955543,2.5965,0.9384,-0.7979,2.874
0.959847,2.8247,1.0762,-0.5059,3.065
0.963657,3.2827,0.8579,-0.1204,3.395
0.968800,4.3525,0.6358,-0.5655,4.435
0.977855,2.2545,-7.2249,-13.8454,15.779
0.982181,0.8456,4.0591,3.0699,5.159
