time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),label
9.009992,3.1378,-1.8697,1.7189,4.037,WALKING
9.015175,2.7793,-2.143,1.528,3.828,WALKING
9.019427,2.382,-2.3886,1.4851,3.686,WALKING
9.024446,1.9315,-2.6075,1.4817,3.567,WALKING
9.029707,1.5816,-2.6659,1.4791,3.435,WALKING
9.03368,1.2394,-2.8667,1.1103,3.315,WALKING
9.040757,1.0513,-2.9635,0.7534,3.233,WALKING
9.043919,0.6846,-3.1577,0.784,3.325,WALKING
9.051604,0.4694,-3.3446,0.743,3.458,WALKING
9.05281,0.2571,-3.5153,0.4443,3.553,WALKING
9.058839,0.0753,-3.5371,0.6181,3.591,WALKING
9.062953,-0.1667,-3.7204,0.3178,3.738,WALKING
9.067519,-0.0154,-3.9716,-0.1229,3.974,WALKING
9.072042,0.1526,-4.0766,-0.2764,4.089,WALKING
9.077082,0.3055,-4.2041,-0.2594,4.223,WALKING
9.081774,0.6214,-4.2235,-0.0373,4.269,WALKING
9.086703,1.0222,-4.087,0.3115,4.224,WALKING
9.093715,1.8794,-4.3032,-0.5514,4.728,WALKING
9.096127,2.7763,-4.3929,-1.1324,5.319,WALKING
9.100819,3.3433,-4.3472,-1.6143,5.717,WALKING
9.105436,3.8872,-4.381,-2.1453,6.237,WALKING
9.110563,4.3984,-4.1884,-1.6238,6.287,WALKING
9.115478,4.5032,-3.8028,-0.5116,5.916,WALKING
9.119756,4.1989,-3.2291,0.5807,5.329,WALKING
9.125302,3.7117,-2.6509,1.5151,4.806,WALKING
9.129547,3.1385,-2.0425,2.2601,4.374,WALKING
9.134094,2.4148,-1.7126,3.0817,4.273,WALKING
9.140836,1.5633,-1.3594,3.7007,4.241,WALKING
9.146703,0.5948,-1.0238,3.9008,4.077,WALKING
9.14911,-0.3293,-0.6842,4.131,4.2,WALKING
9.158733,-0.9616,-0.3469,4.3275,4.447,WALKING
9.160126,-1.4882,0.0222,4.2388,4.493,WALKING
9.163332,-1.891,0.2326,4.4248,4.818,WALKING
9.167464,-2.2583,0.491,4.4426,5.008,WALKING
9.172377,-2.4657,0.6199,4.7788,5.413,WALKING
9.178148,-2.6678,0.7591,5.0326,5.746,WALKING
9.182039,-2.8872,0.8185,5.1813,5.988,WALKING
9.188416,-2.9994,0.864,5.2093,6.073,WALKING
9.194877,-3.1103,0.8564,5.1234,6.054,WALKING
9.196581,-3.1876,0.7962,5.1819,6.136,WALKING
9.201186,-3.2412,0.7418,5.1074,6.094,WALKING
9.205543,-3.2636,0.6192,4.9653,5.974,WALKING
9.210174,-3.2078,0.5168,4.6848,5.701,WALKING
9.215797,-3.1651,0.3953,4.3899,5.426,WALKING
9.219816,-3.1883,0.1819,3.9181,5.055,WALKING
9.225133,-3.1769,0.1082,3.4707,4.706,WALKING
9.229643,-3.2264,-0.0519,2.8608,4.312,WALKING
9.234201,-3.248,-0.2135,2.2483,3.956,WALKING
9.240949,-3.2892,-0.367,1.6936,3.718,WALKING
9.245216,-3.3568,-0.5256,1.1448,3.585,WALKING
9.250252,-3.5225,-0.7091,0.6728,3.656,WALKING
9.257237,-3.7207,-0.8527,0.2969,3.829,WALKING
9.260307,-3.9303,-1.0332,-0.2197,4.07,WALKING
9.263171,-4.037,-1.0954,-0.5492,4.219,WALKING
9.267984,-4.1957,-1.2216,-0.9341,4.469,WALKING
9.272572,-4.3739,-1.2228,-1.1236,4.679,WALKING
9.278345,-4.5077,-1.207,-1.2364,4.828,WALKING
9.281919,-4.6285,-1.1649,-1.2301,4.929,WALKING
9.286934,-4.6748,-1.0585,-1.0891,4.915,WALKING
9.291838,-4.6996,-0.9735,-0.8998,4.883,WALKING
9.296281,-4.6629,-0.8677,-0.5703,4.777,WALKING
9.301289,-4.6772,-0.7524,-0.1527,4.74,WALKING
9.305888,-4.6299,-0.6132,0.3097,4.681,WALKING
9.310979,-4.5832,-0.4879,0.8508,4.687,WALKING
9.315521,-4.5417,-0.3544,1.3175,4.742,WALKING
9.321198,-4.5462,-0.1819,1.8173,4.899,WALKING
9.325726,-4.5892,-0.0942,2.2503,5.112,WALKING
9.329984,-4.635,0.0526,2.5755,5.303,WALKING
9.334806,-4.7553,0.1703,2.8834,5.564,WALKING
9.339711,-4.8833,0.2571,3.0688,5.773,WALKING
9.343958,-5.0434,0.3081,3.1475,5.953,WALKING
9.348728,-5.1872,0.3404,3.1099,6.058,WALKING
9.357385,-5.3486,0.3375,2.9172,6.102,WALKING
9.3592,-5.4898,0.3017,2.6059,6.084,WALKING
9.363487,-5.626,0.2226,2.1666,6.033,WALKING
9.367876,-5.7425,0.0881,1.552,5.949,WALKING
9.385409,-5.6583,-0.3211,0.3458,5.678,WALKING
9.388092,-5.6125,-0.5588,-0.4826,5.661,WALKING
9.389232,-5.3761,-0.7733,-1.2451,5.572,WALKING
9.39245,-5.0907,-1.0394,-1.898,5.532,WALKING
9.396289,-4.7867,-1.2737,-2.7637,5.672,WALKING
9.400845,-4.249,-1.4941,-3.4054,5.647,WALKING
9.406837,-3.5101,-1.6701,-3.814,5.446,WALKING
9.41205,-2.5662,-1.841,-4.0373,5.126,WALKING
9.415618,-1.4716,-1.8912,-4.2581,4.886,WALKING
9.423408,-0.1101,-1.9072,-4.2131,4.626,WALKING
9.425946,1.4171,-1.9144,-3.943,4.607,WALKING
9.429603,2.8496,-1.8867,-3.4622,4.865,WALKING
9.434553,3.9398,-1.8047,-3.1728,5.371,WALKING
9.440958,5.1429,-1.8868,-2.3884,5.976,WALKING
9.444221,6.2745,-1.9771,-1.5413,6.757,WALKING
9.448913,7.2724,-2.0832,-0.7683,7.604,WALKING
9.461486,8.4112,-2.2109,-0.0598,8.697,WALKING
9.463412,9.5303,-2.3487,0.1982,9.817,WALKING
9.464508,10.6028,-2.5137,0.1762,10.898,WALKING
9.468189,10.4915,-2.3707,-0.1087,10.757,WALKING
9.473211,11.5937,-2.6367,-1.056,11.937,WALKING
9.478493,13.8497,-2.6253,-1.6297,14.19,WALKING
9.482975,14.9568,-2.5344,-2.7875,15.424,WALKING
9.491382,15.2516,-2.1604,-4.0125,15.918,WALKING
9.492786,14.7846,-1.8182,-4.7489,15.635,WALKING
9.497032,11.963,-1.4843,-5.0197,13.058,WALKING
9.501708,8.6759,-1.0534,-5.2133,10.176,WALKING
9.506481,5.9409,-0.8306,-5.1299,7.893,WALKING
9.511179,3.4092,-0.5593,-5.1543,6.205,WALKING
9.5249,1.0997,-0.4579,-5.0589,5.197,WALKING
9.525948,-1.055,-0.2617,-5.0518,5.167,WALKING
9.526735,-2.942,-0.2856,-4.7888,5.628,WALKING
9.53045,-4.5719,-0.3878,-4.1659,6.197,WALKING
9.53537,-6.0189,-0.4603,-3.3192,6.889,WALKING
9.540578,-7.0443,-0.4586,-2.1446,7.378,WALKING
9.546728,-7.7746,-0.34,-0.8039,7.823,WALKING
9.550106,-8.0413,-0.1643,0.5989,8.065,WALKING
9.559348,-7.7707,-0.0586,1.9364,8.009,WALKING
9.56118,-7.2198,-0.1326,3.0777,7.85,WALKING
9.564017,-6.2476,-0.5422,4.2549,7.578,WALKING
9.568759,-4.9179,-1.1378,5.3376,7.346,WALKING
9.576197,-3.456,-1.7845,6.3715,7.465,WALKING
9.577825,-2.0604,-2.398,7.2397,7.9,WALKING
9.583345,-1.0528,-2.5902,7.7661,8.254,WALKING
9.588284,-0.1782,-2.6968,8.2624,8.693,WALKING
9.592616,0.6535,-2.5833,8.6096,9.013,WALKING
9.597023,1.5488,-2.4616,8.9458,9.407,WALKING
9.602143,2.4781,-2.3204,9.1906,9.798,WALKING
9.606646,3.2848,-2.0061,9.1073,9.887,WALKING
9.61172,4.0765,-1.7863,8.8976,9.949,WALKING
9.61599,4.4762,-1.5288,8.4411,9.676,WALKING
9.62232,4.3165,-1.2886,7.6435,8.872,WALKING
9.625889,3.8377,-1.0824,6.6377,7.743,WALKING
9.630798,3.2522,-0.9089,5.5225,6.473,WALKING
9.635711,2.6573,-0.7871,4.3456,5.154,WALKING
9.641157,2.1315,-0.678,3.1575,3.869,WALKING
9.646721,1.8335,-0.6029,2.1751,2.908,WALKING
9.650691,1.6936,-0.4246,1.3092,2.182,WALKING
9.660708,1.751,-0.2047,0.7857,1.93,WALKING
9.661947,1.9565,0.1022,0.3852,1.997,WALKING
9.664753,2.3043,0.5105,0.0644,2.361,WALKING
